Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
ECB_01546, 273.3, , , , , , , , , , , 18750:1:4:0, 4750:2:2:1
ECB_01628, 196.7, , , , , , , 34250:3:4:0.357143, , , , , 
ECB_01690, 198.0, , , , , , , , 34250:1:4:0, , , , 
ECB_01757, 186.7, , , , , , , , , 43250:3:5:0.875, , , 
ECB_01797, 241.7, , , , , , , 19750:1:1:0;41250:1:1:0, 5250:2:3:1, , , 6250:2:2:1, 3250:1:1:0;23250:1:1:0
ECB_01906, 303.7, , , , , , , , 3250:2:2:0.982456, 35250:3:5:0.814815;37250:2:2:0.991228, 50250:3:2:0.928571;38250:1:1:0;57250:1:1:0, 10250:1:1:0;16750:3:6:0.125;23250:1:4:0;25250:1:4:0, 38750:3:4:0.0673077;27750:1:1:0
ECB_01907, 318.7, , , , , , , , , , , 21750:1:4:0, 
ECB_01908, 261.7, , , , , , , , , 43250:1:1:0, , , 8250:2:2:0.990291
ECB_01989, 984.0, , , , , , , 32250:1:1:0;45750:1:1:0, 15750:3:6:0.761905, , 46750:1:1:0;41750:1:1:0;8750:1:1:0, 31750:1:1:0.0111111;11750:1:1:0, 9250:1:1:0.00892857
ECB_01990, 245.3, , , , , , , , , , , , 
ECB_01991, 219.7, , , , , , , , , , , 21250:2:6:0.933333;23750:1:1:0, 
ECB_01992, 251.7, 1250:3:6:0.292308, , 750:2:2:1, 20750:2:2:0.916667, , , 750:2:2:0.987342, 250:2:2:1, 1250:2:2:1, 31750:1:1:0;1250:3:5:0.383459, 250:2:2:1, 
ECB_01993, 853.7, , , , , , , , 15750:1:1:0, , , 12750:1:1:0, 10250:1:1:0
ECB_01994, 2235.3, , , , , , , 32250:2:2:1, 24250:1:1:0, , 26250:1:1:0;53250:3:3:0.62963, 9250:1:1:0;27750:1:1:0;29750:1:1:0;4250:1:1:0.0185185, 14250:1:1:0
ECB_01995, 408.0, , , , , , , 36750:1:1:0;50750:1:1:0, , , 25250:1:1:0;38250:1:1:0, , 5250:1:1:0
ECB_01996, 698.7, , , , , , , , 30250:3:6:0.509804, , , , 
ECB_01997, 261.3, , , , , , , 47250:1:1:0, , , 9750:1:1:0, , 
ECB_01998, 564.0, , , , , , , , , , 36250:3:3:0.765625, , 
ECB_01999, 630.3, , , , , , , 34250:1:1:0, 2750:1:1:0, , , , 7250:1:1:0
ECB_02000, 772.0, , , , , , , 38250:2:2:1;28250:1:1:0;31750:2:2:1, 21250:3:6:0.6, , 26250:1:1:0;19250:2:2:1;29250:1:1:0, 29750:2:3:0.988372;31250:1:1:0, 
ECB_02001, 1580.3, , , , , , , 45250:1:1:0, , 21250:2:2:0.95122, , 17250:2:3:1, 8250:2:2:0.947368
ECB_02002, 397.0, , , , , , , , 8250:3:6:0.686567, , 57750:3:4:0.27027, , 
ECB_02003, 1078.3, , , , , , , , 10750:3:3:0.765152, , 55750:1:1:0;37750:3:4:0.295082;25250:3:2:0.839286, 17250:1:1:0;14250:2:2:0.935897;10750:2:2:0.945455, 
ECB_02004, 1757.7, , , , , , , , 8250:3:3:0.650794, , 33750:1:1:0;37250:1:1:0, 3750:1:1:0;19250:2:3:1, 13750:1:1:0;4250:2:2:1;17750:2:2:0.9375
ECB_02005, 194.0, , , , , , , , , , , 14750:1:1:0, 
ECB_02006, 172.3, , , , , , , , , , , , 
ECB_02007, 245.0, , , , , , , , , , , , 
ECB_02008, 237.0, , , , , , , , , , , 19250:2:3:1, 9250:1:1:0
ECB_02009, 492.3, , , , , , , , 24750:1:1:0;3750:3:3:0.625, , , 24250:1:4:0.0117647, 17750:1:1:0
ECB_02010, 266.3, , , , , , , , , , , 38250:3:6:0.709924, 15750:1:1:0
ECB_02011, 288.3, , , , , , , , , , 41250:1:1:0, , 
ECB_02012, 888.3, , , , , 18250:2:2:0.944444, , , 11750:1:1:0, , 20250:1:1:0.0769231, , 
ECB_02013, 163.7, 23250:2:2:1, , , , 36750:1:1:0, , , , 6750:1:1:0.00900901;12250:3:5:0.683544, , 12250:2:2:1, 4250:1:1:0
ECB_02033, 295.7, , , , , , , , 19750:2:3:0.885965, , , , 
ECB_02034, 380.3, , , , , , , , 4250:2:3:0.900709, , , 53250:2:3:1, 42250:1:1:0;10250:1:1:0
ECB_02035, 631.7, , , , , , , , , 47250:1:1:0, , , 20250:2:2:1
ECB_02036, 304.3, , , , , , , , , , , , 
ECB_02037, 299.7, , , , , , , 58250:3:6:0.204819, 19250:1:1:0;10250:3:4:0.172131, , , 19750:1:1:0, 
ECB_02038, 401.0, , , , , , , , , , , , 42750:1:1:0
ECB_02039, 211.3, , 30250:1:1:0, , , , , , , , , , 
ECB_02057, 140.3, , , , , , , , , , , , 
ECB_02307, 349.7, , , , , , , , , , , 30250:2:3:1, 750:1:1:0
ECB_02364, 189.3, , , , , , 31250:3:3:0.603774, , , , , , 24750:2:2:1
ECB_02509, 1055.0, , , , , , , 25250:2:2:1, 30750:2:3:0.979592, 46250:1:1:0, 53250:1:1:0, 21250:2:2:0.916667, 4750:1:1:0;38250:1:1:0
ECB_02510, 1344.7, , , , , 33250:1:1:0, , 54250:3:4:0.368421, 9250:1:1:0;5750:2:3:0.98, 53250:1:1:0, 54250:3:3:0.727273;36250:3:4:0.2, 28250:2:3:1;27250:2:2:1, 30250:1:1:0.00909091;16750:1:1:0;57250:1:1:0.00684932;750:1:1:0
ECB_02511, 703.0, , , , , , , , 50750:3:6:0.275, , 50250:1:1:0, , 6750:2:2:1;35250:3:3:0.420168;19750:1:1:0
ECB_02512, 710.7, , 26250:1:1:0, , , , , 47250:3:3:0.5, , 36750:1:1:0, 45750:3:3:0.789474;48750:3:4:0.210526, , 43750:1:1:0;42250:3:4:0.0618557;40750:3:3:0.544715;23750:1:1:0;29750:3:4:0.10101
ECB_02621, 683.7, , 3250:1:1:0, , , 33750:2:3:0.966667, , 26250:2:2:1;58750:3:6:0.372881, , 43250:1:1:0;40250:1:1:0.0481928, 32250:1:1:0, 44750:1:1:0, 37750:1:1:0;21750:2:2:1
ECB_02648, 853.0, , , , , , , , , 56250:1:1:0, , 38250:1:1:0;38750:1:1:0, 43750:1:1:0;21750:2:2:0.976923;35750:1:1:0
ECB_02649, 1268.7, , , , , , , 51250:1:1:0;38750:3:4:0.352941, , , 10250:1:1:0, 24250:1:1:0;58250:3:6:0.0434783;3250:1:4:0, 24250:1:1:0;16250:1:1:0
ECB_02650, 843.7, , , , , , , 26750:1:1:0;27250:3:3:0.704918, , 43750:1:1:0;53250:3:5:0.858586, 45250:3:3:0.722222, , 34250:3:3:0.858586;27250:1:1:0;41750:3:4:0.0671141
ECB_02651, 750.7, , , , , , , , , , 29750:1:1:0, 52750:1:1:0;39750:1:1:0;39750:1:1:0;18250:1:1:0;31250:1:1:0, 15250:1:1:0
ECB_02652, 1276.0, , , , , , , 51750:1:1:0, 25250:2:3:0.979167, , 26250:2:2:1, 27250:2:3:0.966667;21250:1:4:0;3750:1:1:0;38250:1:1:0;21250:1:4:0, 24750:2:2:1;1750:1:1:0;55250:1:1:0.0123457;30750:1:1:0
ECB_02797, 773.7, , 11250:2:2:1, , , , , 38750:3:3:0.516484, 17750:1:1:0;24250:1:1:0, , 41250:1:1:0, 3750:2:2:1;48750:1:1:0, 4250:1:1:0;41750:3:4:0.378788
ECB_02798, 795.7, , , , , 50250:1:1:0, , 14250:1:1:0, 24750:2:3:1, 43750:3:5:0.144068;21250:1:1:0, 14250:2:2:1;7250:2:2:1;17750:2:2:0.941176, 3750:2:2:0.892857, 32250:3:4:0.405941;13750:1:1:0.0194805;29250:2:3:0.960265;31750:1:1:0;26750:1:1:0
ECB_02802, 426.0, , , , , , , 34750:1:1:0, , , , 23250:1:1:0;46750:1:1:0, 59750:3:4:0.0434783;43250:1:1:0;13750:1:1:0;15750:1:1:0
ECB_02804, 761.3, , , , , , 21250:3:4:0.426829, , 21250:2:2:0.983333, 52250:1:1:0, 50750:3:3:0.707317, 23250:1:1:0;35750:1:1:0;15250:1:1:0;35250:2:3:1, 15750:1:1:0
ECB_02810, 82.0, , , , , , , , , , , , 
ECB_02811, 416.3, , , , , , , 44250:3:4:0.362637, , , 29250:1:1:0;45250:1:1:0, , 
ECB_02812, 330.0, 28250:1:4:0.0569106, , , , , , , , , , , 37250:1:1:0;25250:1:1:0
ECB_02813, 219.3, , , , , , , , , , , 35250:1:1:0;37250:1:1:0, 
ECB_02814, 804.3, , , , , , , 27750:1:1:0, , , 46250:3:3:0.753846;29750:2:2:1;49250:3:4:0.257143, 15250:1:4:0, 44750:3:4:0.133333;53750:1:1:0.00649351
ECB_02815, 960.7, , , 12250:1:1:0;11250:1:1:0, , , , 45250:1:1:0, 8750:1:4:0, 11250:1:1:0, 45250:1:1:0;25250:1:1:0, 40750:1:1:0, 
ECB_02816, 1303.0, 13750:1:1:0;6250:1:1:0;9250:1:1:0, , 12250:2:2:1, , 9250:2:2:1, 13750:1:1:0;15250:1:1:0, 48750:1:1:0;15250:2:2:1;30750:3:3:0.720588;51250:1:1:0, 36750:1:4:0.0125, 46250:1:1:0;34750:1:1:0;9750:2:2:1, 29750:1:1:0;45750:3:3:0.722222, 19250:1:4:0;17250:1:1:0;16750:2:3:1, 17750:1:1:0;12750:2:2:1;31750:1:1:0.0294118;8250:2:2:1;3250:1:1:0;9250:1:1:0
ECB_02817, 574.3, , , , , , , , , , , 40250:2:3:1;16250:2:2:0.952381, 6750:1:1:0;3750:1:1:0
ECB_02818, 1538.3, , , , , , , 53750:3:4:0.386364, 19750:1:1:0, , 43250:1:1:0;43750:1:1:0;32750:1:1:0, 41250:1:1:0, 25250:1:1:0;23750:1:1:0;31750:1:1:0.00699301
ECB_02819, 1010.7, , , , , , , , 12750:1:1:0, , 28750:2:2:1;58750:3:6:0.0151515, 30750:2:3:1;5750:1:1:0, 15750:1:1:0;54250:3:6:0.764286;52750:3:3:0.203463;36750:1:1:0;40750:2:3:0.947917
ECB_02820, 812.3, , , , , 50250:1:1:0, , 47750:1:1:0, , , , , 29250:1:1:0;34250:3:3:0.513514
ECB_02821, 1020.7, , , 3250:1:1:0, , , 19250:1:1:0, 35750:1:1:0;34250:1:1:0, 4250:3:3:0.829787, , 53750:3:3:0.694915;9750:2:2:0.911765;36250:3:4:0.458333;46750:3:3:0.536585, 15250:1:1:0;11750:2:2:1;57750:2:6:0.933333, 57250:1:1:0;4750:2:2:0.993056
ECB_02822, 482.0, , , , , , , 55750:3:3:0.602151, , , , , 
ECB_02825, 582.7, , 52250:2:2:1, , , , , , , , , , 36750:2:3:0.96;7250:1:1:0
ECB_02826, 1232.7, , 41750:1:1:0;45250:1:1:0;25250:1:1:0, 18250:1:1:0, , , , , , , , , 16250:1:1:0;29750:3:4:0.126126
ECB_02827, 534.3, , , 34250:1:1:0, , , , 21250:3:4:0.30303;25750:2:2:1, , , 22750:3:5:0.057971, 19250:1:4:0;40750:1:1:0;37250:1:1:0;14250:1:1:0, 20750:2:2:1;59750:3:4:0.081761
ECB_02828, 730.7, , , , , , , , 8750:1:1:0, , , 16750:1:1:0;28250:1:1:0, 13750:2:2:1;13750:2:2:1
ECB_02831, 750.7, , , , , , , 37250:3:3:0.538462, , , 14250:1:1:0;16750:1:1:0, 27250:2:3:1;50250:1:1:0;40750:2:3:1;19750:2:3:1;21750:1:4:0, 7250:1:1:0;6250:2:2:1;6750:1:1:0;1750:1:1:0;7250:1:1:0
ECB_02832, 467.0, , , , , , , 51250:1:1:0, , , 8750:1:1:0, , 
ECB_02833, 280.0, , , , , , , , 36250:1:1:0, , , 21750:1:4:0;11250:1:1:0;12250:2:2:1, 1250:1:1:0
ECB_02834, 426.3, , , , , , , 52250:3:3:0.745098, , , 29250:1:1:0, 29750:1:1:0;28250:1:4:0, 41750:1:1:0.00840336
ECB_02835, 366.0, , , , , , , , 18250:1:1:0, , , 32750:1:1:0;8250:1:1:0, 60750:3:4:0.0944882
ECB_02836, 953.3, 24750:1:4:0.0289855, 35250:2:2:1, , , , , 41250:3:3:0.462963, , 25250:2:2:1, , 29750:1:1:0;13750:2:2:1;20250:2:3:1, 6250:1:1:0;3250:1:1:0;49750:3:4:0.101266
ECB_02837, 1147.3, 35750:2:3:0.975232, , , , , , 58750:3:6:0.145161, 16250:1:1:0, 42250:1:1:0;46250:1:1:0, 18250:1:1:0, 6250:1:1:0, 58250:1:1:0.010101;53250:3:6:0.676471;38250:1:1:0
ECB_02838, 1602.7, 31250:1:1:0, , , , , , 49750:3:4:0.211538;45750:1:1:0;53750:3:4:0.285714;50250:1:1:0;49750:1:1:0, 27750:1:1:0;1750:2:2:1;35250:2:2:1, 35250:2:2:1, 26250:1:1:0.0645161, 33250:1:1:0;2750:2:2:1;33750:1:1:0, 4750:1:1:0;10750:2:2:1;42750:3:4:0.0542636
ECB_02851, 1428.3, , , , , , , 52750:1:1:0;25750:2:2:1, , 45750:1:1:0, 2750:2:2:0.96, 58250:3:6:0.142857, 9750:1:1:0;18750:1:1:0;53250:3:6:0.127119;16750:1:1:0.00581395
ECB_02852, 688.7, 12250:2:3:0.916667, , , , , , 33250:1:1:0, , , , 17250:2:3:1, 42750:3:4:0.0983607;10750:1:1:0
ECB_02853, 227.7, , , , , , , 44250:1:1:0, , , , , 
ECB_02854, 884.3, , , , , , , 49750:1:1:0, 39250:2:3:1, , , 17250:2:3:1, 750:1:1:0;42750:3:4:0.10101
ECB_02855, 907.3, 39750:1:1:0, 42250:1:1:0, , , , , , 18250:1:1:0;13750:1:1:0;7750:2:3:0.958333, 37250:2:2:1, , , 31750:3:3:0.925234
ECB_02856, 795.7, , , , , , , 53750:3:4:0.444444, , 56750:3:5:0.0699301;38750:1:1:0.0496454, 28750:2:2:1;25250:2:2:1, 47250:1:1:0;35250:2:3:1;15250:2:3:1;17250:2:3:1;21250:2:3:1, 36250:1:1:0;750:1:1:0;7250:1:1:0;40750:3:3:0.913043
ECB_02857, 441.7, 29750:1:1:0, , , , , , , 2750:2:2:1;20750:1:1:0, 57250:3:5:0.0373832;54750:3:5:0.0353982, , 31250:2:3:1, 1750:1:1:0
ECB_02858, 631.3, , , , , , , , , , , 53750:1:1:0;37250:2:3:0.96, 12750:1:1:0.00680272;3250:1:1:0;26250:1:1:0
ECB_03080, 248.3, , , , , , , 49250:1:1:0.0422535, , , , 22750:2:3:1, 750:1:1:0;17750:1:1:0
ECB_03279, 869.0, , , , , , , 26250:2:2:1;30250:3:3:0.6, , , , , 11750:1:1:0;13750:2:2:0.994709;7750:1:1:0
ECB_03412, 337.7, , , , , , , , , , 21250:2:2:1, , 28250:3:4:0.114754
ECB_03436, 728.7, , , , , , , 50250:1:1:0, , , , , 43750:1:1:0;17250:2:2:0.98913;60750:1:4:0.0116279
ECB_03437, 1154.3, , , , , , , 30250:3:3:0.530864;27250:3:4:0.243478, , , 16250:1:1:0;36250:3:4:0.228571, 15750:1:1:0.0232558, 15750:1:1:0;60750:3:4:0.0724638
ECB_03438, 1548.0, , , , 35750:2:3:1, , , 32250:1:1:0;50750:3:3:0.486842;26250:2:2:1;34750:1:1:0, 22750:1:1:0;43750:1:1:0, , 9250:1:1:0;35750:3:3:0.880952, , 32750:3:4:0.0992908;17750:1:1:0;26250:1:1:0;26750:3:4:0.118519
ECB_03457, 259.7, , , , , , , 39750:1:1:0, , , , 31750:2:3:1;9250:1:1:0, 6750:1:1:0
ECB_03459, 639.0, , , , , , , 52750:1:1:0;34250:3:4:0.443038;26750:1:1:0;47750:3:4:0.444444, , 40250:1:1:0, 32250:2:2:1, , 42750:3:4:0.0580357;32750:3:4:0.0575221
ECB_03460, 3505.0, , , 49750:1:1:0;49750:1:1:0, , 38250:2:3:0.986755;50250:1:1:0, , 36750:3:4:0.364865;21250:3:4:0.179487;45250:1:1:0;52250:1:1:0;39750:1:1:0, 36250:1:1:0;34750:2:6:0.867925;13750:2:3:0.945946, 48250:2:2:0.900709, 48250:3:3:0.565789;56750:3:6:0.158537;9750:2:2:1;43750:1:1:0, 35750:1:1:0;36750:2:3:1;40250:1:1:0, 23750:1:1:0;52750:3:6:0.662295;9250:2:2:0.98125;6250:1:1:0.00591716;60250:3:4:0.0547945;18250:1:1:0;8250:1:1:0;19750:3:3:0.854749;34750:1:1:0;45750:1:1:0;25250:1:1:0;46750:3:3:0.91195;1750:1:1:0;31750:3:3:0.590308;55250:1:1:0;34750:1:1:0;10250:2:2:0.993976;42250:1:1:0;36750:1:1:0;60750:3:6:0.132597;41750:1:1:0;25250:1:1:0
ECB_03510, 678.3, , , , , , , 54250:3:4:0.397059, , 38250:1:1:0, , , 16750:1:1:0
ECB_03516, 1027.7, , , , , , , 58750:3:6:0.28;37750:1:1:0, 3250:2:3:0.943662, , 34250:1:1:0, 20750:1:1:0;25750:1:4:0, 31750:3:4:0.0793651;35750:1:1:0;35750:1:1:0
ECB_03517, 922.3, , , , , , , , 22750:1:1:0, , , 21250:1:4:0, 17250:2:2:0.993671;55250:1:1:0;32250:1:1:0;9250:1:1:0;60250:3:4:0.0972222
ECB_03518, 279.0, , , , , , , , , , , , 
ECB_03519, 981.3, , , , , , , 32250:1:1:0;36750:1:1:0, 19750:2:3:0.913043, 58250:3:5:0.691729;40250:1:1:0.020202, 53250:1:1:0, 18750:2:3:1;3750:2:2:0.97561, 26250:1:1:0;3250:1:1:0;2750:1:1:0
