"ECB_00212"	"ECB_00256"	"ECB_00739"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_02035"	"ECB_02800"	"ECB_04210"	"ESCRE1901"	"IS3_insF"	"aroK"	"aspA"	"atpF"	"atpG"	"cls"	"cysQ"	"dapA"	"dgt"	"dnaA"	"dusB"	"endA"	"eutJ"	"fbp"	"fis"	"ftsH"	"ftsW"	"fusA"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpK"	"glpR"	"glpT"	"gspF"	"gspG"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvL"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"malQ"	"mdoG"	"mdoH"	"metA"	"metH"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"ompR"	"pck"	"poxA"	"ppiA"	"pyrB"	"rho"	"rhsA"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsC"	"rpsR"	"rrlB"	"rsmC"	"rssB"	"rtn"	"sbmA"	"slyA"	"sucB"	"tktB"	"ubiB"	"ulaG"	"uxaA"	"vacJ"	"yahN"	"ybaL"	"ybeA"	"ybjE"	"ycbC"	"yccE"	"ycjP"	"ydbD"	"ydcU"	"ydeH"	"ydiJ"	"yehU"	"yejA"	"yfaE"	"yfcN"	"yfhK"	"ygjF"	"yhaO"	"yjaG"	"yjaH"	"yjcC"	"yjeP"	"yjgN"	"ylaB"	"yraQ"	"zraR"
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aspA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0854501403782203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116146057827305	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128788904432929	0	0.115571168491449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00347393127997511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140776428255479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cysQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0773473963517512	0.112292959728248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0814236855835758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113698890951066	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0854501403782203	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0770932748145482	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0.141281174510969	0	0.0746438693763386	0	0	0.00238589767884961	0	0	0.101415921169741	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0033143905421217	0	0	0	0	0	0	0	0	0.102076211482485	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07686358619702	0	0	0	0	0	0	0	0	0	0	0.0245651590124681	0	0	0	0.0646554429815546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0	0.0776920811396854	0	0	0	0	-0.00228216122738589	0	0	0	0	0	0	0	0	0	0.0773473963517512	0	0	0	0	1	0.122816767447264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028051497281173	0	0.0750762465315958	0.0984547645818396	0	0	0	0	0	0	0	0	0.192627487632257	0	0	0	0	0	0	0	0	0	-0.103288556859906	0	0	0	0	-0.0474219774128355	0.0196785339981975	0	0	0	-0.00415805602858554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123556568981821	0	0	0	0	0	0	0
"ftsH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112292959728248	0	0	0	0	0.122816767447264	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119718840958264	0	0	0	0	0	0	0	0	0.0534170006707831	0	0	0	0	0.0598511542181631	0	0	0	0	-0.0244725876366825	0	0	0	0	0	0.0717331358210562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144238158398682	0	0	0	0	0	0	0
"ftsW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0428325285473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849326702249011	0.0777878821688431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142635398382799	0	0	0	0	0	0	0	0	0.143298677056069	0	0	0	0	0	0	0	0	0	0	0	0
"fusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601776092347837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0914650216423016	0.0972241316810029	0	0	0	0	0	0	0.11423369696316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798373471216713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113452256885508	0	0	0
"glgP"	0	0	0	0	0.031681369660617	0	0	0	0	0.0258560864795869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.141473238840938	0	0	0	0	0	0	0	0	0.244497695308025	-0.0126575752099662	0	0	0	0	0	0	0.0542345148328477	0	0	-0.0385331070764132	0.204281633842945	0	0.274956719801817	0	0	0	0	0	0	0	0.0294594120599441	0	0	0	0	0	0	0	0	0	0	-0.0443832135013071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110321988695281	0	0	0	0	0	0	0	0	0	0.0153439988470362	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0.0531772480088154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123103116285947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439990702600404	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356422193683135	0	0	0	0	0	0.0432069428241365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428325285473	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0156837193417481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315245305960629	0	0	0	0	0	0	0	0	0.0329611483768202	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991535502403771	0	0	0	0	0	0	0	0	0.0557632281631947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0788442130792435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166664438507756	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.00390749192589769	0	0	0	0	0	0	0	0.0658648046169554	0	0	0	0	0	0	0	0	0	0	0.0399978287685211	0	0	0	0	0	-0.00753877483628373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	-0.073357426046641	0	0	0	0	0.128788904432929	0	0	0	0	0	0	0	0	-0.0033143905421217	0	0	0	0	0	0	-0.141473238840938	0	0	0	0	0	1	0	0.0611746772351784	0	0	0.108558865804924	0	0	0	-0.100126209444537	0.125073632305552	0	0	0.0147793045489115	0	0	0	0	0	0	0.101000125920409	-0.000119904425497893	0	-0.0576265170547126	0	0	0	0	0	0	0	0	0	0	-0.123061858940696	0	0	0	0	0	0	0	0.0515995045768431	0	0	0	0	0	0	0	0	0	0	0	0.0973948312197155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gspF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gspG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115571168491449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0611746772351784	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0780117406859132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.125006037732985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115865997082411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00326061729716821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108558865804924	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119331093075597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0868570384149924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0377569422256057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329425135908224	0	0	0	0	0	-0.00507057207050174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0.0285800456376913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028051497281173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ispH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.178671324404215	0	0	0	0	0	0.0634861926336821	0.0085096268858696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0.128116017850594	0	0.0307885520590301	0.094264835095562	0	0	0	0	0.0431734535719794	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102076211482485	0.0750762465315958	0	0	0	0	0	0.244497695308025	0.0123103116285947	-0.0156837193417481	0	0	0	-0.100126209444537	0	0	0	0	0	-0.0377569422256057	0	0	1	0	0	0	0	0	0	0	0	0	0.00545180390112006	-0.0426578605396414	0.12271125120717	0	0.0459134219984818	0	0	0	0	0.0290716496831316	0	0	0	0	0	0.0239193764026394	0	0	0	0.0174212088142841	0	0	0.0110560742263114	-0.0117242837781191	0	0	0.0422011723821246	0	0	0.0282751095414702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0339081730037327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	0	0	0	0	0	0	-0.0398891749696661	0	0	0	0	0	0	0	0	0	0.0814236855835758	0	0	0	0	0.0984547645818396	0.119718840958264	0	0	0	0	-0.0126575752099662	0	0	0	0	-0.00390749192589769	0.125073632305552	0	0	0	0.00326061729716821	0	0	0	0	0	1	0	0	0.0898455666190147	0	0	0	0	0	0.168303057294091	0	0	0	0	0	0	0	0	0	-0.131843625632505	0.0492169543312237	0	0	0	-0.0419960470175905	0.177922879392911	0	0	0	-0.0136954644792662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429827337328502	0	0	0	0	0	0	0.12028587792087	0	0	0	0	0	0	0
