"ECB_00376"	"ECB_00737"	"ECB_01992"	"ECB_02008"	"ECB_02804"	"ECB_03523"	"ECB_04210"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"araE"	"atoC"	"atpF"	"cbpA"	"clpB"	"cls"	"crp"	"dapA"	"efeO"	"endA"	"fadH"	"fcl"	"fruK"	"glgC"	"glgP"	"glmM"	"glpF"	"glpG"	"hupB"	"iclR"	"ilvE"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"mdoG"	"metA"	"motB"	"mrdA"	"mreB"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"orn"	"pdhR"	"puuP"	"rep"	"rhlB"	"rho"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoH"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"slyA"	"speB"	"thiI"	"thrB"	"thrS"	"tldD"	"truB"	"wzyE"	"ybaL"	"ydiJ"	"yehU"	"yejA"	"yejM"	"ylbH"	"ynjA"
"IS5_ESec3"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142894205256179	0	0	0	0	0	0	0	0	0	0	-0.15176645189692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192834770657547	0	0	0	0	0	0	0	0	0	0	0.0922796302813327	0	0	0	0	0	0	0	0	0.00041671221249113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0	0	-0.00121364930902538	0	0	0	0	0	0.0416849507131144	0	0	1	0	0	0	0	0	0	0	0.0982444567250213	0	0	0	0	-0.104155615723746	0	0	0	0	0.0861786698971481	0	0	0	0	0	0.0193391914558372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0914964770225885	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0705950152856622	0	0	0	0	0	0	0	0	0	0.0677392534501966	0	0	0	0	0	0	0	0	0	0	0.115815283217718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494564727849394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0192237679925284	0	0	0.0256522183119423	0	-0.00145261153456133	0	0.042552827605259	0	0	0	0	0	0	0	0	0	0	-0.200066004625701	0	0	-0.0138140029138704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018890814196523	0	0.0278437611508157	0	0	0
"cbpA"	0	0	-0.00229020618449255	0	0	0	0	0	0	0	0	0	0	0.0705950152856622	0	1	0	0	0	0	0	0	0	0	0	0.0717371925558154	0	0	0	0	0	0	0	0	0	0	0.123768793047855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0602347331586078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"clpB"	0	0	0.0664792724303118	0	-0.00328631835639192	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0603223112677329	0.0582329158508764	0	0	0	0	0.0797630640235395	0	0	0	0	0	0.174296533419051	0	0	0	0	0	0	0.0131954545103494	-0.000180262407521317	0	0	0	0	0.0856149561790678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.194860236515258	0	0	0	0	0	0	0	0	0	0	-0.0809912783108211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	-0.0378483053331378	0	0	-0.0453194840005324	0	0	0	-0.00773326452681323	0.0392471880300487	0	0	0	0	0	-0.0192237679925284	0	0	0	1	0	0	-0.017908098252458	0	0	0	-0.159259781200893	0	0	0	0	0	0	0	0	0	0	0.164483545674446	0	0	0.0512799110504146	-0.012468828905366	0.0504254763558726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667268597109147	-0.0152186041969916	0	0	0	0.0174398359048721	0	0	0	0	0	0	0	-0.011913946103662	0	-0.0198987043589349	-0.0389197264942103	0	0
"dapA"	0	0.0864445646955312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.103423928240857	0	-0.0103026624867371	0	0	0	0	0	0	0	0	0	0	0.0938276462038779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0359800730796167	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0738097836387501	0
"efeO"	0	0	0	-0.00158555542193101	0	0	0	0	0	0.0422081064343416	0	0	0.0982444567250213	0	0	0	0	0	0	0	1	0	0	0	0	-0.104470798560281	0	0	0	0	0.0865393596332027	0	0	0	0	0	0.0196216617518574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0918142262154101	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256522183119423	0	0	0	-0.017908098252458	0	0	1	0	-0.000253162053259954	0	0.043171798732891	0	0	0	0	0	0	0	0	0	0	-0.199901953171884	0	0	-0.0126884079916413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0165206040379309	0	0.0256421584550588	0	0	0
"fadH"	0	0	0.126813913723062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0349473305397903	0	0	0	0	0	0	0	0	0	0	-0.0497630499082691	0	0.122648947620488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105927171417298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fcl"	0	0.110556434270318	0	0	0	0	0	0	0	0	0	0	0	0	-0.00145261153456133	0	0	0	0	0.103423928240857	0	-0.000253162053259954	0	1	0	-0.0122539641260228	0	0	0	0	0	0	0	0	0	0	0.12601463378949	0	0	0	0	0.0407595781793033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0685828342072707	0	0	0	0	0	0	0	0	0	0	0	-0.00183033747792285	0	0.100969311168153	0
"fruK"	0	0	0.0419692912440531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0603223112677329	0	0	0	0	0	0	0	1	0.0348715754050993	0	0	0	0	0.0381542710554848	0	0	0	0.10768690186082	0	0.0235111983329069	0	0	0	0	0	0	0.0812655872521538	0	0	0	0	0	0.0468809139850341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089992858709216	0	0	0	0	0	0	0	0	0	0
"glgC"	0.206072614551017	-0.0116216195572703	-0.0236550913420353	0.211515957665789	-0.149751807710602	-0.00930020492218784	-0.193901391347701	0.0700345729304166	-0.0806049570353789	-0.111894003494224	-0.142894205256179	0.192834770657547	-0.104155615723746	0.0677392534501966	0.042552827605259	0.0717371925558154	0.0582329158508764	0.194860236515258	-0.159259781200893	-0.0103026624867371	-0.104470798560281	0.043171798732891	-0.0349473305397903	-0.0122539641260228	0.0348715754050993	1	-0.0663424914943025	0.0192450982988806	0.0172722857471446	0.0420240969231078	0	0.0280178842020558	0.0640742200843615	-0.0100024879929724	0.066802673060348	-0.208238865690852	0	-0.00853115573142564	-0.0351597468887694	-0.0752441881664712	0.0720234531429253	-0.123717060034743	-0.020274979863424	0.0685978779651182	-0.147052310279779	0.204047947661454	-0.239565481345331	0.0177157954199191	-0.027768101246385	0.0541897753706772	-0.145136466050501	0.188257088222667	-0.0289914729373669	-0.00330891691603082	0.0185428708908329	-0.0349504924338737	0	0.173135709288787	0.0644825497262744	-0.108299444324004	0.0732981782429595	-0.200834486891181	-0.0184828020216568	-0.203059535427956	-0.0719899728313513	-0.0983669817483809	-0.00922248148358	0.0631485316743827	0.180146075820805	0.0205441063616579	0.0650716815013718	0.00501621236021666	0.0441903302498335	0.172991986911565	0.043537037944448	0.207189335318484	-0.00987084307878101	0.184578683820055
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0663424914943025	1	0.131764073650301	0.0966038728116935	0	0	0	0.100940362906839	0	0.109840934067523	0	0.0374252831712085	0	0	0	0	0	0	0	0	0	0	0.105124256515781	0	0	0	0	0	0	0.112833035312039	0	0	0	0	0	0	0	0	0	0	0	0	0.0819706964327969	0	0.132713093338531	0.0932159654898927	0	0	0	0	0	0	0
"glmM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192450982988806	0.131764073650301	1	0.11715114369883	0	0	0	0	0	0	0	-0.0358202448966471	0	0	0	0	0	0	0	0	0	0	0.120706698836801	0	0	0	0	0	0	0.12355684041488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131332140573687	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172722857471446	0.0966038728116935	0.11715114369883	1	0	0	0	0	0	0	0	-0.0308443874750226	0	0	0	0	0	0	0	0	0	0	0.106018983090492	0	0	0	0	0	0	0.109209530614284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117820979954658	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0420240969231078	0	0	0	1	0	0	0	0	0	0	-0.0698250895871063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0.0877551084861277	0	0	0	0	0	0	0	0	0	0.0861786698971481	0	0	0	0.0797630640235395	0	0	0	0.0865393596332027	0	0	0	0.0381542710554848	0	0	0	0	0	1	0	0	0	0	0	0.0110068610722045	0	0	0	0	0	0	0	0	0	0	0	0	0.0704732826791692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0781455332266525	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280178842020558	0	0	0	0	0	1	0	0	0.0098985497044719	0	-0.0768857693957516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0640742200843615	0.100940362906839	0	0	0	0	0	1	0	0	0	0.00902391434172936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0780264851742086	0	0	0	0	0	0	0	0	0	0	0	0	0.129241417001676	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0.101504080298873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0100024879929724	0	0	0	0	0	0	0	1	0	0	0.0410039390639756	0.106562316952303	0	0	0	0.00702722065445045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0579509011686259	0	0	0	0.106206657297023	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10768690186082	0.066802673060348	0.109840934067523	0	0	0	0	0.0098985497044719	0	0	1	0	0	0	0	0	0	0	0	0.0968033676232304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129430845009372	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0.00330624731974268	-0.00267317271986138	0	0	0.0160867520086621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.208238865690852	0	0	0	0	0	0	0	0	0	1	-0.00362259077275138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235698915255063	0	0.0256951667279583	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	-0.0649134219282002	0.102825006586315	0	-0.0637239089622458	-0.158803887613266	0.0398697284315406	-0.000991820850678107	-0.0923440401329005	0.173231994037121	0.100884905246587	-0.15176645189692	0.0922796302813327	0.0193391914558372	0.115815283217718	-0.200066004625701	0.123768793047855	0.174296533419051	-0.0809912783108211	0.164483545674446	0.0938276462038779	0.0196216617518574	-0.199901953171884	-0.0497630499082691	0.12601463378949	0.0235111983329069	0	0.0374252831712085	-0.0358202448966471	-0.0308443874750226	-0.0698250895871063	0.0110068610722045	-0.0768857693957516	0.00902391434172936	0.0410039390639756	0	-0.00362259077275138	1	0.0382044109626952	-0.0499944384584133	0.173719940551989	-0.0949187575263193	0.227178641333622	0.021742889056469	0.089346961134016	-0.156396003629151	0.0964935157420003	-0.0141914567253978	-0.0308469460270792	-0.107795181277565	0.154479843838337	-0.15419276704072	0.0900338273171093	-0.119504069561588	-0.227274703345251	-0.0329477182693271	-0.0480999293886052	0.0705631511464214	0.05212699826845	0.110251816289036	0.0508880731075597	-0.0972960383135686	-0.000783107512719892	0.117744107723793	-0.000766800570121471	0.15174104679579	0.0185866074254876	0.0402219593765741	0	0.0865380300456077	-0.0365545430183256	0.00862213398679636	0.0126173239696572	-0.195384287912959	0.245884399140008	-0.200751670874838	-0.0646612806258767	0.0912646164251722	0.088573283952771
"kpsM"	0	0	0	0	0	0.117771422376973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00853115573142564	0	0	0	0	0	0	0	0.106562316952303	0	0	0.0382044109626952	1	0	0	0	0.0243923204209182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729877354747153	0	0	0	0.122069207308741	0	0	0	0	0	0	0	0	0	0	0
"mdoG"	0	0	0.126257964251884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122648947620488	0	0	-0.0351597468887694	0	0	0	0	0	0	0	0	0	0	-0.0499944384584133	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105565442473404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	-0.0145360981421421	0	0	-0.020565481674543	0	0	0	-0.000440643152118178	0.0671526462469254	0.0234793444441952	0	0	0	0	-0.0138140029138704	0	0	0	0.0512799110504146	0	0	-0.0126884079916413	0	0	0	-0.0752441881664712	0	0	0	0	0	0	0	0	0	0	0.173719940551989	0	0	1	-0.00446979596247585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0067823743972671	0	0	0	0.0503794511700165	0	0	0	0	0	0	0	-0.00732850818052079	0	-0.014317239115179	-0.015388606621591	0	0
"motB"	0	0	0	0	0	0	0	0.101790981238221	0	0	0	0	0	0	0	0	0	0	-0.012468828905366	0	0	0	0	0	0	0.0720234531429253	0	0	0	0	0	0	0	0	0	0	-0.0949187575263193	0	0	-0.00446979596247585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109573240300026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0.00865611821589552	0	-0.00618107571636364	0	0.0199110539896852	0	0	0	0	0	0	0	0	0	0	0	0	0.0504254763558726	0	0	0	0	0.0407595781793033	0	-0.123717060034743	0	0	0	0	0	0	0	0.00702722065445045	0	0	0.227178641333622	0.0243923204209182	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267189329620589	0	0	0.0643004587098523	0	0	0	0.0252087529381335	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.020274979863424	0	0	0	0	0	0	0	0	0	0	0.021742889056469	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131954545103494	0	0	0	0	0	0	0	0.0812655872521538	0.0685978779651182	0	0	0	0	0	0	0	0	0.0968033676232304	0	0.089346961134016	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077168028147587	0	0	0	0	0	0	0	0	0	0
"nagD"	0	0	0	0	0.00126265444444428	0	0	0	0	0	0	0	0	0	0	0	-0.000180262407521317	0	0	0	0	0	0	0	0	-0.147052310279779	0	0	0	0	0	0	0	0	0	0	-0.156396003629151	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0	0	0	0	0	0	0	0	0	0	0	0.00041671221249113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204047947661454	0	0	0	0	0	0	0	0	0	0	0.0964935157420003	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.239565481345331	0	0	0	0	0	0	0	0	0	0	-0.0141914567253978	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177157954199191	0.105124256515781	0.120706698836801	0.106018983090492	0	0	0	0	0	0	0	-0.0308469460270792	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.112934631394641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121353838453933	0	0	0	0	0	0	0	0
"orn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.027768101246385	0	0	0	0	0	0	0	0	0	0	-0.107795181277565	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.120151057116518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pdhR"	0	0	0.0613524735538323	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0856149561790678	0	0	0	0	0	0	0	0.0468809139850341	0.0541897753706772	0	0	0	0	0.0704732826791692	0	0	0	0	0	0.154479843838337	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"puuP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.145136466050501	0	0	0	0	0	0	0	0	0	0	-0.15419276704072	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rep"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188257088222667	0	0	0	0	0	0	0	0	0	0	0.0900338273171093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhlB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0289914729373669	0	0	0	0	0	0	0	0	0	0	-0.119504069561588	0	0	0	0	0	0	0	0	0	0	0	0.120151057116518	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00330891691603082	0	0	0	0	0	0	0	0	0	0	-0.227274703345251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rnc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185428708908329	0.112833035312039	0.12355684041488	0.109209530614284	0	0	0	0	0	0	0	-0.0329477182693271	0	0	0	0	0	0	0	0	0	0	0.112934631394641	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124182132358295	0	0	0	0	0	0	0	0
"rpoA"	0	0	0.100874883702678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105927171417298	0	0	-0.0349504924338737	0	0	0	0	0	0	0	0	0	0	-0.0480999293886052	0	0.105565442473404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0705631511464214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173135709288787	0	0	0	0	0	0	0.0780264851742086	0	0	0	0.05212699826845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.074207287555988	0	0	0	0	0	0	0
