"ECB_00503"	"ECB_01992"	"ECB_02002"	"ECB_misc_RNA_47"	"ESCRE0483"	"ESCRE1397"	"ESCRE1901"	"aroA"	"atpF"	"cls"	"dedA"	"dnaA"	"dusB"	"eamA"	"ebgA"	"endA"	"entF"	"eutJ"	"fbp"	"frmC"	"fruK"	"fsr"	"gabD"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hslU"	"hycE"	"iclR"	"infB"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"lsrG"	"manX"	"manZ"	"mdoH"	"metH"	"metJ"	"metW"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nusA"	"ompR"	"ppk"	"prc"	"prfA"	"proQ"	"proW"	"pta"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsR"	"rssB"	"sbcC"	"secF"	"thrA"	"thrS"	"topA"	"uraA"	"uspA"	"uvrD"	"valT"	"wzyE"	"yahA"	"ybaL"	"ybhJ"	"ycbC"	"ycgV"	"ydaE"	"ydeJ"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfcD"	"yfeY"	"yfiB"	"ygcN"	"ygfA"	"ygfK"	"yraL"
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eamA"	0	0	0.0763203085108469	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0234298149053182	-0.142834566206695	0	0	0	0	0	-0.10305200050264	0	0	0	0.0331155693643192	0	-0.0648413873114873	0	0	0	0	0.102512876868384	0	0	0	0	0	0	0	-0.0474115043448139	0	0	-0.0122533089451473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00450139098996499	0	0	0	0	0	0	0	0.0819256371443835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ebgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0.141601676425303	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.06724109272539	0	0	0	0	0	-0.00163557535209872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0566195547974512	0	0.139024009771403	0	0	0	0	0	0	0
"entF"	0	0	0	0.145442702838851	0	0	0.0529911285465873	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00794697552912577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134334476097281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00751832993905159	0	0	0	0	0	0.144398601487399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0182566926923166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.132651332146207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116209610546834	0.116165864470634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121738641929548
"frmC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fsr"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gabD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234298149053182	0	0	0	0	0	0	0	0	1	-0.0938121047225875	0	0	0	0	0	-0.00331529697601678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	-0.186576126296526	-0.0948154841599011	0	0	-0.00354388592241879	0.083771002541385	-0.0726936620074632	0	0	0.0263108176526609	0	-0.142834566206695	0	-0.06724109272539	0	0	0.132651332146207	0	0	0	-0.0938121047225875	1	0.035024038163667	0	0	0.0667885900332771	0	0.055057851670227	0	-0.0948997321383859	0	0	0	0.115889833091943	0	0	0	0	-0.133901783715702	0.0169172881328393	0	0	-0.0984056818546187	0	0	0	0.0743310202600597	0	0	0.197013955263418	0	0	-0.0236009953369451	0.0204426587659059	0	0	-0.065331584134357	0.0192608773454948	-0.0203169274546126	-0.184414269130616	0	0	0.293096633110119	-0.00821122279034461	-0.00258448120116044	0	0	0.107035600285913	0.134087940440209	0	-0.00865925842598439	0	-0.202347435157468	-0.123386207795469	0.00803189099711053	0.0267754606155437	0	0	0	0	0	-0.105586251747082	0.00341893324408693	0	-0.135167273677485	0	-0.0335157149674042	-0.0262337606469018	-0.0714036795711808	0	0.000892575341093856	0	0	0.0134783455927145	0	0.138194264563797
"glgP"	0	0.0906620243615121	0	-0.0722160476993908	0	-0.0177390537535457	-0.133825084902815	0	0	0	0	0	0	0	0	0	-0.00794697552912577	0	0	0	0	0	0	0.035024038163667	1	0	0	0	0.132865644171385	0	0	0	0	0.0383964123547896	0.126495953497148	0	0	0	0	0	0	0.114188186397003	0	-0.00847006116407186	0	0.140311258323462	0	0	0.0550669520762075	-0.0409190947893151	0	0	0.124468571915252	0	0	0	0	0	0	0.118371232806461	0	0	0	0	0	-0.0135893372598634	0	0	0	0	0	0	-0.10412169149484	0	0	0	0	0.134872700913149	-0.00484900786777535	0.0353293179606561	0	-0.0801893599479145	0	0	0	0	-0.00521326152214721	0	0	0	0	0	0	0	0	0	0	0
"glpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0784974964235261	0	0	0	0	0	0	0	0	0.100893260617334	0	0	0.0818816448738202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764064252054414	0	0	0	0	0.0119942382173426	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859583228314359	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0.0229179291817279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.109172608884473	0.0351610649717654	0	0	0.0285928452319711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0249175423439426	0	0	0	0.0211615101828692	0	0	0	0	0	0	0.01089767913881	0	0	0	0	0	-0.134576549881906	0	0	0.0398784508771017	0	0	0	0	0	0	0	0	0	0	0.0244125969772859	0	0	0	0	0	0	0	0	0	0	0.0210808359182604	0.0691337253386307	0	0	0	0	0
"glpG"	0	0.0209161067659829	0	-0.031363116678348	0	0	-0.0196411559929481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667885900332771	0	0	0	1	0	0	0	0	0	0.00470500692995366	0	0	0	0	0.115217301712534	0	0	0	0	0	0	0	0	0	0	-0.0272102931197869	0	0.0344462346321834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0238857085759439	0.0813344147904121	0	0	0	0	-0.0688678295694297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0.128818378216572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132865644171385	0	0	0	1	0.000671751844215269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155183069579422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00348614250386515	0	0	0	0	0	0	0.0572344916033983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0.00542518099378499	0	-0.080164194288628	0	-0.0450967843318468	0.0231888928825909	0	0.135721857463277	-0.0077698492112294	-0.167777698499545	0	0	0	-0.10305200050264	0	-0.00163557535209872	0	0.0182566926923166	0	0	0	0	-0.00331529697601678	0.055057851670227	0	0	-0.109172608884473	0	0.000671751844215269	1	0	0	0.108514559337744	-0.212993424554833	0	0.142138549020135	0.106836888719321	0	0.0144711131994137	0.105881465485591	-0.0737695772043668	0	0	0	0	0.00181410573658945	0.00386867996634192	-0.0563198155547525	0.209491029273743	0.0336966807983886	0	0	0	0	0	0	0.00193115136586509	0	0	0	-0.0912626553288447	-0.256723750936269	0.106850279572248	0	0.012849728048394	0	0.0849563358328816	0.00323653530020905	-0.0604186354001659	0	0	0	0.00627484708581869	0	-0.0889312179732455	0	0	0.00604082736283439	8.74105898795637e-07	0	-0.00387526853344432	0	0	-0.00357731265224904	0	0.000209819711846586	-0.0170602603645564	0	0	0.0273940343227206	-0.00636304645423775	-0.00330050907518827	-0.0149302556172052	0	0	0	0	0
"gltL"	0	0	0	0	0	0	0.0579233736816187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351610649717654	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903170722744549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0489990084894107	0	0	0	0	0	0	0	0	0	0
"hslU"	0	0.118789669820344	0.0855234396048273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0948997321383859	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551180469040676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128972707322859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108514559337744	0	0	1	-0.0142506230982599	0	0	0.0780561864647179	0	0	0.0584162553490844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481054554243517	0	0	0	0.0684182795887884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307480533691399	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.0122465706541807	0.0111063165708664	-0.00200013336264416	-0.0233315035152093	0	0	0	0	0	0	0.0331155693643192	0	0	0	0	0	0	0	0	0	0	0.0383964123547896	0	0.0285928452319711	0.00470500692995366	0	-0.212993424554833	0	0	-0.0142506230982599	1	0.0803041462532877	-0.030108811934987	-0.054962476713689	-0.017224744741507	0	-0.0332816325825512	0	0	0	0	0	0	-0.0366143454359322	0.0481214793417884	-0.0583297567285232	-0.128632853638532	0	0	0.0783746128752457	0	0	0	0	0	0	0	0.0289318787962484	0.0267611390111312	-0.0232873685359736	0	0	0	-0.200540914084307	0	0.0570206987523265	0	0	0	-0.112243095155255	0	0	0	0	0	-0.0361554330928603	0	0	0	0	0	0	-0.0237626438539458	0	0	0	-0.0529209823131916	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126495953497148	0	0	0	0	0	0	0	0	0.0803041462532877	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000501245418252119	0	0	0.109959302083342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0209347136002785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.102382908001503	-0.00969473461731372	-0.0635735411820616	0	0	0.141712123062147	0	0.037686145727493	0	0	0.0702026527730904	0	0	-0.0648413873114873	0	0	0	0	0	0	0	0	0	0.115889833091943	0	0	0	0	0	0.142138549020135	0	0	0	-0.030108811934987	0	1	0	0	0	0	-0.0280975743455391	0	0	0	0	0	0	0	0	0	0.0129439363438703	0.105083497374849	0	0	0	0	0.0917724564178278	0	0	0	0	-0.0229467104163029	0	0	0	0	0	0	0	0	0	0	0	0	-0.0686367546983331	0	0.00855589168683597	0	0	0	0	0.0127154421473989	0	-0.0112095111568704	0	0	-0.0131098314078797	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106836888719321	0	0	0.0780561864647179	-0.054962476713689	0	0	1	0	0	0.0881575214406797	0	0	0	0	0	0	0	0	0.0385706882695972	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0830120929491049	0	0	0	0.080154627849666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0722976609560932	0	0	0	0	0	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0784974964235261	0	0	0	0	0	0	0	-0.017224744741507	0	0	0	1	0	0	0	0	0	0	0	0	0.119140622924123	0	0	0.0988968888121543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931972582028095	0	0	0	0	0.0755927214270287	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111529564223857	0	0	0	0	0	0	0	0	0	0	0	0
"kpsT"	0	0.1528778868047	0	-0.00793834507856008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115217301712534	0	0.0144711131994137	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.115836939009177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154511225491244	0	0	0	0	-0.00278727622585958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124443862725332	0	0	0	0	0	0	0	0
"lptB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105881465485591	0	0	0.0584162553490844	-0.0332816325825512	0	0	0.0881575214406797	0	0	1	0	0	0	0	0	0	0	0	0.0173516453247222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0657879103808183	0	0	0	0.0732882215018588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0514193874289791	0	0	0	0	0	0	0	0
"lsrG"	0	0	0.0463452023114026	0	0	0	0	0	0	0	0	0	0	0.102512876868384	0	0	0	0	0	0	0	0	0	-0.133901783715702	0	0	0	0	0	-0.0737695772043668	0	0	0	0	0	-0.0280975743455391	0	0	0	0	1	0	0	0	0	0	0	0	-0.00144555662213327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0570948110628567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169172881328393	0.114188186397003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0812738476157895	0	0	0	0	0	0	0	0	0	0	0.124070503560169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139567780423355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0.0690312100729706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0113616388655542	0	0	0.0555984129839483	0	0	0	0	0	0	0	0	0	0	0.0446407143237567	0	0	0	0	0	0	0	0	0	0	0.0406871398866239	0.0955520448965677	0	0	0	0	0
"mdoH"	0	0	0	0.145844037601742	0	0	0.0537551558796541	0	0	0	0	0	0	0	0	0	0.134334476097281	0	0	0	0	0	0	0	-0.00847006116407186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00777082506102807	0	0	0	0	0	0.144591950846572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0.0766140483852221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0984056818546187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466481285178937	0.0719040709341405	0	0	0	0	0	0	0	0	0	0	0.101038647246491	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0.138070689312702	0	-0.00170341660230484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140311258323462	0	0	0	0.155183069579422	0.00181410573658945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00967515340216226	0	0	0	0	0	0	0.0742373696072579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100893260617334	0	0	0	0.00386867996634192	0	0	0	-0.0366143454359322	0	0	0	0.119140622924123	0	0	0	0	0	0	0	0	1	0	0	0.105467572007058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0983551147666751	0	0	0	0	0.0990066290540929	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12145555278656	0	0	0	0	0	0	0	0	0	0	0	0
