"ECB_00739"	"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02804"	"ESCRE1901"	"ESCRE4497"	"IS3_insF"	"IS5_ESec3"	"atpF"	"bglJ"	"cls"	"crp"	"endA"	"glgP"	"glpF"	"glpR"	"gltL"	"hemA"	"iclR"	"ilvG"	"kpsD"	"kpsE"	"kpsM"	"lon"	"metA"	"metH"	"mrdA"	"mrdB"	"mreB"	"nagD"	"nusA"	"pta"	"puuP"	"rho"	"rpoB"	"rpoD"	"speB"	"thrA"	"vacJ"	"valT"	"yahG"	"ybaL"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfcN"	"yfhK"	"yfiB"	"ygcN"	"yraQ"
"glgP"	0	0.10917496775336	0.118211459987619	-0.00406531555951965	-0.0812214365120712	-0.123739356683497	0	0	-0.0732472170183887	0	-0.0104949069033904	0	-0.0338957173820433	0	1	-0.162597837945454	0.106471970554439	-0.122154084397656	-0.000101833293981726	0	-0.00643391309236771	-0.00635368786779234	-0.0369179321710465	0.121539203177167	0	-0.0472936043287099	0.0320056245613591	0	0	0	-0.0787498573786665	-0.139142990738118	-0.0331183159825011	-0.0759536485247764	0	0	0.0190674639213717	-0.00464933273667896	0	0.11659120811096	0	-0.0446290467648877	0	-0.127891018281682	0	0	0	0	0.174938004855771	0	-0.134005340703011	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0.111535072454576	0	0	0	-0.162597837945454	1	0	0.0620728485831875	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340499942772558	0.156615874302295	0	0	0	-0.0141065091917508	0	0	0	0	0.177799096281241	0	0.0415714673870845	0	0.030649583147879	0	0	0	0	0.0148006465305189	0
"glpR"	0	0.0691710663323589	0.0184962872342689	0	0	-0.0898131090530384	0	0	0	0	0	0	-0.01806332364581	0	0.106471970554439	0	1	-0.0713078904943165	0	0	-0.0590287324162601	-0.0245949970934853	-0.0243939590909215	0	0	-0.0465983961216912	0.22544322881869	0	0	0	0	-0.0685100928138679	0	0	0	0	-0.0459351798101305	0	0	0.0350727017155568	0	-0.0269727035185465	0	-0.0579466408574255	0	0	0	0	0	0	-0.0417266374355932	0
"gltL"	0	-0.0732274216920205	-0.0484077276339819	0	0.0104580597975939	0.0771009077323216	-0.03641979894579	0	0	0	0	0	0	0	-0.122154084397656	0.0620728485831875	-0.0713078904943165	1	0	0	0.019812458181835	0.00106161015338575	0	-0.0582442195963959	-0.0453361972863608	0	-0.0107390603554931	0	0	0.0484005943017659	0.0025683230971102	0.0997130649483604	0	0	0	0	0	0	0	-0.0579834667281403	0	0	0	0.11711571485991	0	0	0	0	-0.0150697099603744	0	0.115357780295093	0
"hemA"	0	-0.030386656927484	0	0.120644742584424	0	0	0	0	0	0	0	0	0	0	-0.000101833293981726	0	0	0	1	0	0.158821794425313	0.13899749021479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0816385487131552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0.0245445978367159	0	-0.00932036000328951	0.0584433206285111	0	0	0	0.0305476693653928	0	0	0	0	0	0	0	0	0	0	1	-0.0955250141241972	-0.0498344591137584	0	-0.0149882344033767	0	0	0	0	-0.00036388014496132	0	0.0447990313187956	0	0.0786714099502964	0.0368319324545408	0	0	-0.3085419062472	0	0	0	0	0	0	0	0	0	0	0	-0.00558028497863698	0	0	0
"ilvG"	0	-0.0683463295838255	-0.0583955812976476	0.164679307654871	0	0.0832356942946082	0	0	0	0	0	0	0	0	-0.00643391309236771	0	-0.0590287324162601	0.019812458181835	0.158821794425313	-0.0955250141241972	1	0.167564176206828	0	0	0	0	-0.00796072143482256	0	0	0	0	0	0	0	-0.0151945460987039	0	0.124996478951315	0	0	-0.0641613549512736	0	0	0	0.0134748189145247	0	0	0	0	0	0	0.00772156664195698	0
"kpsD"	0	-0.0532742862772008	-0.0207311215356147	0.146619603074253	0	0.0360182363596404	0	0	0	0	0	0	0	0	-0.00635368786779234	0	-0.0245949970934853	0.00106161015338575	0.13899749021479	-0.0498344591137584	0.167564176206828	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113026632799197	0	0	-0.0335979255559612	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	-0.0236048889001332	0	0	0	0.0533457942551836	0	0.124432262803316	0	0	0	0	0.170483109796316	0	-0.0369179321710465	0	-0.0243939590909215	0	0	0	0	0	1	0	0	0.179140839328932	0	0.101376305323849	0	0	0	0	0	0	0	0	0.0247399093966527	0.152938418559817	0	-0.0043053138871674	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	0	0.0169286255685938	0	0	-0.100062574305414	0	0.115785306049009	0	-0.083415218026039	0	0	0	0	0	0.121539203177167	0	0	-0.0582442195963959	0	-0.0149882344033767	0	0	0	1	0.124289544281579	0	0	0.0272190199045721	0	0	-0.091882571627413	-0.134945755588319	0	-0.0872344961036478	0	0	0.081952533223382	0	0	0	0	0	0	-0.0470052831826364	0	0	0	0	0.0577775820352594	0	-0.0304240782760299	0
"lon"	0	0.00773009498631278	0	0	-0.0703341653872506	0	0.193896800560525	0	-0.0571216997659456	0	0	0	0	0	0	0	0	-0.0453361972863608	0	0	0	0	0	0.124289544281579	1	0	0	0.158979817029487	0	-0.0111639954244133	-0.0635854963937324	-0.0965201908480385	0	-0.060049925000921	0	0	0	0	0	0	0	0	0	-0.0369312329860867	0	0	0	0	0	0	-0.0237106394890357	0
"metA"	0	-0.0340648177627462	-0.0154300095477217	0	0	0.0788378316682511	0	0.158742115364649	0	0	0	0	0.179164766316291	0	-0.0472936043287099	0	-0.0465983961216912	0	0	0	0	0	0.179140839328932	0	0	1	-0.0125376202440239	0.130511434354111	0	0	0	0	0	0	0	0	0.0284450852123156	0.176730599460581	0	-0.0232919140371676	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320056245613591	0	0.22544322881869	-0.0107390603554931	0	0	-0.00796072143482256	0	0	0	0	-0.0125376202440239	1	0	0	0	0	-0.0110206994246021	0	0	0	0	-0.0247449523526633	0	0	0	0	-0.0125819591577921	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	-0.00867897008569401	0	0.136185610226019	0	0	0	0.125815357901702	0	0.0924513957978431	0	0	0	0	0	0	0	0	0	0.101376305323849	0.0272190199045721	0.158979817029487	0.130511434354111	0	1	0	0	0	0	0	0	0	0	0.0358538813682071	0.0149826534759192	0	0	0	0.180752801260682	0	0	0	0.0851424556147377	0	0	0	0	0	0
"mrdB"	0	-0.0144814466016708	0	0	0	0.0531086696032637	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00036388014496132	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.144155431002436	0	0.170964844410217	0	0.169204232755215	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0484005943017659	0	0	0	0	0	0	-0.0111639954244133	0	0	0	0	1	0	0	0	0	0	0	0.127334692773283	0	0	0	0	0	0	0.0401914623895724	0	0	0	0	0	0	0.0263709234910186	0
"nagD"	0	0	0	0	0.10647883993628	0	-0.0545272939785452	0	0.0982469217153631	0	0	0	0	0	-0.0787498573786665	0	0	0.0025683230971102	0	0.0447990313187956	0	0	0	-0.091882571627413	-0.0635854963937324	0	0	0	0	0	1	0.10291894903419	0	0.100139232920203	0	0	-0.0916911397336499	0	0	0	0	0	0	0	0	0	0	0	-0.0508935567760216	0	0	0
"nusA"	0	-0.0690348254787595	-0.0470588143330069	0	0.106364397117382	0.0620278303240168	-0.0917794429929468	0	0.0984383546760391	0	0	0	0	0	-0.139142990738118	0.0340499942772558	-0.0685100928138679	0.0997130649483604	0	0	0	0	0	-0.134945755588319	-0.0965201908480385	0	-0.0110206994246021	0	0	0	0.10291894903419	1	0	0.100612252906001	0	0	-0.000813010082145088	0	0	-0.0557243954287846	0	0	0	0.0977881325257091	0	0	0	0	-0.0852485048552652	0	0.0937825568536418	0
"pta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0331183159825011	0.156615874302295	0	0	0	0.0786714099502964	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.130600682026181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"puuP"	0	0	0	0	0.104749350942019	0	-0.0502514664026204	0	0.0952548685635946	0	0	0	0	0	-0.0759536485247764	0	0	0	0	0.0368319324545408	0	0	0	-0.0872344961036478	-0.060049925000921	0	0	0	0	0	0.100139232920203	0.100612252906001	0	1	0	0	-0.0869151518119175	0	0	0	0	0	0	0	0	0	0	0	-0.0458865564090834	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0151945460987039	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.364958824070257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.254517399603544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	-0.103220984432728	-0.052557083896819	-0.0707120122683755	0.0980439392078924	-0.0992125455016775	0.183584660932868	0	0.0023604657164656	-0.0835968152080672	-0.0769660923141453	0.0206238827502738	-0.209321851612558	0.0236194474437755	-0.0697327847503949	0.0190674639213717	-0.0141065091917508	-0.0459351798101305	0	0.0816385487131552	-0.3085419062472	0.124996478951315	0.113026632799197	0.0247399093966527	0.081952533223382	0	0.0284450852123156	-0.0247449523526633	0.0358538813682071	0.144155431002436	0.127334692773283	-0.0916911397336499	-0.000813010082145088	-0.130600682026181	-0.0869151518119175	-0.364958824070257	0.254517399603544	1	0.0147214759238387	0.135557996075454	-0.0693857560378863	0.132279947186086	0.0238236032950272	0.00129723459428252	0	-0.0573607941930052	0	-0.0749953009641953	-0.0799241397099556	0.1365184863622	-0.0217149391823679	0	-0.0603346830039534
"speB"	0	0	0	0	0	0	0	0.0206046222690627	0	0	0	0	0.145857797549653	0	-0.00464933273667896	0	0	0	0	0	0	0	0.152938418559817	0	0	0.176730599460581	0	0.0149826534759192	0	0	0	0	0	0	0	0	0.0147214759238387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrA"	0	-0.00917313814614964	0	0	0	0.0430599671664754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170964844410217	0	0	0	0	0	0	0	0.135557996075454	0	1	0	0.164359137882763	0	0	0	0	0	0	0	0	0	0	0
"vacJ"	0	0.0965856524666978	0.068793924326113	-0.00784257619150762	0	-0.0766966333467007	0	0	0	0	0	0	0	0	0.11659120811096	0	0.0350727017155568	-0.0579834667281403	0	0	-0.0641613549512736	-0.0335979255559612	-0.0043053138871674	0	0	-0.0232919140371676	0	0	0	0	0	-0.0557243954287846	0	0	0	0	-0.0693857560378863	0	0	1	0	0	0	-0.04619998174442	0	0	0	0	0	0	-0.0317917353622452	0
"valT"	0	-0.00704579462020401	0	0	0	0.0390763254444999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169204232755215	0	0	0	0	0	0	0	0.132279947186086	0	0.164359137882763	0	1	0	0	0	0	0	0	0	0	0	0	0
"yahG"	0.000662907056377422	0	0	0	0	0	0	0	0	0	0.239135959841624	0	0	0	-0.0446290467648877	0.177799096281241	-0.0269727035185465	0	0	0	0	0	0	0	0	0	-0.0125819591577921	0.180752801260682	0	0	0	0	0	0	0	0	0.0238236032950272	0	0	0	0	1	0	0	0	0.236587695641489	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129723459428252	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ydgR"	0	-0.0678278544945145	-0.0332981912331358	0	0.00212284224093219	0.0603627765073095	-0.0259474225350569	0	0	0	0	0	0	0	-0.127891018281682	0.0415714673870845	-0.0579466408574255	0.11711571485991	0	0	0.0134748189145247	0	0	-0.0470052831826364	-0.0369312329860867	0	0	0	0	0.0401914623895724	0	0.0977881325257091	0	0	0	0	0	0	0	-0.04619998174442	0	0	0	1	0	0	0	0	-0.00406912761359734	0	0.107655773214508	0
"ydiJ"	0	0	0	0	0	0	0	0	0	0.16657534732641	0	0	0	0.15987865802238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0573607941930052	0	0	0	0	0	0	0	1	0	0.16485287954748	0	0	0	0	0
"yehU"	0.19748358714766	0	0	0	0	0	0	0	0	0	0.189670260208614	0	0	0	0	0.030649583147879	0	0	0	0	0	0	0	0	0	0	0	0.0851424556147377	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236587695641489	0	0	0	1	0	0.17400794500806	0	0	0	0.147784622307359
"yejA"	0	0	0	0	0	0	0	0	0	0.18279748489783	0	0	0	0.176927886195596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0749953009641953	0	0	0	0	0	0	0	0.16485287954748	0	1	0	0	0	0	0
"yfcN"	0.204970757251657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0799241397099556	0	0	0	0	0	0	0	0	0.17400794500806	0	1	0	0	0	0.16865794841036
"yfhK"	0	0	0	0	-0.0583773533076005	0	0	0	-0.0419139072692873	0	0	0	0	0	0.174938004855771	0	0	-0.0150697099603744	0	-0.00558028497863698	0	0	0	0.0577775820352594	0	0	0	0	0	0	-0.0508935567760216	-0.0852485048552652	0	-0.0458865564090834	0	0	0.1365184863622	0	0	0	0	0	0	-0.00406912761359734	0	0	0	0	1	0	0	0
"yfiB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0217149391823679	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ygcN"	0	-0.0621101865487882	-0.0144245943430209	0	0	0.0418156312968301	-0.0102134952014355	0	0	0	0	0	0	0	-0.134005340703011	0.0148006465305189	-0.0417266374355932	0.115357780295093	0	0	0.00772156664195698	0	0	-0.0304240782760299	-0.0237106394890357	0	0	0	0	0.0263709234910186	0	0.0937825568536418	0	0	0	0	0	0	0	-0.0317917353622452	0	0	0	0.107655773214508	0	0	0	0	0	0	1	0
"yraQ"	0.188275390021578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0603346830039534	0	0	0	0	0	0	0	0	0.147784622307359	0	0.16865794841036	0	0	0	1
