"ECB_00503"	"ECB_01992"	"ECB_02512"	"ECB_04076"	"ECB_04210"	"ESCRE1397"	"ESCRE1901"	"cls"	"dedA"	"dusB"	"fbp"	"ftsW"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"hupB"	"hyfG"	"iclR"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"prc"	"rep"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"secF"	"slyA"	"uspA"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ycbC"	"yccE"	"ydaE"	"ydcU"	"yeeJ"	"yfaE"	"ygiV"	"yjbA"	"yjeP"	"yraM"
"fbp"	0	0	-0.0912211160321379	0	0	0.184153315556623	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.02527277734245e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10445797096327	0	0	0	0	0
"ftsW"	0	0	-0.00516962122689481	0	0	0.00893293313100034	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.226440259838382	0	0	0	0	0
"glgC"	0	0	-0.233480969329247	0	0	-0.0632200292606143	0	0	0	0	0	0	1	0	0	0	0.0302563429708433	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196680620826162	0	0	-0.00544028158801683	0	0	0.0216096890886551	0	0	0	0	0	0	0	-0.00259273485614429	0	0	-0.00599101566972122	0	0	0	0	0	-0.0783701225463571	0	0	0	0	0
"glgP"	0	0	-0.1620376579102	0	0	0.0337363946150639	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214332087238456	0	0	0	0	0
"glpE"	0	0	0.153279233620467	0	0	-0.041902046275056	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115885988400986	0	0	0	0	0
"glpF"	0	0	-0.00388908547198371	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.211590520690009	0	0	0	0	0
"glpG"	0	0	-0.226935450717941	0	0	-0.0580489918990339	0	0	0	0	0	0	0.0302563429708433	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095005947449065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0754448258896798	0	0	0	0	0
"glpR"	0	0	-0.186161558086572	0	0	0.0548212937033885	0.157342583434929	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0.108069666605667	0	0	-0.200887568392527	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.01293656427903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012589659436657	0	0	0.0767604609666642	0	0	0	0	0
"hyfG"	0	0	-0.0888968412318207	0	0	0.180199624253198	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.100271606694264	0	0	0	0	0
"iclR"	0	0	-0.0565374829214971	0	0	-0.276907215304028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00423978641449205	0	0	0	0	0
"kpsD"	0	0	0.128471210641621	0	0	0.174998115492789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178313118099622	0	0	0	0	0
"kpsE"	0	0	-0.0930072311560615	0	0	0.184903896151352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.00455432450401051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00425212413162424	0	0	-0.104919379593492	0	0	0	0	0
"kpsM"	0	0	0.15737690583667	0	0	-0.0429143721949766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1188262889101	0	0	0	0	0
"mdoH"	0	0	0.108862361166279	0	0	-0.201849944310876	0	0	0	0	-1.02527277734245e-05	0	0	0	0	0	0	0	0.01293656427903	0	0	0	-0.00455432450401051	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166855701828253	0	0	0.0750905545065313	0	0	0	0	0
"metJ"	0	0	-0.219194571773722	0	0	0.0725680052911279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0158788566433107	0	0	0	0	0	0.0107690201719865	0	0	0.00898760912132852	0	0	0	0	0.0725063875534422	0	0	0	0	0
"metW"	0	0	0.161234092125447	0	0	-0.0437193120261867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120962789179358	0	0	0	0	0
"mrdA"	0	0	0.155663715412123	0	0	0.0205701118132902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198854541624194	0	0	0	0	0
"mrdB"	0	0	0.158330006050719	0	0	-0.0431446957224105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119483598958878	0	0	0	0	0
"mreB"	0	0	-0.0089363654209736	0	0	0.246015490976317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	-0.265322518260005	0	0	-0.136089195101765	0	0	0	0	0	0	0.00196680620826162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00129079743941602	0	0	0	0	0
"nusA"	0	0	-0.0213538184284095	0	0	0.166576486080464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144768924823485	0	0	0	0	0
"prc"	0	0	0.108323393595865	0	0	0.165122446794752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0389295458783934	0	0	0	0	0
"rep"	0	0	0.224272432849186	0	0	0.0196285903913108	0	0	0	0	0	0	-0.00544028158801683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073671086851266	0	0	0	0	0
"rho"	0	0	-0.0559254378246642	0	0	-0.275839982904888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0042005795683721	0	0	0	0	0
"rluB"	0	0	-0.125917424385757	0	0	-0.151631354455147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869888826045297	0	0	0	0	0
"rpoA"	0	0	-0.216598496158851	0	0	-0.0538505356998981	0	0	0	0	0	0	0.0216096890886551	0	0	0	0.0095005947449065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.071868892902606	0	0	0	0	0
"rpoB"	0	0	0.0130287487211883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0568630810403016	0	0	0	0	0
"rpoC"	0	0	-0.0632245628757929	0	0	0.159679680909077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.234534410573366	0	0	0	0	0
"rpoD"	0	0	0.132922486941927	0	0	-0.0465036749321301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0158788566433107	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0052699374636839	0	0	-0.00351805072635323	0	0	0	0	-0.290575175642494	0	0	0	0	0
"rpsR"	0	0	0	0	0	-0.228988291552801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0864766404537766	0	0	0	0	0
"rsmC"	0	0	-0.0220876210972762	0	0	0.169888873667404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.147397042327594	0	0	0	0	0
"secF"	0	0	0.153233564715668	0	0	-0.0418525251690764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.115738727737347	0	0	0	0	0
"slyA"	0	0	-0.0218228161847507	0	0	0.171952368540867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.149285378457606	0	0	0	0	0
"uspA"	0	0	0.220696579121378	0	0	0.0192102611282825	0	0	0	0	0	0	-0.00259273485614429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0725444481034503	0	0	0	0	0
"wzyE"	0	0	-0.209483180853596	0	0	0.0701564085148237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107690201719865	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0052699374636839	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0762013752433228	0	0	0	0	0
"ybaL"	0	0	-0.0219825960531431	0	0	0.014737273313197	0.173785231766801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.038807999794093	0	0	0	0	0
"ybfA"	0	0	0.224872115754131	0	0	0.0192097629778715	0	0	0	0	0	0	-0.00599101566972122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0751830894972837	0	0	0	0	0
"ybhJ"	0	0	-0.207750720031805	0	0	0.0696205669208438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00898760912132852	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00351805072635323	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0761594781929587	0	0	0	0	0
"ycbC"	0	0	-0.00514610671022224	0	0	0.00888799736575013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.224783632229933	0	0	0	0	0
"yccE"	0	0	0.108247870842388	0	0	-0.201139949622221	0	0	0	0	0	0	0	0	0	0	0	0	0.012589659436657	0	0	0	-0.00425212413162424	0	0.0166855701828253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0752902502479484	0	0	0	0	0
"ydaE"	0	0	0.158089474643132	0	0	-0.0436709904836008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.119059157636262	0	0	0	0	0
"ydcU"	0	0	-0.0812019165535619	0	0	-0.119390792636045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0961870793596022	0	0	0	0	0
"yeeJ"	-0.0394564427951156	0.0432126947702687	0.0306445092136242	-0.100116455841621	0.141195515873457	0	-0.030950338201059	-0.081499597271547	-0.0388153324022076	0.26178945250456	-0.10445797096327	-0.226440259838382	-0.0783701225463571	0.214332087238456	-0.115885988400986	-0.211590520690009	-0.0754448258896798	0	0.0767604609666642	-0.100271606694264	-0.00423978641449205	0.178313118099622	-0.104919379593492	-0.1188262889101	0.0750905545065313	0.0725063875534422	-0.120962789179358	0.198854541624194	-0.119483598958878	0	-0.00129079743941602	0.144768924823485	-0.0389295458783934	0.073671086851266	-0.0042005795683721	0.0869888826045297	-0.071868892902606	0.0568630810403016	-0.234534410573366	-0.290575175642494	-0.0864766404537766	0.147397042327594	-0.115738727737347	0.149285378457606	0.0725444481034503	0.0762013752433228	-0.038807999794093	0.0751830894972837	0.0761594781929587	-0.224783632229933	0.0752902502479484	-0.119059157636262	0.0961870793596022	1	-0.227275375111374	0.253007161799939	-0.103250313143218	0.116097794539839	0.246001116713574
"yfaE"	0	0	-0.00127188714748518	0	0	2.57830903336519e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.227275375111374	1	0	0	0	0
"ygiV"	0	0	0.0281187391243159	0	0	-0.000482344082931152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253007161799939	0	1	0	0	0
"yjbA"	0	0	-0.0932595846099382	0	0	0.175883479663889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.103250313143218	0	0	1	0	0
"yjeP"	0	0	-0.0946891686897992	0	0	-0.117863095922826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116097794539839	0	0	0	1	0
"yraM"	0	0	0.0277354933228393	0	0	-0.000424100403076467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246001116713574	0	0	0	0	1
