"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_01992"	"ECB_01999"	"ECB_02008"	"ECB_02804"	"ECB_02821"	"ESCRE0483"	"ESCRE0749"	"ESCRE1397"	"ESCRE1901"	"IS5_ESec3"	"abgB"	"actP"	"atpF"	"clpB"	"cls"	"crp"	"dedA"	"dnaA"	"dusB"	"endA"	"eutJ"	"fbp"	"fis"	"flhA"	"fruK"	"glgC"	"glgP"	"glgX"	"glpF"	"glpG"	"glpR"	"glpT"	"hemA"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvG"	"ilvL"	"kefC"	"kpsD"	"kpsE"	"lptB"	"lysR"	"mdoH"	"metH"	"metJ"	"motB"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"nagD"	"napA"	"nuoA"	"nusA"	"ompR"	"pdhR"	"pgaB"	"pitB"	"ppiA"	"ppk"	"prc"	"puuP"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rssB"	"secF"	"sufD"	"wbbC"	"ybaL"	"ybbN"	"ybiW"	"ycbS"	"yccE"	"ycgV"	"ydiJ"	"yedW"	"yehU"	"yejA"	"yejM"	"yfgA"	"ygdH"	"ygfA"	"yhhF"	"yjcO"	"yjcR"	"yjhC"
"dnaA"	0	0	0	-0.082136617510385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129383979353898	-0.168813581033505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	-0.0630163284885812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202755121817438	-0.0766487687468643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	-0.113689672717765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0940107974552158	0.121865670503972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0.0350390605836656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354063610738284	0.132926534173525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0.153024255691049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.53332238989254e-05	-0.125505116268803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0.154391948819562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118035222407018	-0.0620944044679307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"flhA"	0	0	0	-0.102843053068272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150577658922018	-0.000397018056866006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0.161332076377185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436640286889624	0.0710246455925014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0	-0.243250540883529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129099154160841	0.0683336595422096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0	0.143415560279621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0489769246805619	-0.0794128290206402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.205571134523895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0.109801051769548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0962564167399777	0.0464423609425917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	-0.161288867833345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0359056536750606	0.0795015385456234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	-0.103438539345843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.152962801590408	-0.000594909464218947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	-0.000577611288020657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0555560889718102	0.113290613494666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hemA"	0	0	0	0.00800553836200795	0.0673229782774929	0	0	0	0	0	0	0.00840360884974949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0778972553688954	0	0	0.0935343104668599	0.0192368756166723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0.0679619954369638	0	0	0	0	0	0	0	-0.0240489589258691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.00326202144457192	-0.00796088277630455	0	0	0.0544069761665865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0536908958450005	0	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	0	0	0.0353572290420929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0362637540301503	0.136626233920845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	0	0	0	-0.0885986305343125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0206731655046371	0.17411800133237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.104115967457313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0939984468062792	-0.10323021177887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvG"	0	0	0	0.0097850675221789	0.0821252512660931	0	0	0	0	0	0	0.0288706642176502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0778972553688954	0	0	0	0	1	0	0	0.113920903169303	0.0206622704504112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00664323298772484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0.171341453002488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.120462714775056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kefC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.198834683219688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	-0.0269274283448947	0.155383424498365	0	0	0.100445706803967	-0.0266331798309279	-0.108589726423963	-0.108314002872844	-0.072801402121586	-0.177123728917931	0.173667620537236	0.00813347114806615	-0.105712414586315	-0.187380256972689	0.150328553151087	-0.0953314143249926	-0.00820813707974379	-0.0916737026776132	-0.150177813084137	0.150239608892332	0.129383979353898	0.202755121817438	-0.0940107974552158	0.0354063610738284	-5.53332238989254e-05	0.118035222407018	0.150577658922018	0.0436640286889624	0.0129099154160841	-0.0489769246805619	0	0.0962564167399777	0.0359056536750606	0.152962801590408	0.0555560889718102	0.0935343104668599	-0.00326202144457192	0.0362637540301503	0.0206731655046371	-0.0939984468062792	0.113920903169303	0.120462714775056	0	1	-0.0501004031397245	0.0386725313682562	-0.185386976228795	0.0662429408743695	-0.0649012943993555	0	-0.0798048888640615	-0.0977507750774985	0	0.0196708849238717	0.13188620339678	-0.0176568500461057	-0.00212246779881209	-0.186131983714596	-0.109597259367583	0.115752310453742	-0.182264706212071	-0.0177372697029651	-0.0642955770935055	-0.00440038408447524	-0.104101074317575	-0.145815651341482	0	0.133318112879381	0.153234507161349	-0.109525485937238	-0.109292918544227	0.0386497715047152	0.0329616665642458	0.104164086003652	-0.022927289959042	0	0.0440480828751787	-0.146030433356136	0.0195500288733065	0.108632535084929	-0.0662904008177928	-0.0688998998795025	0	-0.146195753245987	-0.183070710549214	-0.181661528557031	0.0670791228785471	0.124625598092771	-0.0933049004063353	-0.10404919085329	-0.0266537344780159	-0.0969033361018643	-0.0278278677603804	0.115798498640661	0	0.128877156430141	0.118517025054108	0.150294424997031	0.04601485359465	0.0432235400367982
"kpsE"	0	0.108427331607547	-0.203608118933519	0	0.0197994906222284	0	-0.138152090859905	-0.12557661445219	0	-0.00400004593270635	0.120200393270567	0.00722374048556398	-0.135991174206739	-0.00344430882949275	-0.000340800648272097	0.123194283776731	0.130473274738828	0.054471648683029	0.0833036795384977	0.105287981693041	-0.168813581033505	-0.0766487687468643	0.121865670503972	0.132926534173525	-0.125505116268803	-0.0620944044679307	-0.000397018056866006	0.0710246455925014	0.0683336595422096	-0.0794128290206402	-0.205571134523895	0.0464423609425917	0.0795015385456234	-0.000594909464218947	0.113290613494666	0.0192368756166723	-0.00796088277630455	0.136626233920845	0.17411800133237	-0.10323021177887	0.0206622704504112	0	-0.198834683219688	-0.0501004031397245	1	0.141031069779743	-0.00328937250672369	-0.0369306108697552	0.000331708747079047	-0.202683699484683	0	-0.111886960007584	0.00408510350614219	0.175493064390491	0.0924790018664669	0.010340482324829	0.116723212418237	-0.00319333495463715	-0.137906847023872	0.0558921650074507	-0.00335575807767736	-0.0836287652952212	0.130763233682451	0.123687360640254	-0.120414057998784	0.112905949704545	-0.1215087290646	-0.14329056903377	0.106812246364016	-0.137452437795069	-0.00929540656226665	0.139657598404751	0.00211575474997029	-0.00290862985417089	-0.0275873262523658	-0.0118471594759341	-0.106280438903349	0	0.172849720173081	0.0519263339953494	0.000236775566316187	0.000227617236378543	0.0445651960545838	0.112691222264195	-0.00333028058180802	-0.00347579089543063	-0.036965974218268	-0.133554794258081	0.118560482622311	-0.120227977557479	0.209237359120702	0.122445242169632	0	-0.0563978071488654	-0.199485200157528	-0.137872130248186	0.0572514314720358	-0.000270145404414744	-0.11216681396465	-0.102684806851308
"lptB"	0	0	0	0.0359766717331187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386725313682562	0.141031069779743	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000912948403820169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
