"ECB_00737"	"ECB_01992"	"ECB_02003"	"ECB_02512"	"ECB_02804"	"ECB_02821"	"ECB_03516"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1901"	"ESCRE3628"	"IS5_ESec3"	"actP"	"atpC"	"cls"	"dapA"	"deoA"	"dgt"	"dnaA"	"dusB"	"entF"	"envZ"	"fbp"	"fcl"	"flhA"	"fruK"	"glgA"	"glgP"	"glgX"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"iclR"	"ilvL"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metJ"	"mrdA"	"mreB"	"mreC"	"mreD"	"nagD"	"napA"	"nusA"	"orn"	"poxA"	"ppk"	"puuP"	"rep"	"rhlB"	"rho"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rsmC"	"rssB"	"sdaC"	"secF"	"slyA"	"thrA"	"thrS"	"torS"	"treF"	"uspA"	"wbbD"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ycgV"	"ydcU"	"yddV"	"yecP"	"yfgA"	"yfhK"	"ygdH"	"ygfA"	"yhhF"	"yicC"	"yjcF"	"yjcO"	"yjeP"	"ykgG"	"ylbH"	"yraL"
"ESCRE3628"	0	0	0	0	0	0	0	0	0	0.138165521618627	1	0	0	0	0	0	0	0	0	0	0	0	0.141010083132121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584982044830254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463935649179374	0.101152821932663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104895689261937	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	0	0.116441028581102	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.066477458235623	0	0	0	0	0	0	0	0.111400909761019	0	0.113644439851088	0	0	0	0.107306526983654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00617908427782751	0	0	0	0	0	0	0	0	0	0	0	0	0.033394648202397	0	0	0	0	0	0	0	0.0167143933225788	0.07215041263369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpC"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331531829027123	0	0	0	0	0	0	0	0.121054058936848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028376163882814	0	0.019741389291376
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.208844910327168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0.0132497931020624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0339820437981817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114153123586461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000282607955939662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgt"	0	0.0649510484461398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.083237506913185	0	0	0	0	0	0	0	0.00810293356829427	0	0	0	-0.0399801219950182	0	0	0	0	0	0	0	0	0	0	0	0.0801671484643674	0	0	0	0	0	0	0	0	0	0	0.0625951403601001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	-0.00792299722244206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.109628934379334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137851969211542	0	0	0	0	0	0	0	0	0	0	0	0	0.16730468003369	0	0	0	0	0	0	0.0892658864233556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124092842200545	0	0	0	0	0	0	0.15162310074541	0	0	0	0	0	0	0	0
"dusB"	0	-0.000506863545165891	0	0	0	0	0	0	0	0	0	0	0.00617908427782751	0	0	0	0	0	0.109628934379334	1	0	0	0	0	0.0123083366349088	0	0	0	0	0	0	0	0.0259627126764367	0	0	0	0	0	0	0	0	0.0270030430515042	0	0	0	0	0	0.00168860569172905	0	0	0	0	0	0	0.126125601872545	0	0	0	0	0.0880416644215184	0	0	-0.0480223112793463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133119171867975	0	0	0	0	0	0	0.0879487569321891	0	0	0	0.0256872562829243	0.0815781549489242	0	0	0
"entF"	0	0	0	0	0	0	0	0	0.148010190921392	0.124809157337967	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191766729224365	0	0.132602472725724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137869345433064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"envZ"	0	0	0	0	0	0.137788275025429	0.0897363065185724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0115379255123921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267909025097601	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0.0543219285714871	0	0	0	0	0	0	0.153259237809515	0.141010083132121	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0719613818202124	0	0	0	0	0.0949897056462779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0385245886742065	0.102206385557148	0	-0.000702112609310598	0	0	0	0	0	0	0	0	0	0	0.0935601960396599	0	0	0	0	0	0.06213244967086	0	0	0	0	0	0.0894098531216258	0.072058970727338	0	0	0	0	0
"fcl"	0.111492010422967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339820437981817	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169344129477391	0	0	0	0	0	-0.0149028084823171	0	0	0	0	0	0	0	0	0	0	0	-0.00153089906270288	0	0	0	0	0.0948717143525594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"flhA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123083366349088	0	0	0	0	1	0	0	0	0	0	0	0	0.0382603289097169	0	0	0	0	0	0	0	0.0209205829407921	0.071802216790666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0433060686908117	0	0.00416999939137225	0	0	0	0	0	-0.0265590299692257	0	0	0	0	0	0	0	0	0.0116216324065583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231449516871859	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0	0	0	0.0393822168760879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.010599398911518	0.0445184706701361	0	0.314439841007157	0	0	0.154385549811503	0	0	0	0	0	0	0	0	0	0	0	0.00861878535327486	0	0	0	0	-0.112516775864567	0	0	0.00201804950766948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276519700251423	0	0	0	0	0	0	0	0	0	0
"glgX"	0.148321258568288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0820617680830266	0	-0.0558865931324049	0	0	0.132291609430067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115912100972114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101769706834785	0	0	0	0	0	0	0	0	0
"glmS"	0	0.0948843128942599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083237506913185	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0469017734238614	0	0	0	-0.0427381847610165	0	0	0	0	0	0	0	0	0	0	0	0.10664464212602	0	0	0	0	0	0	0	0	0	0	0.0930109009007921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0778252960972374	0	0.065508776999	0	0	0	0	0	-0.0988604426600919	0	0	-0.00337225775234706	0	0	0	0	0	0.070384807295002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0771264938057813	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0991264228826785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0.105019381994413	0	0	0	0	0	0	0	0	0	0	0.033394648202397	0	0	0	0	0	0	0.0259627126764367	0	0	0	0	0.0382603289097169	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.053749870673515	0.0629274157675426	0	0	0.11672175274594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047601574389342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0482097169953151	0	0	0	0
"glpT"	0	0.0837689384494006	0	0	0	0	0	0	0	0	0	0	0	0.0331531829027123	0	0	0	0	0	0	0	0	0	0	0	0.0433060686908117	0	0	0	0	0.0778252960972374	0	0	1	0	0.132186244239968	0	0.0720039148934858	0	0	0	0.0928005085593794	0	0	0	0	0	-0.0177754515072126	0	0	0.133890432203697	0	0	0	0	0	0	0	0	-0.00673394841149639	0	0	0.0753426097755963	0	0	0	0.00591698844035149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135983915294814	0	0	0	-0.000339998370127345	0.087058749260137	0	0.0826675409028416
"hsdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0592946868281249	0	0	0.110345053145385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172269824252628	0	0	0	0.0839869202395951	0	0	0	0	0	0.101495873246511	0	0.0702030717355386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0.0715520980410773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416999939137225	0	0	0	0	0.065508776999	0	0	0.132186244239968	0	1	0	0.0501478039744861	0	0	0	0	0	0	0	0	0	0	0	0	0.111480985267044	0	0	0	0	0	0	0	0	0	0	0	0.0800190109129134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115957378344661	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.414989694493203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0.168728885240238	0	0	0	0.115310349562324	0.0775135057488112	0	0	0	0	0	0	0	0	0	0	0.00810293356829427	0	0	0	0	0	0	0	0	0	0	0	0.0469017734238614	0	0	0	0.0720039148934858	0	0.0501478039744861	0	1	0	0	0	-0.0462719338763559	0	0	0	0	0	0	0	0	0.0557539723811891	0	0	0.0434004415830785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249094198912036	0	0	0	0	0	0.0634010523454436	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.056240518292203	0	0	0	0	0	0	0.102667020669388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kefC"	0.101271128131666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0820617680830266	0	0	0	0	0	0	0	0	0	0	1	0	-0.0395496387451064	0	0	0.0665654923573744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188760365114458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0.0495795024957415	0	0.0948748786833619	0	0	0	0.0482371787482477	0	0	0	0	0.0167143933225788	0	0	0	0	0	0	0	0	0	0	0	0.0209205829407921	0	0	0	0	0	0	0	0.053749870673515	0	0	0	0	0	0	0	1	0.125525643016615	0	0	0	0	0	0	0	0	0	0.0936889826768427	0	0	0	0	0.0306594429071383	0	0	0	0	-0.0218806770785175	0	0.0955347392103956	0	0	0	0.102249836362166	0	0	0	0	0	0	0	0	0.0558299987722508	0	0	0	0	0	0	0	0	0	0	0	0	0.0294787349580128	0	0	0	0
"kpsE"	0.0376264158128478	0	0.123846483483462	0.099762735137473	-0.0849549522597134	-0.0540512847351411	-0.0424299666767841	0.0235619875172828	0.00866287646832871	0.00139845269262443	0	-0.066477458235623	0.07215041263369	0.121054058936848	-0.208844910327168	0.114153123586461	0.000282607955939662	-0.0399801219950182	0.0137851969211542	0.0270030430515042	0.00191766729224365	-0.0115379255123921	0.0719613818202124	0.169344129477391	0.071802216790666	-0.0265590299692257	0	-0.010599398911518	-0.0558865931324049	-0.0427381847610165	-0.0988604426600919	-0.0991264228826785	0.0629274157675426	0.0928005085593794	0.0592946868281249	0	-0.414989694493203	-0.0462719338763559	-0.056240518292203	-0.0395496387451064	0.125525643016615	1	0	0.00202291523988417	0	0.188352381005246	0.023088279705378	-0.158839930200218	-0.0552903827422867	-0.0775697631188724	0	0	-0.102690188673898	-0.0424593401210343	0.0173576270140771	-0.0719560940723225	0.0678775102259563	-0.122396392384412	-0.423718353531143	-0.147093955817472	0.034915808484692	0.0712698120900297	-0.0375272091514333	0.024822155065174	0	0.0585479291831273	0	0.0257653669962561	0.0038960680426339	0	-0.114365127553825	0.0598040761671951	0.0605900804031454	0.0569402729833755	0	0.0459658065600833	0.077012321615238	0	0.00437287734856318	0	-0.0273488656466982	0	0	0	-0.0448900465486872	0.00995741476084884	0	0.158273614088936	0.139163181017497	0.0710908966412638	-0.139737443487771	0.151694888984557	0.0882770593148657	0.148183849563974
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0445184706701361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.115702859460388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140455713009607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182587232768994	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0.14832980712524	0.125208214851445	0	0	0	0	0	0	0	0	0	0	0.132602472725724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202291523988417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138232080505688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0.0909123519423418	0.039895079384882	0	0	0	0	0	0	-0.00106508709936229	-0.0163696249471319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314439841007157	0.132291609430067	0	-0.00337225775234706	0	0.11672175274594	0	0.110345053145385	0	0	0	0	0.0665654923573744	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369993095253324	0	-0.053704979623692	0.100976469348777	0	0	0	0	0	0.117123926947521	0	0.0872443597015889	0.0617517477426525	0	0	0	0	0	0	0	0	0	0.091403603262688	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0.147057101664407	0.104733134164563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188352381005246	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497520947910782	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0.0546192401406366	0.0584982044830254	0	0	0	0	0	0	0	0	0	0	0	0.0949897056462779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023088279705378	0.115702859460388	0	0	0	1	0	0	0	0	0.0468405268832393	0	0	0	0	0	0	0	0	0	0	0.175044723206775	0.0604231356132592	0	0	0	0.0727607041648454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106352213299902	0	0	0	0	0	0	0	0	0	0
"mreC"	-0.00263661186240423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168860569172905	0	0	0	-0.0149028084823171	0	0	0	0.154385549811503	0	0	0	0	0	-0.0177754515072126	0	0	0	0	0	0	0	-0.158839930200218	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.11120239018208	0	0.105958633890276	0	0	-0.0251788006798602	0	0	0	0	0	0	0	0	0	0	-0.0204813465209643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104421922640034	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102667020669388	0	0	-0.0552903827422867	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nagD"	0	0	0	0	0.123284285579871	0	0	0	0	0	0	0.111400909761019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0775697631188724	0	0	0	0	0	0	0	1	0	0.121758359432712	0	0	0	0.115195989641346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0.0764058946245395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116216324065583	0	0	0	0	0.070384807295002	0	0	0.133890432203697	0	0.111480985267044	0	0.0557539723811891	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0840693649731208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118382919154201	0	0	0	0	0	0	0
