"ECB_00376"	"ECB_00737"	"ECB_01992"	"ECB_02008"	"ECB_misc_RNA_47"	"ESCRE1901"	"aspA"	"atpG"	"cls"	"dinG"	"dnaX"	"fbp"	"fis"	"frmC"	"glgA"	"glgC"	"glgP"	"glgX"	"glpF"	"glpR"	"glpT"	"gspG"	"iclR"	"ilvL"	"kefC"	"kpsD"	"kpsM"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"nuoN"	"nusA"	"pta"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoD"	"rpoH"	"rpsR"	"rssB"	"sbcC"	"thrA"	"topA"	"uraA"	"valT"	"wcaI"	"wzyE"	"yahN"	"ybaL"	"ybeA"	"ybhJ"	"ycjP"	"ydeJ"	"yejM"	"ygdH"	"yhaO"	"yjaH"	"ykgE"	"yraL"
"kefC"	0	0	-6.56536807639751e-06	0	0	0	0	0	0	0	0	0	0	0	0	-0.210844308033903	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448232430554842	0	0	0	0	0	0
"kpsD"	0	0	0.127843812990019	0	0	0	0	0	0	0	0	0	0	0	0	0.00235270813249599	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181053462426948	0	0	0	0	0	0
"kpsM"	0	0	-0.221834295453286	0	0	0	0	0	0	0	0	0	0	0	0	-0.0844489641604414	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	-0.135206642606755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167015070140792	0	0	0	0	0	0
"metJ"	0	0	0.192095424715606	0	0	0	-0.00752071965963275	-0.0258543031680261	0	0	0	0	0	0	0	-0.223516795922615	0	0	0	0.0389584980187198	0	-0.0126382885262409	0	0	0	0	0	0	1	0	0	0	0.010218132145123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325321089231438	0	0	-0.0166039951294391	0.028707116800003	-0.00931814054194596	0.0641663967035252	0	0	0	0	0	0
"mrdA"	0	0	0.124082662294295	0	0	0	0	0	0	0	0	0	0	0	0	0.00311384212693311	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.169791939064057	0	0	0	0	0	0
"mrdB"	0	0	-0.189424378956785	0	0	0	0	0	0	0	0	0	0	0	0	-0.021638067595564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.20891009216013	0	0	0	0	0	0
"mreB"	0	0	0.0326600372010378	0	0	0	0	0	0	0	0	0	0	0	0	-0.166358592919355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148914405376419	0	0	0	0	0	0
"nuoN"	0	0	0.0223360821749285	0	0	0	0	0	0	0	0	0	0	0	0	-0.131120016604391	0	0	0	0	0	0	0	0	0	0	0	0	0.010218132145123	0	0	0	1	0	0.0212754430403786	0	0.0186428163249115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220763874493549	0	0	0	0	0	0
"nusA"	0	0	0.0397705422878333	0	0	0	0	0	0	0	0	0	0	0	0	-0.18225199286918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164023203862635	0	0	0.00104775494405909	0	0	0
"pta"	0	0	0.0222249382832005	0	0	0	0	0	0	0	0	0	0	0	0	-0.127222127922857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212754430403786	0	1	0	0.00501130564028993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21006295207657	0	0	0	0	0	0
"rho"	0	0	0.0162649280167983	0	0	0	0	0	0	0	0	0	0	0	0	-0.095108144416402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172468332810102	0	0	0	0	0	0
"rmlA"	0	0	0.0208108695476427	0	0	0	0	0	0	0	0	0	0	0	0	-0.12660892133236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186428163249115	0	0.00501130564028993	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207432528053113	0	0	0	0	0	0
"rpoA"	0	0	0.118476639382098	0	0	0	0	0	0	0	0	0	0	0	0	0.00327803208756349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156616749002755	0	0	0	0	0	0
"rpoB"	0	0	-0.0245954466737424	0	0	0	0	0	0	0	0	0	0	0	0	-0.000498495010913269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.136940753805986	0	0	0	0	0	0
"rpoD"	0	0	-0.0704705295444192	0	0	0	0	0	0	0	0	0	0	0	0	-0.226497927067927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146114167684835	0	0	0	0	0	0
"rpoH"	0	0	0.147049828845088	0	0	0	0	0	0	0	0	0	0	0	0	0.0310934990430038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117221080327428	0	0	0	0	0	0
"rpsR"	0	0	0.158883379740275	0	0	0	0	0	0	0	0	0	0	0	0	0.0339896233638628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126983595172531	0	0	0	0	0	0
"rssB"	0	0	0.0505620759869882	0	0	0	0	0	0	0	0	0	0	0	0	0.182941295627451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0910775935693223	0	0	0	0	0	0
"sbcC"	0	0	0.0508651664963629	0	0	0	0	0	0	0	0	0	0	0	0	0.184572031799679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.0918773140439396	0	0	0	0	0	0
"thrA"	0	0	-0.0763329628342473	0	0	0.0367709450303735	0	0	0	0	0	0	0	0	0	-0.0684080989173296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0447566650979272	0	0	0	0	0	0	0	-0.227387594755057	0	0	0	0	0	0
"topA"	0	0	-0.136116342017956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.167790275703765	0	0	0	0	0	0
"uraA"	0	0	-0.140839403322807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.171706140165445	0	0	0	0	0	0
"valT"	0	0	-0.076108049965047	0	0	0.0356522145758433	0	0	0	0	0	0	0	0	0	-0.0676172631225135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447566650979272	0	0	1	0	0	0	0	0	0	0	-0.226128809428594	0	0	0	0	0	0
"wcaI"	0	0	-0.214237042192344	0	0	0	0	0	0	0	0	0	0	0	0	-0.0801362744882527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"wzyE"	0	0	0.201774477190323	0	0	0	0	0	0	0	0	0	0	0	0	-0.113601733896667	0	0	0	0.0217479461120297	0	0	0	0	0	0	0	0	0.0325321089231438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0123918547189184	0	0.0246930812702204	0	0	0	0	0	0
"yahN"	0	0	0.153978677584808	0	0	0	0	0	0	0	0	0	0	0	0	0.0325836266720523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.122710944809709	0	0	0	0	0	0
"ybaL"	0	0	-0.129562240134951	0	0	0	0	0	0	0	0	0	0	0	0	-0.0860008543539317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0117792576859521	0	0	0	0	0	0
"ybeA"	0	0	-0.151888101334626	0	0	0	0	0	0	0	0	0	0	0	0	0.152770239662685	0	0	0	0	0	0	0	0	0	0	0	0	-0.0166039951294391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0181795969615368	0	0	0	0	0	0
"ybhJ"	0	0	0.199322208838054	0	0	0	0	0	0	0	0	0	0	0	0	-0.111978175680516	0	0	0	0.0185882055907568	0	0	0	0	0	0	0	0	0.028707116800003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123918547189184	0	0	0	1	0	0.0240649649886662	0	0	0	0	0	0
"ycjP"	0	0	-0.147405350769589	0	0	0	0	0	0	0	0	0	0	0	0	0.148947182047209	0	0	0	0	0	0	0	0	0	0	0	0	-0.00931814054194596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0192246187855222	0	0	0	0	0	0
"ydeJ"	0.110590993048881	0.0483945956318526	0	0.112966581672551	0.172937152596563	-0.226460935582133	-0.025091180231715	-0.0193032806564331	0.060934982207714	0	0	-0.0881762660173858	-0.174007726960343	0.161778911483107	-0.136158982292404	0	-0.0758516056718074	0.0468259844355122	0.212028756959628	0.02737116232265	-0.0227481074151842	-0.0197980328685612	0.0267486215349118	-0.160115859027636	0.0448232430554842	-0.181053462426948	0	0.167015070140792	0.0641663967035252	-0.169791939064057	-0.20891009216013	-0.148914405376419	0.220763874493549	-0.164023203862635	0.21006295207657	0.172468332810102	0.207432528053113	-0.156616749002755	-0.136940753805986	-0.146114167684835	0.117221080327428	0.126983595172531	-0.0910775935693223	-0.0918773140439396	-0.227387594755057	0.167790275703765	0.171706140165445	-0.226128809428594	0	0.0246930812702204	0.122710944809709	0.0117792576859521	-0.0181795969615368	0.0240649649886662	-0.0192246187855222	1	0.111754037417922	0.0473623802946566	-0.14719733205972	0.124781098092086	0	-0.0868977102953849
"yejM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20352003696535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111754037417922	1	0	0	0	0	0
"ygdH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220058578663054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473623802946566	0	1	0	0	0	0
"yhaO"	0	0	0.0441849883101434	0	0	0	0	0	0	0	0	0	0	0	0	-0.166238505229624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104775494405909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14719733205972	0	0	1	0	0	0
"yjaH"	0	0	0.14528973263174	0	0	0	0	0	0	0	0	0	0	0	0	0.0209077814618594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124781098092086	0	0	0	1	0	0
"ykgE"	0	0	-0.218353762482959	0	0	0	0	0	0	0	0	0	0	0	0	-0.08197033091722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yraL"	0	0	0.061363575315273	0	0	0	0	0	0	0	0	0	0	0	0	0.194617188519163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0868977102953849	0	0	0	0	0	1
