clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D32_4-2	4	32	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D32_4-2	4	32	"4,184,955"	C->A	H1237Q (CAC->CAA) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-3	4	32	"882,409"	Del;10 bp	coding (317-326/759 nt)	deoR <-	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
D32_4-3	4	32	"4,124,002"	G->T	A152E (GCG->GAG) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D32_4-4	4	32	"251,801"	C->T	H302Y (CAC->TAC) 	dinB ->	DNA polymerase IV
D32_4-4	4	32	"1,263,842"	C->T	G43G (GGC->GGT) 	hemA ->	glutamyl tRNA reductase
D32_4-4	4	32	"1,464,042"	T->A	C168* (TGT->TGA) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_4-4	4	32	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D32_4-4	4	32	"1,818,815"	T->C	Q211Q (CAA->CAG) 	chbR <-	"repressor of chb operon for N,N'-diacetylchitobiose utilization"
D32_4-4	4	32	"3,966,742"	G->A	R109H (CGC->CAC) 	rho ->	transcription termination factor
D32_4-4	4	32	"4,124,080"	C->A	G126V (GGC->GTC) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D32_4-4	4	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-4	4	32	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D32_4-4	4	32	"4,410,053"	(T)9->8	intergenic (+47/-80)	rlmB -> / -> yjfI	"23S rRNA mG2251 2'-O-ribose methyltransferase, SAM-dependent/DUF2170 family protein"
D32_4-5	4	32	"764,004"	G->A	G331S (GGT->AGT) 	sucC ->	"succinyl-CoA synthetase, beta subunit"
D32_4-5	4	32	"1,387,159"	A->G	N147S (AAC->AGC) 	tyrR ->	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase
D32_4-5	4	32	"1,463,780"	A->G	Y81C (TAT->TGT) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_4-5	4	32	"1,659,121"	T->C	G351G (GGT->GGC) 	ynfE ->	"putative selenate reductase, periplasmic"
D32_4-5	4	32	"1,714,077"	G->A	V437I (GTT->ATT) 	dtpA ->	dipeptide and tripeptide permease A
D32_4-5	4	32	"1,779,550"	A->G	intergenic (-249/-67)	ydiP <- / -> ydiQ	putative DNA-binding transcriptional regulator/putative electron transfer flavoprotein subunit
D32_4-5	4	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-5	4	32	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D32_4-5	4	32	"4,440,538"	A->G	D226D (GAT->GAC) 	ytfL <-	UPF0053 family inner membrane protein
D32_4-5	4	32	"4,606,094"	(G)8->9	noncoding (72/87 nt)	leuV <-	tRNA-Leu
D32_4-6	4	32	"405,513"	G->A	A44A (GCC->GCT) 	proC <-	"pyrroline-5-carboxylate reductase, NAD(P)-binding"
D32_4-6	4	32	"1,463,710"	C->T	R58C (CGC->TGC) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_4-6	4	32	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D32_4-6	4	32	"2,940,954"	A->G	V97A (GTA->GCA) 	rlmM <-	"23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent"
D32_4-6	4	32	"2,942,251"	A->G	I106T (ATT->ACT) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D32_4-6	4	32	"3,210,348"	A->G	S66P (TCT->CCT) 	tsaD <-	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; glycation binding protein
D32_4-6	4	32	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D32_4-6	4	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-6	4	32	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D32_4-7	4	32	"1,464,373"	IS2 (+) +15 bp	coding (835-849/951 nt)	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_4-7	4	32	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D32_4-7	4	32	"2,940,954"	A->G	V97A (GTA->GCA) 	rlmM <-	"23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent"
D32_4-7	4	32	"2,942,251"	A->G	I106T (ATT->ACT) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D32_4-7	4	32	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D32_4-7	4	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-7	4	32	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D32_4-7	4	32	"4,553,092"	C->T	N64N (AAC->AAT) 	uxuB ->	"D-mannonate oxidoreductase, NAD-dependent"
D32_4-8	4	32	"1,136,766"	A->C	I165L (ATC->CTC) 	flgI ->	putative flagellar basal body protein
D32_4-8	4	32	"1,301,998"	A->C	S273R (AGC->CGC) 	oppA ->	oligopeptide transporter subunit
D32_4-8	4	32	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D32_4-8	4	32	"4,184,955"	C->A	H1237Q (CAC->CAA) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-9	4	32	"418,248"	T->A	I120I (ATT->ATA) 	phoR ->	sensory histidine kinase in two-component regulatory system with PhoB
D32_4-9	4	32	"689,040"	C->A	intergenic (-27/+303)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D32_4-9	4	32	"1,387,159"	A->G	N147S (AAC->AGC) 	tyrR ->	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase
D32_4-9	4	32	"1,463,594"	G->A	G19D (GGC->GAC) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_4-9	4	32	"1,505,100"	C->T	A327A (GCG->GCA) 	ydcO <-	BenE family inner membrane putative transporter
D32_4-9	4	32	"1,659,121"	T->C	G351G (GGT->GGC) 	ynfE ->	"putative selenate reductase, periplasmic"
D32_4-9	4	32	"2,736,080"	C->T	intergenic (-69/-66)	rluD <- / -> bamD	"23S rRNA pseudouridine(1911,1915,1917) synthase/BamABCDE complex OM biogenesis lipoprotein"
D32_4-9	4	32	"2,916,009"	C->T	T318M (ACG->ATG) 	barA ->	"hybrid sensory histidine kinase, in two-component regulatory system with UvrY"
D32_4-9	4	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_4-9	4	32	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D32_4-10	4	32	"1,136,766"	A->C	I165L (ATC->CTC) 	flgI ->	putative flagellar basal body protein
D32_4-10	4	32	"1,301,998"	A->C	S273R (AGC->CGC) 	oppA ->	oligopeptide transporter subunit
D32_4-10	4	32	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D32_4-10	4	32	"4,184,955"	C->A	H1237Q (CAC->CAA) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-1	4	42	"177,225"	G->A	R134C (CGT->TGT) 	yadS <-	UPF0126 family inner membrane protein
D42_4-1	4	42	"195,670"	(G)5->4	intergenic (+6/-7)	ispU -> / -> cdsA	undecaprenyl pyrophosphate synthase/CDP-diglyceride synthase
D42_4-1	4	42	"196,057"	C->T	T127T (ACC->ACT) 	cdsA ->	CDP-diglyceride synthase
D42_4-1	4	42	"197,663"	A->G	E373G (GAA->GGA) 	rseP ->	"inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease"
D42_4-1	4	42	"1,141,091"	G->A	intergenic (+105/+91)	flgL -> / <- rne	flagellar hook-filament junction protein/fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
D42_4-1	4	42	"1,387,159"	A->G	N147S (AAC->AGC) 	tyrR ->	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase
D42_4-1	4	42	"1,659,121"	T->C	G351G (GGT->GGC) 	ynfE ->	"putative selenate reductase, periplasmic"
D42_4-1	4	42	"2,795,436"	A->G	E395G (GAA->GGA) 	gabP ->	gamma-aminobutyrate transporter
D42_4-1	4	42	"2,942,096"	C->T	E158K (GAA->AAA) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D42_4-1	4	42	"2,970,653"	(T)5->4	coding (234/714 nt)	ygdQ ->	UPF0053 family inner membrane protein
D42_4-1	4	42	"3,022,991"	A->G	Y559C (TAT->TGT) 	xdhD ->	"putative hypoxanthine oxidase, molybdopterin-binding/Fe-S binding"
D42_4-1	4	42	"3,294,722"	T->C	G441G (GGT->GGC) 	lpoA ->	OM lipoprotein stimulator of MrcA transpeptidase
D42_4-1	4	42	"3,440,788"	A->G	I81T (ATC->ACC) 	rpoA <-	"RNA polymerase, alpha subunit"
D42_4-1	4	42	"3,847,208"	Del;1 bp	intergenic (-41/+97)	uhpT <- / <- uhpC	hexose phosphate transporter/membrane protein regulates uhpT expression
D42_4-1	4	42	"4,028,834"	T->C	Y713C (TAC->TGC) 	fadB <-	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
D42_4-1	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-1	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-1	4	42	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D42_4-2	4	42	"1,243,195"	T->C	F6L (TTT->CTT) 	emtA ->	lytic murein endotransglycosylase E
D42_4-2	4	42	"1,437,231"	(T)9->8	intergenic (-338/+29)	ompN <- / <- pfo	"outer membrane pore protein N, non-specific/pyruvate-flavodoxin oxidoreductase"
D42_4-2	4	42	"1,464,148"	C->T	Q204* (CAG->TAG) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D42_4-2	4	42	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D42_4-2	4	42	"1,741,767"	C->T	H119Y (CAT->TAT) 	cfa ->	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)
D42_4-2	4	42	"2,259,666"	C->T	intergenic (-370/+53)	psuK <- / <- fruA	pseudouridine kinase/fused fructose-specific PTS enzymes: IIBcomponent/IIC components
D42_4-2	4	42	"2,628,879"	G->A	F20F (TTC->TTT) 	yfgF <-	"cyclic-di-GMP phosphodiesterase, anaerobic"
D42_4-2	4	42	"2,942,239"	A->G	V110A (GTT->GCT) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D42_4-2	4	42	"3,015,307"	A->G	T50A (ACC->GCC) 	mocA ->	CTP:molybdopterin cytidylyltransferase
D42_4-2	4	42	"4,124,080"	C->A	G126V (GGC->GTC) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D42_4-2	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-2	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-2	4	42	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D42_4-3	4	42	"418,248"	T->A	I120I (ATT->ATA) 	phoR ->	sensory histidine kinase in two-component regulatory system with PhoB
D42_4-3	4	42	"689,040"	C->A	intergenic (-27/+303)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D42_4-3	4	42	"1,387,159"	A->G	N147S (AAC->AGC) 	tyrR ->	aromatic amino acid biosynthesis and transport regulon transcriptional regulator; autorepressor; ATPase; phosphatase
D42_4-3	4	42	"1,463,594"	G->A	G19D (GGC->GAC) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D42_4-3	4	42	"1,505,100"	C->T	A327A (GCG->GCA) 	ydcO <-	BenE family inner membrane putative transporter
D42_4-3	4	42	"1,553,911"	G->A	intergenic (-73/+61)	adhP <- / <- maeA	"ethanol-active dehydrogenase/acetaldehyde-active reductase/malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)"
D42_4-3	4	42	"1,659,121"	T->C	G351G (GGT->GGC) 	ynfE ->	"putative selenate reductase, periplasmic"
D42_4-3	4	42	"2,736,080"	C->T	intergenic (-69/-66)	rluD <- / -> bamD	"23S rRNA pseudouridine(1911,1915,1917) synthase/BamABCDE complex OM biogenesis lipoprotein"
D42_4-3	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-3	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-4	4	42	"1,243,195"	T->C	F6L (TTT->CTT) 	emtA ->	lytic murein endotransglycosylase E
D42_4-4	4	42	"1,437,231"	(T)9->8	intergenic (-338/+29)	ompN <- / <- pfo	"outer membrane pore protein N, non-specific/pyruvate-flavodoxin oxidoreductase"
D42_4-4	4	42	"1,464,148"	C->T	Q204* (CAG->TAG) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D42_4-4	4	42	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D42_4-4	4	42	"1,741,767"	C->T	H119Y (CAT->TAT) 	cfa ->	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)
D42_4-4	4	42	"2,259,666"	C->T	intergenic (-370/+53)	psuK <- / <- fruA	pseudouridine kinase/fused fructose-specific PTS enzymes: IIBcomponent/IIC components
D42_4-4	4	42	"2,628,879"	G->A	F20F (TTC->TTT) 	yfgF <-	"cyclic-di-GMP phosphodiesterase, anaerobic"
D42_4-4	4	42	"2,942,239"	A->G	V110A (GTT->GCT) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D42_4-4	4	42	"3,015,307"	A->G	T50A (ACC->GCC) 	mocA ->	CTP:molybdopterin cytidylyltransferase
D42_4-4	4	42	"4,124,080"	C->A	G126V (GGC->GTC) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D42_4-4	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-4	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-4	4	42	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D42_4-5	4	42	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D42_4-5	4	42	"3,239,796"	A->G	intergenic (+251/-148)	alx -> / -> sstT	putative membrane-bound redox modulator/sodium:serine/threonine symporter
D42_4-5	4	42	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D42_4-5	4	42	"3,240,940"	G->A	V333M (GTG->ATG) 	sstT ->	sodium:serine/threonine symporter
D42_4-5	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-5	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-6	4	42	"1,020,068"	T->C	intergenic (-15/+342)	ompA <- / <- sulA	outer membrane protein A (3a;II*;G;d)/SOS cell division inhibitor
D42_4-6	4	42	"1,080,065"	T->C	I254T (ATT->ACT) 	putP ->	proline:sodium symporter
D42_4-6	4	42	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D42_4-6	4	42	"1,915,475"	Del;1 bp	coding (60/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D42_4-6	4	42	"2,426,566"	C->T	D75N (GAT->AAT) 	hisJ <-	histidine/lysine/arginine/ornithine transporter subunit
D42_4-6	4	42	"2,947,437"	T->C	noncoding (51/77 nt)	metZ ->	tRNA-Met
D42_4-6	4	42	"3,668,263"	G->A	A309V (GCC->GTC) 	yhjA <-	putative cytochrome C peroxidase
D42_4-6	4	42	"4,124,080"	C->T	G126D (GGC->GAC) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D42_4-6	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-6	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
D42_4-7	4	42	"1,243,195"	T->C	F6L (TTT->CTT) 	emtA ->	lytic murein endotransglycosylase E
D42_4-7	4	42	"1,437,231"	(T)9->8	intergenic (-338/+29)	ompN <- / <- pfo	"outer membrane pore protein N, non-specific/pyruvate-flavodoxin oxidoreductase"
D42_4-7	4	42	"1,464,148"	C->T	Q204* (CAG->TAG) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D42_4-7	4	42	"1,473,715"	G->A	pseudogene (3199/3497 nt)	ydbA ->	"pseudogene, autotransporter homolog; interrupted by IS2 and IS30"
D42_4-7	4	42	"2,259,666"	C->T	intergenic (-370/+53)	psuK <- / <- fruA	pseudouridine kinase/fused fructose-specific PTS enzymes: IIBcomponent/IIC components
D42_4-7	4	42	"2,628,879"	G->A	F20F (TTC->TTT) 	yfgF <-	"cyclic-di-GMP phosphodiesterase, anaerobic"
D42_4-7	4	42	"2,942,239"	A->G	V110A (GTT->GCT) 	gcvA <-	glycine cleavage system transcriptional activator; autorepressor
D42_4-7	4	42	"3,015,307"	A->G	T50A (ACC->GCC) 	mocA ->	CTP:molybdopterin cytidylyltransferase
D42_4-7	4	42	"3,707,549"	A->T	Y53N (TAT->AAT) 	dppA <-	dipeptide transporter
D42_4-7	4	42	"4,011,503"	T->C	L143P (CTG->CCG) 	yigM ->	putative inner membrane EamA-like transporter
D42_4-7	4	42	"4,124,080"	C->A	G126V (GGC->GTC) 	cytR <-	Anti-activator for CytR-CRP nucleoside utilization regulon
D42_4-7	4	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_4-7	4	42	"4,245,839"	G->A	A194V (GCG->GTG) 	malE <-	maltose transporter subunit
D42_4-7	4	42	"4,397,625"	Del;87 bp	coding (214-300/1848 nt)	mutL ->	methyl-directed mismatch repair protein
