clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D22_2-1	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-1	2	22	"4,316,525"	C->T	A232T (GCC->ACC) 	phnM <-	ribophosphonate triphosphate hydrolase
D22_2-1	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-1	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-2	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-2	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-2	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-2	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-2	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-2	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-2	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-2	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-3	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-3	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-3	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-3	2	22	"2,648,854"	G->A	A1145V (GCG->GTG) 	yfhM <-	bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein
D22_2-3	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-3	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-3	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-3	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-3	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-3	2	22	"4,609,336"	(C)7->8	intergenic (+13/-78)	yjjG -> / -> prfC	dUMP phosphatase/peptide chain release factor RF-3
D22_2-4	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-4	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-4	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-4	2	22	"3,080,556"	C->T	A360A (GCG->GCA) 	tktA <-	"transketolase 1, thiamine triphosphate-binding"
D22_2-4	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-4	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-4	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-4	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-5	2	22	"1,212,537"	T->C	intergenic (-534/+166)	iraM <- / <- ycgX	"RpoS stabilzer during Mg starvation, anti-RssB factor/DUF1398 family protein"
D22_2-5	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-5	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-5	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-5	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-5	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-5	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-5	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-5	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-6	2	22	"766,748"	T->C	R255R (CGT->CGC) 	mngA ->	fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component
D22_2-6	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-6	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-6	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-6	2	22	"2,648,854"	G->A	A1145V (GCG->GTG) 	yfhM <-	bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein
D22_2-6	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-6	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-6	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-6	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-6	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-6	2	22	"4,483,772"	G->A	G22G (GGC->GGT) 	valS <-	valyl-tRNA synthetase
D22_2-6	2	22	"4,577,280"	C->T	A227T (GCA->ACA) 	mcrC <-	"5-methylcytosine-specific restriction enzyme McrBC, subunit McrC"
D22_2-7	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-7	2	22	"1,693,921"	T->C	T115A (ACC->GCC) 	uidB <-	glucuronide transporter
D22_2-7	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-7	2	22	"2,003,031"	A->G	A192A (GCT->GCC) 	fliC <-	flagellar filament structural protein (flagellin)
D22_2-7	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-7	2	22	"2,639,602"	G->A	A325V (GCC->GTC) 	hisS <-	histidyl tRNA synthetase
D22_2-7	2	22	"2,648,854"	G->A	A1145V (GCG->GTG) 	yfhM <-	bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein
D22_2-7	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-7	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-7	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-7	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-7	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-8	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-8	2	22	"1,278,584"	C->T	L210L (CTG->TTG) 	narK ->	nitrate/nitrite transporter
D22_2-8	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-8	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-8	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-8	2	22	"3,385,297"	T->C	intergenic (+124/-241)	argR -> / -> yhcN	"l-arginine-responsive arginine metabolism regulon transcriptional regulator/cadmium and peroxide resistance protein, stress-induced"
D22_2-8	2	22	"3,903,143"	C->T	A187T (GCA->ACA) 	bglB <-	cryptic phospho-beta-glucosidase B
D22_2-8	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-8	2	22	"4,162,215"	G->A	P352P (CCC->CCT) 	trmA <-	"tRNA m(5)U54 methyltransferase, SAM-dependent; tmRNA m(5)U341 methyltransferase"
D22_2-8	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-8	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-8	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-9	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-9	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-9	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-9	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-9	2	22	"3,269,956"	T->C	intergenic (+354/+669)	yhaC -> / <- garK	pentapetide repeats-related protein/glycerate kinase I
D22_2-9	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-9	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-9	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-9	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D22_2-10	2	22	"1,235,514"	T->C	Y193H (TAC->CAC) 	fadR ->	fatty acid metabolism regulon transcriptional regulator
D22_2-10	2	22	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D22_2-10	2	22	"2,320,713"	G->A	G224D (GGC->GAC) 	atoS ->	sensory histidine kinase in two-component regulatory system with AtoC
D22_2-10	2	22	"2,351,273"	T->A	I368F (ATC->TTC) 	glpT <-	sn-glycerol-3-phosphate transporter
D22_2-10	2	22	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D22_2-10	2	22	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D22_2-10	2	22	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D22_2-10	2	22	"4,348,949"	C->A	intergenic (-205/+366)	dcuB <- / <- dcuR	"C4-dicarboxylate transporter, anaerobic; DcuS co-sensor/response regulator in two-component regulatory system with DcuS"
D22_2-10	2	22	"4,389,707"	C->T	T218T (ACG->ACA) 	psd <-	phosphatidylserine decarboxylase
D32_2-1	2	32	"809,904"	C->T	V187V (GTC->GTT) 	bioB ->	biotin synthase
D32_2-1	2	32	"1,301,558"	C->T	S126F (TCT->TTT) 	oppA ->	oligopeptide transporter subunit
D32_2-1	2	32	"1,464,121"	C->T	Q195* (CAA->TAA) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_2-1	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-1	2	32	"2,087,287"	(G)7->8	intergenic (-173/+42)	yoeI <- / <- yeeY	uncharacterized protein/LysR family putative transcriptional regulator
D32_2-1	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-1	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-1	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-2	2	32	"177,336"	C->T	G97S (GGT->AGT) 	yadS <-	UPF0126 family inner membrane protein
D32_2-2	2	32	"601,644"	G->A	A977A (GCG->GCA) 	cusA ->	"copper/silver efflux system, membrane component"
D32_2-2	2	32	"2,691,053"	T->C	M16V (ATG->GTG) 	glrK <-	sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR
D32_2-2	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-2	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-2	2	32	"4,010,792"	T->C	V198A (GTG->GCG) 	yigL ->	pyridoxal phosphate phosphatase
D32_2-2	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-2	2	32	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D32_2-3	2	32	"3,117,164"	A->T	F650Y (TTC->TAC) 	yghJ <-	DUF4092 family putative lipoprotein peptidase
D32_2-3	2	32	"3,683,161"	A->G	V96A (GTT->GCT) 	dctA <-	"C4-dicarboxylic acid, orotate and citrate transporter"
D32_2-3	2	32	"3,683,470"	C->T	intergenic (-23/+160)	dctA <- / <- yhjK	"C4-dicarboxylic acid, orotate and citrate transporter/cyclic-di-GMP phosphodiesterase"
D32_2-3	2	32	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D32_2-4	2	32	"809,904"	C->T	V187V (GTC->GTT) 	bioB ->	biotin synthase
D32_2-4	2	32	"1,301,558"	C->T	S126F (TCT->TTT) 	oppA ->	oligopeptide transporter subunit
D32_2-4	2	32	"1,464,121"	C->T	Q195* (CAA->TAA) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_2-4	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-4	2	32	"1,965,327"	C->T	V289I (GTC->ATC) 	flhB <-	"flagellin export apparatus, substrate specificity protein"
D32_2-4	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-4	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-4	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-5	2	32	"130,331"	(ATG)4->3	coding (928-930/1854 nt)	yacH <-	uncharacterized protein
D32_2-5	2	32	"689,114"	C->T	intergenic (-101/+229)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D32_2-5	2	32	"1,349,529"	C->T	G193G (GGG->GGA) 	yciW <-	putative oxidoreductase
D32_2-5	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-5	2	32	"2,167,100"	T->C	intergenic (+71/+202)	yegQ -> / <- ogrK	putative peptidase/positive regulator of P2 growth (insertion of P2 ogr gene into the chromosome)
D32_2-5	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-5	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-5	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-5	2	32	"4,290,738"	A->G	Y88C (TAC->TGC) 	nrfD ->	"formate-dependent nitrite reductase, membrane subunit"
D32_2-5	2	32	"4,429,748"	T->A	intergenic (+193/-116)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D32_2-6	2	32	"130,331"	(ATG)4->3	coding (928-930/1854 nt)	yacH <-	uncharacterized protein
D32_2-6	2	32	"689,114"	C->T	intergenic (-101/+229)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D32_2-6	2	32	"1,349,529"	C->T	G193G (GGG->GGA) 	yciW <-	putative oxidoreductase
D32_2-6	2	32	"1,607,695"	T->A	V117D (GTT->GAT) 	tam ->	trans-aconitate methyltransferase
D32_2-6	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-6	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-6	2	32	"3,304,813"	(C)7->6	coding (1005/1245 nt)	mtr <-	tryptophan transporter of high affinity
D32_2-6	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-6	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-6	2	32	"4,290,738"	A->G	Y88C (TAC->TGC) 	nrfD ->	"formate-dependent nitrite reductase, membrane subunit"
D32_2-6	2	32	"4,429,748"	T->A	intergenic (+193/-116)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D32_2-7	2	32	"1,125,656"	C->T	A32V (GCG->GTG) 	rimJ ->	ribosomal-protein-S5-alanine N-acetyltransferase
D32_2-7	2	32	"1,464,193"	G->T	E219* (GAG->TAG) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_2-7	2	32	"2,786,633"	A->C	pseudogene (237/2253 nt)	ygaQ ->	uncharacterized protein; putative enzyme
D32_2-7	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-8	2	32	"1,080,149"	T->A	L282Q (CTG->CAG) 	putP ->	proline:sodium symporter
D32_2-8	2	32	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D32_2-8	2	32	"4,186,631"	A->T	T428S (ACT->TCT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D32_2-9	2	32	"797,205"	G->A	G218S (GGC->AGC) 	modC ->	molybdate transporter subunit
D32_2-9	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-9	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-9	2	32	"3,239,901"	A->G	intergenic (+356/-43)	alx -> / -> sstT	putative membrane-bound redox modulator/sodium:serine/threonine symporter
D32_2-9	2	32	"3,240,217"	A->G	T92A (ACC->GCC) 	sstT ->	sodium:serine/threonine symporter
D32_2-9	2	32	"3,309,006"	(C)6->5	intergenic (-82/+27)	nlpI <- / <- pnp	lipoprotein involved in osmotic sensitivity and filamentation/polynucleotide phosphorylase/polyadenylase
D32_2-9	2	32	"3,699,916"	Del;1 bp	intergenic (+23/+64)	bcsG -> / <- ldrD	"DUF3260 family inner membrane protein associated with cellulose production/toxic polypeptide, small"
D32_2-9	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-9	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D32_2-10	2	32	"809,904"	C->T	V187V (GTC->GTT) 	bioB ->	biotin synthase
D32_2-10	2	32	"1,301,558"	C->T	S126F (TCT->TTT) 	oppA ->	oligopeptide transporter subunit
D32_2-10	2	32	"1,464,121"	C->T	Q195* (CAA->TAA) 	paaX ->	"transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"
D32_2-10	2	32	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D32_2-10	2	32	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D32_2-10	2	32	"3,432,364"	C->T	G34D (GGT->GAT) 	smg <-	DUF494 family putative periplasmic protein
D32_2-10	2	32	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D32_2-10	2	32	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_2-1	2	42	"689,114"	C->T	intergenic (-101/+229)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D42_2-1	2	42	"981,850"	(G)6->5	coding (804/1848 nt)	ldtD ->	"murein L,D-transpeptidase"
D42_2-1	2	42	"1,277,361"	C->T	L86L (TTG->TTA) 	narX <-	sensory histidine kinase in two-component regulatory system with NarL
D42_2-1	2	42	"1,738,094"	(A)7->8	coding (251/1026 nt)	purR ->	"transcriptional repressor, hypoxanthine-binding"
D42_2-1	2	42	"2,442,395"	C->G	T211R (ACG->AGG) 	mnmC ->	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and FAD-dependent demodification enzyme
D42_2-1	2	42	"2,857,991"	C->A	T300K (ACG->AAG) 	mutS ->	methyl-directed mismatch repair protein
D42_2-1	2	42	"3,002,114"	C->A	L590L (CTC->CTA) 	xdhA ->	"xanthine dehydrogenase, molybdenum binding subunit"
D42_2-1	2	42	"4,002,910"	A->G	F95S (TTT->TCT) 	yigG <-	PRK11371 family inner membrane protein
D42_2-1	2	42	"4,185,059"	A->G	E1272G (GAG->GGG) 	rpoB ->	"RNA polymerase, beta subunit"
D42_2-1	2	42	"4,290,738"	A->G	Y88C (TAC->TGC) 	nrfD ->	"formate-dependent nitrite reductase, membrane subunit"
D42_2-1	2	42	"4,429,737"	A->G	intergenic (+182/-127)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
