clonea	popb	day	locus	n.a. changec	a.a. changed	genee	annotation
D127_5-2	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-3	5	127	"1,079,750"	C->T	A149V (GCG->GTG) 	putP ->	proline:sodium symporter
D127_5-3	5	127	"1,196,209"	"Del;15,204 bp"	coding		e14 prophage
D127_5-3	5	127	"1,398,056"	IS2 (-) +5 bp	coding (563-567/951 nt)	uspE <-	stress-induced protein
D127_5-3	5	127	"1,915,448"	Del;1 bp	coding (87/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D127_5-3	5	127	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D127_5-3	5	127	"3,486,406"	C->T	A96V (GCT->GTT) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-3	5	127	"3,501,106"	G->A	A399A (GCG->GCA) 	frlA ->	putative fructoselysine transporter
D127_5-3	5	127	"3,575,826"	G->C	T412T (ACC->ACG) 	gntU <-	"gluconate transporter, low affinity GNT 1 system"
D127_5-3	5	127	"3,707,549"	A->T	Y53N (TAT->AAT) 	dppA <-	dipeptide transporter
D127_5-3	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-4	5	127	"932,595"	IS2 (+) +5 bp	coding (1-5/495 nt)	lrp ->	leucine-responsive global transcriptional regulator
D127_5-4	5	127	"1,125,635"	IS2 (+) +5 bp	coding (74-78/585 nt)	rimJ ->	ribosomal-protein-S5-alanine N-acetyltransferase
D127_5-4	5	127	"1,915,243"	IS3 (-) +3 bp :: +TCA	coding (290-292/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D127_5-4	5	127	"2,942,775"	Del;8 bp	intergenic (-208/+136)	gcvA <- / <- ygdI	glycine cleavage system transcriptional activator; autorepressor/DUF903 family verified lipoprotein
D127_5-4	5	127	"3,240,844"	G->A	A301T (GCG->ACG) 	sstT ->	sodium:serine/threonine symporter
D127_5-4	5	127	"3,486,178"	A->G	H20R (CAC->CGC) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-4	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-5	5	127	"689,105"	C->T	intergenic (-92/+238)	insH1 <- / <- lnt	IS5 transposase and trans-activator/apolipoprotein N-acyltransferase
D127_5-5	5	127	"1,125,830"	G->A	G90D (GGC->GAC) 	rimJ ->	ribosomal-protein-S5-alanine N-acetyltransferase
D127_5-5	5	127	"1,915,555"	IS1 (-) +8 bp	intergenic (-21/+69)	proQ <- / <- msrC	"RNA chaperone, putative ProP translation regulator/free methionine-(R)-sulfoxide reductase"
D127_5-5	5	127	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D127_5-5	5	127	"3,486,178"	A->G	H20R (CAC->CGC) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-5	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-5	5	127	"4,429,854"	A->G	intergenic (+299/-10)	fklB -> / -> cycA	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)/D-alanine/D-serine/glycine transporter
D127_5-6	5	127	"1,078,074"	G->T	A270D (GCC->GAC) 	putA <-	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
D127_5-6	5	127	"1,079,750"	C->T	A149V (GCG->GTG) 	putP ->	proline:sodium symporter
D127_5-6	5	127	"1,196,209"	"Del;15,204 bp"	coding		e14 prophage
D127_5-6	5	127	"1,398,585"	IS2 (+) +5 bp	coding (34-38/951 nt)	uspE <-	stress-induced protein
D127_5-6	5	127	"1,915,448"	Del;1 bp	coding (87/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D127_5-6	5	127	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D127_5-6	5	127	"3,486,406"	C->T	A96V (GCT->GTT) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-6	5	127	"3,501,106"	G->A	A399A (GCG->GCA) 	frlA ->	putative fructoselysine transporter
D127_5-6	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-7	5	127	"924,194"	C->T	L311F (CTC->TTC) 	clpA ->	"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity"
D127_5-7	5	127	"1,909,338"	IS2 (+) +5 bp	coding (758-762/792 nt)	kdgR <-	KDG regulon transcriptional repressor
D127_5-7	5	127	"1,914,352"	C->T	W155* (TGG->TGA) 	prc <-	carboxy-terminal protease for penicillin-binding protein 3
D127_5-7	5	127	"3,682,447"	A->C	I334S (ATC->AGC) 	dctA <-	"C4-dicarboxylic acid, orotate and citrate transporter"
D127_5-7	5	127	"3,683,161"	A->G	V96A (GTT->GCT) 	dctA <-	"C4-dicarboxylic acid, orotate and citrate transporter"
D127_5-7	5	127	"3,683,473"	G->A	intergenic (-26/+157)	dctA <- / <- yhjK	"C4-dicarboxylic acid, orotate and citrate transporter/cyclic-di-GMP phosphodiesterase"
D127_5-7	5	127	"4,181,103"	IS2 (+) +5 bp	intergenic (+178/-138)	rplL -> / -> rpoB	"50S ribosomal subunit protein L7/L12/RNA polymerase, beta subunit"
D127_5-7	5	127	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-7	5	127	"4,234,327"	G->T	A190A (GCG->GCT) 	pgi ->	glucosephosphate isomerase
D127_5-7	5	127	"4,543,608"	Del;1 bp :: IS186 (-) +6 bp :: Del;1 bp	coding (494-499/549 nt)	fimA ->	major type 1 subunit fimbrin (pilin)
D127_5-8	5	127	"924,194"	C->T	L311F (CTC->TTC) 	clpA ->	"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity"
D127_5-8	5	127	"1,909,338"	IS2 (+) +5 bp	coding (758-762/792 nt)	kdgR <-	KDG regulon transcriptional repressor
D127_5-8	5	127	"1,914,352"	C->T	W155* (TGG->TGA) 	prc <-	carboxy-terminal protease for penicillin-binding protein 3
D127_5-8	5	127	"3,682,447"	A->C	I334S (ATC->AGC) 	dctA <-	"C4-dicarboxylic acid, orotate and citrate transporter"
D127_5-8	5	127	"3,683,161"	A->G	V96A (GTT->GCT) 	dctA <-	"C4-dicarboxylic acid, orotate and citrate transporter"
D127_5-8	5	127	"3,683,473"	G->A	intergenic (-26/+157)	dctA <- / <- yhjK	"C4-dicarboxylic acid, orotate and citrate transporter/cyclic-di-GMP phosphodiesterase"
D127_5-8	5	127	"4,181,103"	IS2 (+) +5 bp	intergenic (+178/-138)	rplL -> / -> rpoB	"50S ribosomal subunit protein L7/L12/RNA polymerase, beta subunit"
D127_5-8	5	127	"4,186,349"	A->C	K334Q (AAA->CAA) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-8	5	127	"4,234,327"	G->T	A190A (GCG->GCT) 	pgi ->	glucosephosphate isomerase
D127_5-8	5	127	"4,543,608"	Del;1 bp :: IS186 (-) +6 bp :: Del;1 bp	coding (494-499/549 nt)	fimA ->	major type 1 subunit fimbrin (pilin)
D127_5-9	5	127	"1,079,750"	C->T	A149V (GCG->GTG) 	putP ->	proline:sodium symporter
D127_5-9	5	127	"1,196,209"	"Del;15,204 bp"	coding		e14 prophage
D127_5-9	5	127	"1,398,348"	IS2 (+) +5 bp	coding (271-275/951 nt)	uspE <-	stress-induced protein
D127_5-9	5	127	"1,915,448"	Del;1 bp	coding (87/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D127_5-9	5	127	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D127_5-9	5	127	"3,486,406"	C->T	A96V (GCT->GTT) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-9	5	127	"3,501,106"	G->A	A399A (GCG->GCA) 	frlA ->	putative fructoselysine transporter
D127_5-9	5	127	"3,707,549"	A->T	Y53N (TAT->AAT) 	dppA <-	dipeptide transporter
D127_5-9	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
D127_5-10	5	127	"1,079,750"	C->T	A149V (GCG->GTG) 	putP ->	proline:sodium symporter
D127_5-10	5	127	"1,196,209"	"Del;15,204 bp"	coding		e14 prophage
D127_5-10	5	127	"1,398,348"	IS2 (+) +5 bp	coding (271-275/951 nt)	uspE <-	stress-induced protein
D127_5-10	5	127	"1,915,448"	Del;1 bp	coding (87/699 nt)	proQ <-	"RNA chaperone, putative ProP translation regulator"
D127_5-10	5	127	"3,050,808"	C->A	intergenic (-141/+307)	gcvT <- / <- ubiI	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex/2-octaprenylphenol hydroxylase, FAD-dependent"
D127_5-10	5	127	"3,486,406"	C->T	A96V (GCT->GTT) 	crp ->	"cAMP-activated global transcription factor, mediator of catabolite repression"
D127_5-10	5	127	"3,501,106"	G->A	A399A (GCG->GCA) 	frlA ->	putative fructoselysine transporter
D127_5-10	5	127	"3,707,549"	A->T	Y53N (TAT->AAT) 	dppA <-	dipeptide transporter
D127_5-10	5	127	"4,186,632"	C->G	T428S (ACT->AGT) 	rpoC ->	"RNA polymerase, beta prime subunit"
							
a Clone name							
b Population number							
c Nucleic acid change							
d Amino acid change							
e Name and direction of the gene modified (mutations in coding region) or names and directions of the genes upstream and downstream to the mutation (intergenic mutations).							
