Gene	Position
cobC	669604
leuS	672947
ybeQ	675601
djlB	678376
ybeU	679874
gltI	686872
ybeX	691216
miaB	693782
ubiF	696276
nagC	701461
nagA	702338
nagB	703024
glnS	706796
potE	717125
speF	719146
kdpD	723528
rhsC	731919
ybfD	738241
ybgI	743507
abrB	746842
ybgQ	751737
gltA	753428
sdhA	757221
sucB	762739
mngA	766957
ybgC	775120
tolB	777873
ybgS	785051
galK	789464
modF	792525
modB	796358
ybhD	799872
bioD	812947
uvrB	815505
moaE	819747
ybhL	820090
ybhM	821500
ybhN	822196
ybhR	825744
ybhS	826119
ybhG	829910
dinG	833891
glnQ	846194
mntS	852869
ybiR	854765
ybiT	857298
ybiW	860638
iaaA	867319
gsiA	869338
gsiD	872801
yliE	875327
yliI	879759
mdfA	884506
rcdA	887959
ybjL	889215
rimK	892869
ybjQ	904630
amiD	905008
ybjS	905916
hcp	913349
aqpZ	915730
ybjD	917894
cspD	922544
aat	927205
cydC	928926
ftsK	936202
lolA	937983
dmsB	943806
pflB	952168
focA	954294
serC	958364
rpsA	962491
ycaI	965917
msbA	967659
lpxK	969352
mukF	974697
mukB	979977
ycbK	983623
ycbL	983828
ompF	986267
asnS	988952
ssuC	994795
ycbF	1004160
zapC	1006118
pqiA	1012593
yccS	1022508
yccF	1024070
helD	1024703
yccU	1028132
etk	1043741
gfcD	1046432
gfcB	1048907
insB1	290698
torS	1053704
torC	1059014
torA	1061072
cbpA	1062915
agp	1066035
ymdF	1068254
rutD	1070973
rutC	1071847
rutA	1073418
putA	1077868
pgaC	1087295
pgaB	1089446
pgaA	1092286
serX	1097041
ycdY	1099679
csgD	1102743
yceI	1117958
yceO	1119307
solA	1120398
pyrC	1121934
mdtH	1125011
flgB	1131290
flgJ	1137407
flgK	1138984
rne	1142454
rluC	1145867
yceF	1146011
plsX	1148499
fabH	1149712
fabD	1149992
fabF	1153047
pabC	1154109
ycfQ	1168350
ldtC	1170158
mfd	1170674
lolC	1176078
lolE	1177670
nagK	1179370
pepT	1186379
purB	1191105
icd	1195805
xisE	1200881
croE	1203224
ymfM	1204160
stfP	1207942
ycgX	1212703
bluR	1213813
ymgC	1216996
minC	1225697
ycgL	1227865
ycgM	1228320
ycgB	1236921
dadX	1239110
cvrA	1241732
ycgY	1245600
dhaM	1248410
dhaK	1250629
dhaR	1252961
ycgV	1254798
dauA	1259697
ispE	1262453
hemA	1264919
chaA	1271455
narL	1275815
narK	1278990
narJ	1285372
narI	1286416
purU	1287826
adhE	1297535
oppB	1303677
clsA	1308302
kch	1309016
yciB	1312830
trpC	1318967
trpD	1320912
trpE	1322601
topA	1331414
pgpB	1339927
puuA	1360298
puuB	1364513
pspF	1366935
ycjM	1371482
ycjO	1373784
ycjP	1374927
ycjS	1377088
ycjT	1378806
ycjU	1380329
ycjW	1383082
ycjF	1385656
ycjG	1389499
pgrR	1392890
intR	1412027
recE	1416279
ydaG	1419344
ydaT	1420793
ydaV	1422178
ynaK	1425446
insH1	2102890
stfR	1432289
ynaE	1434142
tynA	1449947
paaG	1458625
paaJ	1461176
ynbB	1478449
hrpA	1485487
cybB	1491119
trg	1493056
opgD	1497308
ydcK	1500163
ydcL	1502835
ydcN	1506611
ydcT	1513095
ydcU	1514081
yncE	1524213
fdnG	1549687
ddpF	1557112
ddpC	1559680
dosC	1565758
gadB	1571850
yddA	1578477
lsrK	1598617
lsrD	1604191
tam	1607349
yneJ	1615650
yneK	1616355
ydeA	1618218
marA	1619957
marB	1620207
ydeE	1621554
ydeI	1624357
dcp	1625476
ydfG	1628150
ydfI	1629913
tfaQ	1634310
rzpQ	1639030
ydfC	1649041
rspB	1653652
rspA	1655057
ynfA	1655347
ynfB	1656017
speG	1656658
ynfE	1660490
ynfG	1663219
ynfH	1664096
dmsD	1664696
ynfM	1670695
ydgI	1679823
folM	1681346
ydgC	1681734
fumC	1685542
ydgA	1690107
uidC	1692579
uidB	1694149
uidA	1695612
hdhA	1697819
malI	1698673
malX	1699528
rsxC	1708192
rsxD	1709163
rsxE	1711495
anmK	1719281
nemR	1726622
lhr	1729692
grxD	1733856
ydhP	1736927
ydhC	1740177
mdtK	1744786
pykF	1757108
ldtE	1757753
sufS	1759680
sufD	1761149
sufB	1763794
sufA	1764018
ydiJ	1766416
ydiF	1776813
ydiP	1779277
ydiS	1781964
ppsR	1788278
ydiE	1789804
nlpC	1792702
btuC	1794172
rpmI	1799883
ydiY	1806042
chbA	1819569
astE	1826546
astD	1829647
ydjX	1834111
topB	1846908
selD	1847278
ydjA	1848338
ydjG	1855176
gapA	1862976
yeaE	1865325
yeaG	1866995
yeaH	1869266
yeaJ	1873525
yoaI	1874078
yeaM	1875056
dmlR	1881547
dmlA	1882317
yeaX	1886810
rnd	1887370
yoaA	1893102
nudL	1896395
sdaA	1897952
yoaD	1899733
yoaE	1901506
rlmA	1906662
htpX	1912556
prc	1914351
yebT	1919852
yobB	1926096
ptrB	1927241
purT	1931976
lpxM	1939718
mepM	1941430
znuC	1942993
yebB	1946422
aspS	1949300
yecN	1952661
cmoA	1953128
torY	1957970
cutC	1959168
yecM	1959685
argS	1960496
flhA	1964449
cheR	1969343
tar	1971962
cheA	1974824
otsA	1981182
tyrP	1990658
yecS	1998389
dcyD	1998494
yedK	2010318
fliE	2012700
fliH	2016095
fliI	2017086
fliK	2018530
fliN	2021501
fliP	2022606
fliQ	2022810
yedQ	2027398
yedI	2028479
yedA	2030310
hiuH	2038971
yeeJ	2051158
amn	2056110
cbl	2059964
cbeA	2077365
sbcB	2082835
yeeE	2084881
plaP	2085831
yeeY	2087919
hisL	2090046
hisC	2092624
ugd	2099237
wbbK	2104077
glf	2107866
wzxB	2109473
rfbD	2111150
wcaM	2114502
wcaL	2115907
wcaK	2118262
wcaG	2126422
wcaC	2131667
asmA	2141143
yegE	2144279
yegD	2148336
yegI	2149300
yegK	2151851
mdtB	2157110
mdtC	2160196
baeR	2164998
gatZ	2175450
gatY	2176691
yegT	2179330
yehA	2188043
yehB	2189791
yehC	2191449
yehI	2203362
yehM	2207069
yehU	2214339
yohC	2225044
yohD	2225893
yohF	2226768
yohJ	2230698
sanA	2233485
preT	2234971
mglA	2238421
galS	2240754
yeiG	2244245
lysP	2248209
rihB	2254419
fruA	2260518
fruK	2261864
fruB	2262371
yeiP	2266013
yeiQ	2267405
yejA	2274178
yejE	2276298
yejH	2281486
ccmH	2291973
ccmF	2293061
ccmA	2297084
alkB	2309107
ada	2309366
ompC	2311756
rcsD	2314992
rcsC	2319725
atoE	2324797
yfaA	2335018
gyrA	2338234
yfaL	2343422
inaA	2349322
glpQ	2350162
rhmA	2358163
yfaY	2363451
arnT	2371378
arnF	2373159
menE	2374585
menF	2380360
nuoF	2400268
nuoE	2401654
nuoC	2403702
yfbT	2411782
yfbV	2413079
pta	2416168
folX	2421553
yfcI	2422690
purF	2429506
cvpA	2430476
folC	2431915
truA	2435114
pdxB	2437144
fabB	2441177
yfcO	2449228
mlaA	2464714
yfdC	2465852
gtrA	2468106
yfdT	2476123
dsdX	2478252
dsdA	2479355
emrY	2481904
evgS	2484916
oxc	2491168
ypdI	2494973
yfdY	2495050
lpxP	2496435
yfeO	2510111
mntH	2512258
nupC	2513564
xapR	2522190
yfeN	2525135
yfeR	2526781
yfeH	2527273
cysZ	2531596
yfeS	2538331
cysA	2540320
yfeX	2550272
ypeA	2552094
eutR	2554333
eutB	2557497
eutH	2567794
eutD	2573269
eutT	2573838
tktB	2581381
aegA	2585235
narQ	2585779
acrD	2589535
yffB	2591603
ypfH	2593675
tmcA	2595068
bcp	2600609
hyfF	2607273
hyfR	2613886
focB	2614614
hda	2618075
uraA	2619314
purM	2622124
ppk	2624129
yfgG	2629481
guaA	2631531
xseA	2635578
yfgJ	2635708
der	2636376
bamB	2637504
hisS	2639838
rlmN	2643153
pbpC	2646583
yfhM	2650996
pepB	2655826
iscX	2656684
trmJ	2663015
csiE	2665725
hcaD	2672123
yphA	2673768
yphB	2674204
yphE	2678100
yphG	2682157
yphH	2683448
glyA	2684971
glrR	2688493
purL	2691927
pgpC	2698231
srmB	2713568
ung	2717414
pssA	2724058
kgtP	2725716
yfiH	2734543
raiA	2737495
tyrA	2739068
yfiN	2742962
trmD	2744975
yfjI	2759929
yfjQ	2768876
yfjR	2770404
ypjK	2770678
yfjS	2770987
ypjA	2780480
gabT	2793792
csiR	2796296
ygaU	2796337
yqaE	2796916
ygaM	2800475
nrdE	2803347
proX	2807360
luxS	2814218
alaS	2821424
mltB	2825304
srlE	2827065
norV	2832609
norW	2834077
hypF	2835573
ascB	2842414
hycI	2842931
hycE	2845226
hypD	2852358
fhlA	2854733
ygbA	2856453
mutS	2857142
pphB	2860416
rpoS	2866704
cysN	2874741
iap	2876944
ygbT	2879745
ygcB	2885845
cysH	2888295
cysJ	2891042
ygcN	2893599
ygcO	2893961
ygcS	2897763
ygcW	2899683
ygcE	2902543
mazF	2911083
relA	2913461
rlmD	2914462
barA	2916189
ygdH	2927283
sdaB	2929739
fucA	2933613
fucI	2935639
fucK	2937802
tcdA	2945172
amiC	2948889
recB	2955324
recC	2960862
ppdC	2962441
ptsP	2968260
mutH	2970351
galR	2977182
ygeA	2980232
kduD	2983191
kduI	2984021
yqeF	2984452
ygeI	2993856
xdhA	3001304
xdhB	3003479
yqeC	3014287
mocA	3015738
ygfK	3017777
ssnA	3020342
xanQ	3024887
uacT	3032253
lysS	3034302
recJ	3036373
bglA	3044417
gcvP	3047472
fau	3056368
rpiA	3059293
argP	3059819
scpA	3062527
scpC	3065839
argO	3068541
tktA	3081469
loiP	3081989
speB	3083620
speA	3084730
metK	3087123
yqgE	3093178
yggR	3094726
yggU	3096673
yggN	3101039
mutY	3103636
sslE	3116871
glcC	3128620
yghQ	3132090
yghT	3134823
hybF	3140294
ygiQ	3160077
ftsP	3161267
parC	3164080
ygiS	3166732
qseB	3170060
ygiZ	3171879
parE	3173808
cpdA	3176721
yqiB	3177274
tolC	3178856
zupT	3183006
ribB	3183959
yqiI	3191696
glnE	3199429
plsY	3204713
ttdR	3205324
ttdB	3207686
aer	3218665
patA	3220026
ygjJ	3227881
ygjK	3229562
fadH	3232207
ygjP	3236424
ygjR	3237966
sstT	3241074
uxaA	3242133
exuR	3247262
yhaK	3255020
yhaO	3256941
tdcD	3263580
tdcA	3266127
yhaC	3269600
garR	3271932
yhaV	3277726
agaR	3277913
kbaY	3283459
yraP	3296984
yraQ	3297157
yhbO	3299438
yhbQ	3299999
yhbU	3301599
yhbW	3303529
mtr	3304862
nlpI	3308868
pnp	3309737
rpsO	3311596
truB	3312631
infB	3315163
nusA	3317460
yhbX	3320333
dacB	3330357
mlaD	3337939
yrbG	3340588
ptsN	3347069
yhcC	3353731
gltB	3358499
gltF	3361329
yhcD	3362885
yhcF	3366953
nanT	3372254
dcuD	3376094
yhcO	3386073
aaeB	3386276
aaeR	3389797
rng	3396749
mreB	3400093
csrD	3402157
dusB	3411139
fis	3411565
smf	3432994
fmt	3434577
zntR	3438771
yhdN	3439141
rpsD	3441203
rpmC	3448699
rpsC	3449433
gspA	3455127
gspD	3456838
gspE	3459354
bfr	3466313
rpsL	3474226
yheV	3478592
kefB	3478883
yheU	3484295
prkB	3484837
crp	3486736
yhfK	3487430
pabA	3490414
nirB	3495153
nirD	3496772
frlA	3501096
frlC	3502743
frlD	3503952
frlR	3504275
yhfT	3506500
yhfU	3507406
php	3508577
yhfZ	3511746
gph	3513673
dam	3515726
damX	3517023
hofM	3522639
yhgE	3531180
envZ	3535392
ompR	3536496
yhgF	3537703
bioH	3544145
gntX	3545565
malQ	3549755
malP	3551631
rtcA	3556033
glpG	3561426
glpD	3562955
glgP	3564855
glgA	3567999
glgC	3568691
glgX	3569410
gntK	3577491
livJ	3598917
dcrB	3610367
nikA	3615007
rhsB	3619272
yhhI	3624487
pitA	3638618
prlC	3643899
gor	3647258
slp	3654128
gadE	3658893
gadX	3664986
yhjA	3668544
yhjE	3675801
dctA	3683007
yhjK	3685329
bcsA	3694840
yhjR	3695997
yhjV	3701250
eptB	3709561
yiaG	3719768
glyS	3722460
glyQ	3724815
xylB	3728118
xylF	3731980
xylG	3732475
xylR	3736157
malS	3739022
yiaK	3742848
sgbH	3749028
yiaY	3757183
selB	3759707
selA	3760132
yibF	3761850
rhsA	3766316
yibA	3767179
mtlA	3774166
lldD	3781017
trmL	3781688
waaH	3789913
yibB	3792826
waaL	3797932
waaB	3804068
coaD	3810304
yicC	3817249
dinD	3818584
yicI	3833386
setC	3838137
adeQ	3842672
uhpC	3847943
uhpA	3850484
ilvN	3851024
ivbL	3852890
yidL	3860630
ibpB	3866847
dnaN	3881431
mdtL	3892455
yieH	3897086
cbrC	3898149
yieL	3900510
bglH	3901992
bglF	3905401
bglG	3905914
pstA	3908631
glmS	3913326
atpD	3916752
atpE	3920950
atpB	3921371
atpI	3922163
asnA	3927386
viaA	3928356
kup	3932121
rbsA	3934439
rbsB	3937168
rbsR	3938533
ilvL	3950420
ilvA	3956875
gpp	3963829
wzzE	3969883
wecB	3970427
rffG	3972722
wzxE	3976605
wecF	3978177
wecG	3980622
yifK	3980957
aslB	3984193
hemY	3987096
hemX	3988412
hemD	3989142
hemC	3989858
cyaA	3993464
yigG	4002813
recQ	4007693
rhtC	4007831
rmuC	4018760
ubiB	4020392
trkH	4034224
yihF	4044666
typA	4059269
yihL	4061157
yihO	4064653
yihQ	4068300
yihW	4075454
yiiD	4078169
fdoG	4085556
yiiG	4087209
rhaA	4095367
sodA	4101271
cpxA	4104426
cpxR	4105571
cpxP	4106320
pfkA	4108224
hslU	4120839
metL	4131253
metF	4133327
yijF	4137229
frwA	4142011
pflD	4145470
pflC	4146545
yijO	4147571
eptC	4148681
argE	4153955
trmA	4162254
birA	4173834
rpoB	4183238
rpoC	4188572
hupA	4200293
zraR	4203983
yjaB	4213680
aceK	4219119
arpA	4221359
yjbB	4228517
lysC	4232752
malM	4249709
zur	4259905
alr	4266510
yjbS	4268809
yjbQ	4270600
yjcE	4280409
nrfC	4290119
nrfD	4291336
nrfE	4293106
yjcO	4297077
fdhF	4297668
mdtO	4301521
alsB	4311182
rpiB	4313390
phnL	4317409
phnG	4321560
phnC	4325152
crfC	4328811
proP	4331634
adiC	4336237
yjdF	4345009
fumB	4347002
ghoS	4352880
ghoT	4353081
lysU	4353983
dcuA	4366113
aspA	4368269
blc	4377394
epmA	4382814
psd	4389934
queG	4393419
nnr	4394870
purA	4405937
rnr	4408435
yjfC	4413036
aidB	4415887
ulaG	4419456
ulaC	4421934
ulaD	4422793
ulaF	4424051
yjfY	4424516
priB	4425834
ytfF	4432545
qorB	4433164
msrA	4442061
tamB	4446500
ytfT	4453208
nrdD	4460932
treB	4466086
yjgH	4472933
bdcA	4473730
bdcR	4474391
yjgL	4476575
idnR	4490141
idnT	4491277
idnO	4492988
fecE	4511146
fecB	4513927
fecA	4515464
sgcQ	4528654
nanC	4538785
fimB	4540984
fimD	4545161
fimH	4549457
yjiN	4565986
mcrB	4578459
hsdM	4581621
hsdR	4586393
yjiA	4588256
yjiY	4590297
tsr	4592942
opgB	4599234
yjjQ	4604045
fhuF	4605605
ytjA	4612289
yjjV	4614260
yjjI	4616892
deoA	4619478
deoB	4619913
lplA	4623237
ettA	4630365
trpR	4632819
creC	4637373
yaaA	5691
talB	8843
ileS	24331
caiD	35645
caiA	40278
caiT	40676
fixA	42566
araA	68265
setA	78585
murD	97297
coaE	112711
aceE	123475
cueO	138386
panC	148773
yadM	152495
gluQ	160023
dgt	179308
degP	182006
rseP	197757
metN	222368
yafC	230495
mltD	233912
yafP	253120
ykfB	265669
perR	269916
insI1	271616
mmuP	276574
afuC	278537
paoB	301576
ykgJ	304059
rclB	318443
yahK	343875
lacY	362596
mhpB	370365
yaiL	377255
tauB	386498
phoA	402635
yaiC	404123
rdgC	409527
thiI	442756
cyoD	447766
clpX	457665
ybaV	464217
tesB	474302
fsr	504622
ybaP	507705
qmcA	515234
mnmH	530718
allA	532852
rrrD	578049
ybcV	579309
pheP	602603
ybdK	606927
entF	616422
entC	625848
entE	627619
uspG	641527
citB	653896
lipA	660159
dacA	663640
mrdB	665296
gltK	685425
asnB	698107
ybgO	748622
bioC	812244
ybhK	816531
moaA	817142
clsB	823600
ybhP	824237
ybiY	863180
gstB	880213
ybjN	893145
potH	896680
ybjT	908042
ybjE	914160
clpA	924093
rarA	938600
dmsA	942993
ycaM	947802
pflA	950772
ycaL	960717
ssuB	993706
ssuD	995698
ssuA	996665
ssuE	997486
elfG	1002224
rlmL	1009151
matP	1018594
yccT	1027284
hyaB	1034751
hyaE	1036558
gfcC	1048020
yccM	1053076
torT	1056923
torD	1061836
efeB	1084587
yceA	1117407
bssS	1120940
yceM	1127646
flgE	1132968
flgH	1135732
yceG	1154688
fhuE	1161466
roxA	1187153
phoP	1190263
ymfL	1203576
ymfR	1205655
umuC	1232034
ldcA	1242739
ychF	1256943
prs	1261806
prfA	1266086
narX	1277435
narG	1280235
galU	1291536
oppD	1305594
ompW	1314034
yciQ	1325247
btuR	1328271
yciK	1328549
acnA	1335862
yciT	1343751
rnb	1347450
sapD	1353247
puuP	1358866
ycjX	1385339
tyrR	1387095
ogt	1399985
abgT	1400348
ydaN	1408643
ralR	1413778
pfo	1439498
feaB	1448609
paaA	1454062
paaF	1457801
paaH	1460048
paaX	1464297
ydcF	1488011
aldA	1488515
ydcI	1495067
insQ	1504515
ydcS	1511916
mnaT	1518524
yddE	1535078
narY	1537790
narZ	1540802
narU	1542804
yddG	1547061
yddW	1568145
gadC	1570418
yddB	1575652
ydeM	1580539
glsB	1613082
rrrQ	1639773
ydgD	1672639
mdtI	1673117
mdtJ	1673441
tqsA	1674308
fumA	1688142
blr	1704585
ydhV	1753622
ydiK	1769899
ydiM	1771843
fadK	1784022
btuD	1792865
pheT	1796055
pheS	1798258
pfkB	1806541
chbG	1817047
chbR	1818962
astB	1827934
ynjI	1844210
ydjE	1853652
yeaQ	1879087
yobF	1907539
proQ	1915045
msrC	1916095
yebZ	1923947
ruvA	1945471
otsB	1982165
ftnB	1987395
yecC	1997088
yedE	2009184
fliJ	2018260
yedY	2040142
flu	2073616
wzzB	2097912
wbbI	2105151
wcaN	2114092
wcaI	2125260
wcaH	2126205
yegH	2139008
iceT	2161529
thiD	2184452
mrp	2193417
bglX	2220195
preA	2235721
yeiB	2241812
cirA	2246242
yeiE	2248780
yeiH	2250649
nupX	2253271
psuG	2257949
yeiW	2265228
yejF	2277291
napC	2298194
mqo	2305466
atoS	2321694
atoD	2323894
yfaT	2334953
yfaD	2357164
arnC	2367989
menD	2378777
elaD	2383025
yfcH	2422157
flk	2438891
yfcA	2445253
yfcR	2451573
yfdF	2463558
yfdQ	2474356
dsdC	2476936
yfdE	2489125
yfdV	2489477
ypdC	2501910
ypdE	2505003
ligA	2528635
ptsI	2534332
cysP	2543484
ucpA	2544335
yffL	2560547
eutA	2566878
eutP	2575338
dapE	2591750
hyfB	2602161
hyfE	2606805
yfgD	2617790
purN	2622373
iscA	2659731
suhB	2663751
rnc	2704009
lepA	2706066
nadB	2712007
clpB	2733223
aroF	2741046
yfjD	2749754
grpE	2750530
alpA	2758810
yfjK	2763530
yfjX	2776053
yfjY	2776497
stpA	2798156
gshA	2815095
srlD	2828425
nlpD	2867926
pcm	2868973
umpG	2869525
casE	2879964
pyrG	2908709
gudX	2920310
rlmM	2940416
ppdB	2963498
lysA	2977836
ygeR	2999821
prfB	3035437
ubiH	3053375
yggD	3075008
rsmE	3091225
gshB	3092826
yggT	3096096
trmI	3102374
ygiV	3169004
yqiA	3175531
yqiK	3194362
ttdT	3208107
yqjH	3216464
ygjI	3226690
higA	3233908
uxaC	3244074
mzrA	3248774
yhaM	3256048
tdcF	3260078
garP	3274204
agaV	3280230
yraR	3298473
ftsH	3326561
yhbE	3331946
murA	3335708
elbB	3350184
arcB	3351604
gltD	3360467
nanE	3370434
zapE	3379266
yrdA	3429619
rpoA	3440918
rplE	3447123
rplB	3450674
gspL	3464087
slyX	3477685
yheS	3481490
yhfA	3485541
fic	3491137
yhfG	3491572
tsgA	3493111
yhfW	3508607
hofQ	3520275
hofP	3520870
mrcA	3523503
hslO	3530091
pck	3532953
feoB	3541927
rtcB	3557846
ugpQ	3587389
livK	3596672
yhhL	3605047
zntA	3607418
yhhS	3610582
yhhT	3612882
rbbA	3629478
mdtF	3662802
treF	3670048
yiaB	3727553
xylA	3729515
avtA	3740938
ysaA	3741509
yiaV	3753813
kbl	3791688
waaC	3796720
waaA	3808650
yicR	3812107
pyrE	3815754
yicH	3831457
nlpA	3839636
yidF	3855288
yidI	3856467
yidE	3865112
ibpA	3867038
dgoR	3874955
yidC	3886572
mnmE	3887550
adeP	3896439
yieK	3898792
pstB	3907784
pstS	3911106
glmU	3913858
atpC	3915748
atpA	3918745
ravA	3929801
rbsK	3938218
hsrA	3940160
yieP	3941094
trxA	3965958
wzyE	3979107
aslA	3984873
pepQ	4032235
srkA	4042736
yihT	4072111
dtd	4077129
rhaS	4098532
kdgT	4101728
cytR	4124387
argH	4157025
oxyR	4159059
btuB	4164884
thiH	4191078
thiF	4193379
thiC	4195727
yjaH	4201221
aceB	4215740
metH	4225294
yjbD	4231599
yjbH	4239668
malK	4247620
plsB	4255654
dnaB	4264980
yjcF	4282945
acs	4285518
yjcZ	4329894
adiA	4338726
dsbD	4363521
sugE	4377125
frdA	4382244
mscM	4389327
hflK	4402658
ulaA	4420121
ulaE	4423678
ytfR	4452305
mpl	4456515
pyrL	4472426
pepA	4485806
yjhB	4504849
yjhC	4506193
fecC	4513332
yjhQ	4533530
uxuB	4553049
yjiC	4556133
yjiK	4562963
yjiM	4565611
mcrC	4577833
rsmC	4607066
yjjG	4609280
prfC	4610816
yjjU	4612699
slt	4631593
rob	4635299
caiC	37030
fixX	45682
lptD	56296
araB	69623
sgrR	77159
leuO	84735
zapD	112238
yacH	130233
yadH	143897
yadD	147824
folK	157713
fhuC	170349
hemL	173740
dapD	185465
glnD	186815
map	188939
accA	209308
proS	217138
rayT	248122
dinB	251799
yafX	265137
yagE	283014
paoA	302193
ecpC	308135
yahB	333763
mhpA	369076
mhpT	376245
ampH	395245
proC	405224
aroL	406492
acpH	424700
panE	444088
glnK	472742
recR	494419
copA	509678
allE	543768
allD	545679
sfmD	562187
sfmH	562986
cusS	593467
fepA	610746
citT	646500
rlmH	668430
lptE	671676
ybeT	678964
djlC	681418
gltL	684616
lnt	690550
ybeZ	693180
sucA	759829
mngB	769135
tolA	776722
ybhH	801638
ybhF	828477
ybiB	835596
ybiO	844242
moeA	865423
rimO	877698
rlmC	899254
poxB	909654
ybjX	919010
ycaP	956917
pepN	992344
ompA	1019150
rlmI	1029739
yccA	1031241
hyaA	1032528
efeO	1082943
ycdU	1096689
ycdZ	1100304
murJ	1128134
ycfJ	1167693
phoQ	1189703
ymfD	1197162
intE	1199764
minD	1225089
hlyE	1229564
ycgR	1244167
lolB	1263255
ldrB	1269766
ychO	1274973
rssA	1289276
yciF	1315402
trpA	1316440
trpB	1317517
rluB	1327261
yciN	1330454
yciS	1340525
sapC	1354288
puuC	1362857
pspE	1369780
ompG	1382141
abgB	1403059
abgA	1403912
ydaU	1421650
trkG	1425228
ompN	1436670
ydbJ	1441207
hslJ	1441436
paaK	1462463
ydbC	1475008
ydcJ	1495688
yncD	1521048
ansP	1525144
pptA	1533129
fdnI	1551799
ddpB	1560898
ddpA	1562362
pqqL	1572786
ydeP	1585424
lsrB	1605359
lsrF	1606561
uxaB	1610596
cspB	1641403
pntA	1676624
cfa	1742229
ydhQ	1745362
lpp	1757615
aroH	1788844
btuE	1793850
yniC	1809787
cedA	1813482
katE	1814166
chbF	1818420
cho	1823899
astC	1831911
xthA	1833009
ynjA	1835944
gdhA	1842910
fadD	1889432
mntP	1905787
cspC	1907417
yobH	1909123
yebS	1916944
yebY	1923535
zwf	1934968
yebC	1947567
tap	1970230
flhC	1977418
ftnA	1988933
uvrC	1993949
amyA	2006526
yedL	2010745
rcsA	2024017
dsrB	2024792
dcm	2031991
yodB	2042803
shiA	2053940
yeeN	2056894
yeeO	2059093
ldtA	2062401
hisF	2096356
yegL	2152876
baeS	2163207
rcnA	2186666
metG	2195459
yehK	2203986
yeiR	2268372
yejM	2285401
napA	2300364
ais	2365284
arnD	2370336
yfbK	2384227
yfbL	2385869
nuoG	2398919
yfcG	2420808
yfcJ	2439222
mnmC	2442490
aroC	2447320
intS	2467233
yfdK	2471432
yfdN	2472769
yfdR	2475251
ypdA	2499517
fryA	2504391
glk	2509025
yfeD	2519189
cysK	2533370
cysM	2539230
maeB	2576407
bamC	2597904
dapA	2599313
hyfJ	2611715
upp	2620434
sseB	2654538
hscA	2657874
yfhH	2699413
acpS	2700883
yfiF	2717821
pka	2720122
nadK	2751421
yfjH	2758359
yfjJ	2760667
yfjL	2764759
emrA	2811495
yqaB	2817271
norR	2831146
hycA	2850197
truD	2871264
cysC	2873755
ygbF	2878603
casA	2883568
ygcU	2899230
queE	2905219
sdaC	2929455
fucR	2940048
ptrA	2958309
lplT	2972909
lysR	2979478
araE	2981901
ygeX	3007887
hyuA	3010588
yqeA	3012261
