"ECB_00737"	"ECB_01992"	"ECB_02012"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"appY"	"arcA"	"blr"	"cls"	"cpsG"	"cpxR"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gltA"	"gmhB"	"hokB"	"hokD"	"hpaX"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"metJ"	"mntH"	"mokC"	"mreB"	"mreC"	"mtlD"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybcU"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeI"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yoaE"	"yqeB"	"yqhH"
"appC"	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0977257315382063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114861580390482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0170303899609628	0	0	0	0	0
"appY"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0597191142691895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141452795913251	0	0	0	0
"arcA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0619346209828824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474859414035246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0917125421751697	0.1067391502391	0	0	0
"blr"	0	0	0	-0.101753237189888	0	0.107358003622208	0	0	0.00876828319010566	0	-0.0977257315382063	0	-0.0619346209828824	1	0.105665613670235	0	-0.104169751146035	0	0	0.0564461388551658	-0.119103536976213	0	-0.00621445126344728	0	0	0.154662508253342	0.00470020176547334	0	0.0557770016305514	0	0.00438086940522681	0.109524803172346	0	0	-0.0205552240343147	0.0713301394078457	0	0	-0.0943575733280699	-0.109698823259366	-0.0542780079342773	0	-0.0527145063814029	0.11952728090026	0	0.0660417844158225	-0.0288754509897219	0	0.105547680709429	-0.0513420593747781	0	0	0	0	0.0804471490202617	0	0	0.101047088263232	0	0	0.105375403311901	0	-0.0979624905203227	0	-0.00692896946867358	0.106524728194209	0	0	-0.0955627649045256	0.0991275469532645	0	-0.00691519441486348	-0.0966667063798614	-0.00653650274984905	0	0	-0.109740087909852	-0.0632655755884721	0	0.0726064736558384	-0.00583846684016075	-0.0995140387594497	0	0	0	0	0.115543232752287	0.109003513854338	0	0.105593102936747	6.81318958409469e-05	0	0.00881097609357735	0	0	0	0	0	0	0.105452717843457	0	0	0	0	0	0	-0.101430765567267	0	0	-0.0982513495088042	0	0	0.119814545751716	0.0771558535317553	0.00700474394588063	0	-0.0969428674580518	0.0142954626873821
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105665613670235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102011927730286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280107914859461	0	-0.00582222800187361	0	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0720639133679804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165390190332004	0	0	0	0
"cpxR"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.104169751146035	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118392005848747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0238432803704582	0	0	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0879440351664375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0850690942808372	0	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179553711334343	0	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564461388551658	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0363477307550307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022748454192842	0	-0.192581651613039	0	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119103536976213	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130597973435469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0396883221258174	-0.000584824954967166	0	0	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0840709238686951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0752292993435426	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00621445126344728	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0430066700896097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.185922620291942	0	0	0
"gltA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177580814012609	0	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0139236220833446	0.125070865281459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0897424019406371	0	0	0	0
"hokB"	0	0	0	0	0	0	0	0	0.0788633315800149	0	0	0	0	0.154662508253342	0	0	0	0	0	0	0	0	0	0	0.0139236220833446	1	0.204013413209031	0	0	0	0.0722689209518374	0	0	0	-0.170056024356245	0	0	0	0	0	0	0	0	0.0297383856604313	0	0.029035870721453	-0.0237783101741653	0	0	0	0	0	0	0	0.0468117432904342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112103008253182	0	0	0	0	0.012314838836915	0.0796782610345695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0370874670636889	0.0782557671031109	-0.0061815173971304	0.017474074976479	0	0	0.091173036484526
"hokD"	0.0929612844163913	-0.0835879086720881	0	0	-0.000417717101935706	0	0.0903171013336688	-0.0649120900084949	0.146749136346709	-0.00016449420052903	0	-0.0597191142691895	0	0.00470020176547334	0	-0.0720639133679804	0	0.0879440351664375	0	0	0	0.0840709238686951	0	0	0.125070865281459	0.204013413209031	1	0	0	0	0.143886473246657	0	0	0	-0.00447547554622809	0	-0.0122509871418689	0.0811835112373611	0	0	0	0	0	0.00310132536515941	-0.0521778182880789	0.0932271047143734	-0.124819592908356	0	0	0	0	-0.0527043743142014	0	-0.0550374700535122	0.142328722460215	0.0881690984781713	-0.0520528681211271	0	0	0.0926847969261979	0	0	0	-0.0517815986503505	-0.00271632211643707	0	0	0	0	0	0.0950649285733607	-0.00259157069210826	0	0	0.0832742372949507	-0.0523998284958028	0	-0.0964356881165584	-0.0527741002584848	0	0	0	-0.0536423989855066	0	0.102664514367671	0	0.184170175135663	0	-0.0518270698039492	0	-0.0808407918480171	0.12428406778339	0.146909074689738	0.113900502577481	0	0.101812478194158	0.081868541882604	0.0913300234208946	0.0812879020368792	0	0.0817032319055604	0	0.108659393453783	0	-0.0524619706545416	0	0	0	0.119703276717131	0	-0.0532498806348691	0.132012852375366	0.00102223620997596	0	0	0.0866975524467184	0	0.147353344067412
"hpaX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176809821303099	0	0	0
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557770016305514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0356479391456202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211017570330259	0	-0.189482545816703	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.00941402594606483	0	0	0	0	0.00438086940522681	0	0	0	0	0	0	0	0	0	0	0	0.0722689209518374	0.143886473246657	0	0	0	1	0	0	0	-0.00742057380224623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109698130715049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0950675539998427	0	0	0	0.0307863204622817
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109524803172346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.106167954192814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0398321586286224	0	-0.0260891342446556	0	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183782689958843	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0105770701919998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0663719561526973	0	0	0
"ilvL"	0	-0.00152439507037598	0	0.117096558090908	0	-0.103663914049051	0	0	-0.0119591605514808	0	0.114861580390482	0	0.0474859414035246	-0.0205552240343147	-0.102011927730286	0	0.118392005848747	0	0	-0.0363477307550307	0.130597973435469	0	0.0430066700896097	0	0	-0.170056024356245	-0.00447547554622809	0	-0.0356479391456202	0	-0.00742057380224623	-0.106167954192814	0	0.0105770701919998	1	-0.0874159711263388	0	0	0.112808567947636	0.121907654967965	0.040113666719646	0	0.03868722193962	-0.115424875147921	0	-0.117856055990819	0.0792713516004737	0	-0.10176742505706	0.0170466398594521	0	0	0	0	-0.0721631450940741	0	0	-0.105463579543042	0	0	-0.101663232812637	0	0.115055011640501	0	0.040996426235663	-0.102794917985057	0	0	0.113633077660095	-0.103137584124484	0	0.0410012952325546	0.114305213955702	0.0426819047394754	0	0	0.121938003230199	0.0344811164761451	0	-0.0885661802240602	0.0430342498672964	0.115928692138509	0	0.00636201881721392	0	0	-0.103178905583198	-0.105548585321603	0	-0.1017989298485	-0.00625242553178119	0	-0.0118191069663542	0	0	0	0	0	0	-0.101760063794887	0	0	0	0	0	0	0.116969137486745	0	0	0.115199668319384	0	0	-0.120424637703022	-0.10009512039991	-0.0153475588119222	0	0.11439234731409	-0.0172442248644335
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713301394078457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0874159711263388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151566105115733	0	0	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0122509871418689	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14433146216987	0.175067035210717	0	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811835112373611	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0755997479799225	0	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0943575733280699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112808567947636	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0137337290019294	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109698823259366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121907654967965	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0299319932833717	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0542780079342773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040113666719646	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0786720236819176	0.0916958062995894	0	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190485620755603	0	0	0
