"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"blr"	0	0	0	0	0.0422242153162081	0	0	0	0	0	1	0.0341484377569847	0	-0.00502258376144896	0	-0.0615710738380685	0	0.0533490414290322	0	0.0350732301392344	0	0	0.0457703076004417	-0.00918067806956575	0	0.0203562429011696	-0.0389718759676181	-0.000322457107650875	0	-0.0280912201163609	0	0.0836617854454175	0	-0.00890915933856579	0	0	0	-0.0124181316552933	0	0.0280075417055451	-0.00444618291835687	0	0	0	0	0.0405027999198009	-0.0193877464325425	-0.00727988592920851	0.0250685305957674	0	0	0	0	-1.12292691416693e-05	-0.0301405252111417	0	0	0	-0.00034598191749943	0	0	0	0.0729264405223076	0.0450549742984557	0	0.0371085909797478	0	0	0	0	-0.00187734565173927	0	0	0	0.0339712145194983	0	-0.0100001752776993	-0.0102355624906748	0	0	0	0	0	0.0834980257282097	0	-0.123350312851859	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0.0341484377569847	1	0	0	0	0	0	0.0805462748489825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019936812137101	0	-0.118303833770402	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0202607723940837	0.161436912140568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.034075903071664	0.00305040254251351	0	0.0251016919905882
"envZ"	0	0	0	0	0	0	0	0	0	0	-0.00502258376144896	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201351976533499	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.105535685888762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181436385931003	0	0
"flgB"	0	-0.010361688458846	0.206634148861302	0	0	-0.000578065067731748	0	0	0.204513868762911	0	-0.0615710738380685	0	0	0	0	1	0.0356127390217219	-0.0734594529845261	-0.0997987917058842	0	0	0	0	0	0	-0.261367408711803	0	0.207199965906342	0	0.175134667021525	-0.00202094689086959	-0.00306900084813373	0.0878194769009665	0	0	0	-0.00105650535753628	0	0	0	0	0	0.204367422972282	-0.000529251190566786	0.0391478475540791	0	0	0	0	0.0391334587398224	0.204551649732672	0.0376591622004353	-0.000937315535538347	0.207081091292012	0.0547261517490079	-0.00227555105950248	-0.000315561543689633	0.0339250651549667	0.204053026849973	-0.00158739889865477	0.0980706292071687	0	0	0	-0.000670137082061282	0	-0.0116510306951533	0	0	0	0	0	0	0	0	0	0	0	0	0.206567674416229	0	0.204334610470264	-0.00184261112730691	-0.047287792480448	-0.17521365938541	0	0.204607745531505	-0.00418734532316593
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356127390217219	1	-0.000350548856679228	-0.175026044057473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.079079623355681	0	-0.028033682048386
"hokB"	0.0281549956157569	-0.0355780977315262	-0.00995932931924778	-0.0516958590907532	0.0883716440457965	-0.0177924644540865	0.0905263343051889	0	-0.00256750083462105	0	0.0533490414290322	0.0805462748489825	0.0202607723940837	0	0	-0.0734594529845261	-0.000350548856679228	1	0.145885494581298	0.0804311629635572	0	0.0848140915004917	0.0932738791049528	0	0	0	-0.120116871820843	-0.0293435247717023	0	-0.00458432876403272	0	0.229686674867963	-0.140143768661553	0	0	0	-0.0150821964016187	0	0.0276890659066915	0.0787280806491516	0	0	-0.00311891978755393	-0.0102794937265835	-0.00905210987800304	0.0854148953507862	0	0	0.0782194999406853	-0.00887803942143871	-0.00132544047905633	-0.00514674904834662	-0.0139711918455332	-0.029121117058114	-0.177158106936139	0	0	0	-0.00606344211096169	0	0	0.0368364058281966	0.222063181459541	0.0916340313104127	-0.0111122703980569	0.0818336572434201	-0.0399711600728481	0.0477531086057202	0.0916860406340213	0.0417394965588185	0	0.0123452484319686	0.030371468851773	0.012515582370947	0.0793296447169424	0.0124518990452095	0	0	-0.125558517799573	-0.00957576796411376	0	-0.00376112545986678	0	0.0718471466924256	-0.00085216777608469	0	-0.00181637259957113	0.101549100408177
"hokD"	0.159055111273535	-0.0264348253637867	0	0	0	-0.00213565958020434	0.161578025410412	0	0	0.0145368921287358	0	0	0.161436912140568	0	-0.105535685888762	-0.0997987917058842	-0.175026044057473	0.145885494581298	1	0	0	0.159260689592752	0	0	0	0	0	-0.0311288154683125	0.141177400491391	0	0	0.114002268859698	-0.135651119255253	0	0	0	0	0	0.159105403177523	0	0	0	0	0	-0.174475915833678	0	0	0	0	-0.174495472478577	0	-0.174883965276859	0	-0.0311660576031839	0	0	0	-0.172397968289261	0	0	0	0.157900076645411	0.107454856716716	0	0	0	-0.0294371534824717	0.157655803387201	0.162075221569388	0.157750910206221	0	0.163502456261317	0.158573816263701	0.163077406017096	0	0.163331912614392	0	0	-0.00474243383271917	0	0.161127027263011	0	0	0	0	0.0264231898265445	0	0.114354409080873
"hsdS"	0	0	0	0	0	0	0	0	0	0	0.0350732301392344	0	0	0	0	0	0	0.0804311629635572	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211003630014239	0	-0.119260458620881	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0.0240481218880524	0	0	0	0	0	0	0	0	0	0	0.0848140915004917	0.159260689592752	0	0	1	0	0	0	0	0	0	0	0	0	0.00484985424969841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0266339654941006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0551820837723395	0.00625628065438325	0	0.0536178872362391
"hyfA"	0	0	0	0	0	0	0	0	0	0	0.0457703076004417	0	0	0	0	0	0	0.0932738791049528	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339130999314391	0	-0.123035398446378	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	-0.00918067806956575	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203219694706783	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0415324835834901	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0.0203562429011696	0	0	0	0	-0.261367408711803	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0702623001948952	-0.0634747080760381	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	-0.0389718759676181	0	0	0	0	0	0	-0.120116871820843	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0085024188239599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0325904985033501	0.126364100999025	0.132053098621739	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	-0.000322457107650875	0	0	0	0	0.207199965906342	0	-0.0293435247717023	-0.0311288154683125	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019611650987534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0817687235193216	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141177400491391	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126435187484586	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	-0.0280912201163609	0	0	0	0	0.175134667021525	0	-0.00458432876403272	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00141556821008055	0	0.121006525868798	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00202094689086959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216060047687321	0	0	0
"mokC"	0	0	0	0	0	0	0.0127220411441717	0	0	0	0.0836617854454175	0	0	0	0	-0.00306900084813373	0	0.229686674867963	0.114002268859698	0	0	0.00484985424969841	0	0	0	0	-0.0085024188239599	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807467024129038	0	0	0	0	0	0.0147656635522557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0759013777674081	-0.0526702452067919	-0.0397969762983495	0	0.0358142828779867
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0878194769009665	0	-0.140143768661553	-0.135651119255253	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	-0.00890915933856579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203113561763331	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00244428735613436	0.0906009678226036	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178054830809411	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00105650535753628	0	-0.0150821964016187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221175907147812	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	-0.0124181316552933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00174070114808496	0	0.204731291865221	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276890659066915	0.159105403177523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0402900191352249	0.00494750338197809	0	0.0287917379791216
"plsB"	0	0	0	0	0	0	0	0	0	0	0.0280075417055451	0	0	0	0	0	0	0.0787280806491516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123738148542051	0	-0.111442547356628	0	0
"prlA"	0	0	0	0	0	0	0	0	0	0	-0.00444618291835687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201121367304669	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204367422972282	0	-0.00311891978755393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0514572191622701	0.000376542462029462	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000529251190566786	0	-0.0102794937265835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220730471946509	0	0	0
"rbsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391478475540791	0	-0.00905210987800304	-0.174475915833678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0872857568657043	0	-0.0344399352560133
"rbsR"	0	0	0	0	0	0	0	0	0	0	0.0405027999198009	0	0	0	0	0	0	0.0854148953507862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276984586196773	0	-0.122326353060219	0	0
"recO"	0	0	0	0	0	0	0	0	0	0	-0.0193877464325425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00912446754797625	0	0.208694014538632	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	-0.00727988592920851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202501961734429	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0.0250685305957674	0	0	0	0	0	0	0.0782194999406853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00872393998482121	0	-0.107882397481553	0	0
"rplF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391334587398224	0	-0.00887803942143871	-0.174495472478577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0871285427163842	0	-0.0343180309258945
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204551649732672	0	-0.00132544047905633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.048937206684543	0.000567788297537683	0	0
"rpsC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376591622004353	0	-0.00514674904834662	-0.174883965276859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.083058346158643	0	-0.0314018134059198
"sapF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000937315535538347	0	-0.0139711918455332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221048326689505	0	0	0
"speG"	0	0	0	0	0	0	0	0	0	0	-1.12292691416693e-05	0	0	0	0	0.207081091292012	0	-0.029121117058114	-0.0311660576031839	0	0	0	0	0	0	0	0	0.019611650987534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0815567078097208	0	0	0
"spoT"	0	0	0	0	0	0	0	0	0	0	-0.0301405252111417	0	0	0	0	0.0547261517490079	0	-0.177158106936139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0576984594787995	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00227555105950248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2133870908446	0	0	0
