"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.00924186765621068	-0.170133442540427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0824695510618534	0	-0.0424657170936173
"hokB"	0.0505820022939097	-0.0286199178834521	-0.0365705638681023	0	-0.0127167075405638	0.0983890189937095	-0.0366815512145093	0	0.119499529004602	0.041510042010019	0	0	-0.0319579238179019	-0.00924186765621068	1	0.0802916793584203	0.121621904907083	0	0.0967582606668597	0.133908073910381	0	0	0.0483161093753899	-0.122231893996436	-0.0405808177922877	0	-0.0509838132117879	0	0.254087363195581	-0.154605891997956	0	0	-0.00673632188289568	0	0.0500606664941144	0.108552994580957	0	0	-0.0363696254804005	-0.00392992365487471	-0.011694790737433	0.133980599953563	0	0	0.103494294944916	-0.0116714991955493	-0.0362881524224758	-0.00999717998853328	-0.00594504933167847	-0.0407373071817669	-0.200237584739474	0	0	-0.00609615988223933	-0.0366350668977398	0	0	0.0598099500005719	0.24678846254998	-0.00458459354766629	0.126504094569752	-0.0331829617449082	0.0697861017151207	0.0984608422378208	0.0642818057577287	0.0271830701430227	0.0529144474546792	0.0237005587904859	0.119103074992839	0.0261378419724143	0	0	-0.13615012577146	-0.0361944106621873	0	-0.0364837865113255	0	-0.0534537100624533	0	-0.0366270800130042	0.0908225351314317
"hokD"	0.159428960717736	-0.0137333429127187	-0.0310282155168445	0	0	0.16429776914384	-0.0200822381997934	0.0226938951798882	0	0.159143674224739	0	-0.0878035837811915	-0.0720786846222719	-0.170133442540427	0.0802916793584203	1	0	0	0.164544436582508	0	0	0	0	0	-0.0583844955167099	0.131265886177727	0	0	0.114478088325667	-0.155055413005453	0	0	0	0	0.159447977260096	0	0	0	-0.0213685113099527	0	-0.171144488920322	0	0	0	0	-0.171229367817485	-0.0187838625692222	-0.173070935588532	0	-0.0583829417504339	0	0	0	-0.168953182744514	-0.0252283208406022	0	0	0.160389169499002	0.107455449959387	0	0	-0.0169250113292742	0.160571592772837	0.162153790765957	0.160486052200824	0.160582209586139	0.159749864022251	0.161157670098167	0	0.160737324905429	0	0	-0.00912183739508957	-0.0311429414296398	0.143108305004795	-0.0219877940827584	0	-0.0182698525309982	0	-0.0190052221080086	0.0963406661665205
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121621904907083	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119807797168381	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0.0315940918191239	0	0	0	0	0	0	0	0	0.0967582606668597	0.164544436582508	0	0	1	0	0	0	0	0	0	0	0	0	0.0135837037668098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034509165116988	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0271720099289293	0.00878277340023606	0	0.0615080015842552
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133908073910381	0	0	0	0	1	0	0	0	0	0	0	0	0	0.015834184650482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.147019014377266	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236475908406526	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0431739665266989	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.213217873433565	0	0.0483161093753899	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11851577816558	-0.0647863302366205	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.122231893996436	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.00706371178464463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1338657518487	0.166937329989268	0	0
"lrp"	0	0	0.0214632647120792	0	0	0	0.008147759438272	0	0	0	0	0	0.164240550345801	0	-0.0405808177922877	-0.0583844955167099	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00950793550030267	0	0	0	0	0	0	0	0.00601828766360897	0	0	0.0555034209283145	0	0	0	0	0.0143475450246748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212268259204253	0	0.0103834087751235	0	-0.109929598098135	0	0.00662783520975738	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131265886177727	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157249108262311	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0.156911063281609	0	-0.0509838132117879	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0341308027313686	0.134471142519623	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00182413529484104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220623288199629	0	0	0
"mokC"	0	0	0	0	0	0.0200534200020426	0	0	0	0	0	0	0	0	0.254087363195581	0.114478088325667	0	0	0.0135837037668098	0.015834184650482	0	0	0	-0.00706371178464463	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0945815497896334	0	0	0	0	0.022353136121279	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0587626418976809	-0.0713613486905074	0	0.0419422575924953
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0.0404815426807766	0	-0.154605891997956	-0.155055413005453	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236234289271988	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107997543102803	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	-0.000433392890208194	0	-0.00673632188289568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228739754404248	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239610692638937	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500606664941144	0.159447977260096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01380548179894	0.0128400515342507	0	0.0358876387723515
"plsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108552994580957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113848141292354	0	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232801807028902	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0	0	0.170050469953622	0	-0.0363696254804005	-0.0213685113099527	0	0	0	0	0	0	0	0	0.00950793550030267	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00953101493127505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.091372734993114	0	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00392992365487471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227567252165675	0	0	0
"rbsD"	0	0	0	0	0	-0.00252996036872883	0	0	0	0	0	0	0.00345872611329136	0	-0.011694790737433	-0.171144488920322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00704721014815641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0900964338454835	0	-0.0475492772413993
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133980599953563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127015150232579	0	0
"recO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246904732402513	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2350641693234	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103494294944916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110439175675709	0	0
"rplF"	0	0	0	0	0	-0.0023801519678086	0	0	0	0	0	0	0.00334236376443355	0	-0.0116714991955493	-0.171229367817485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00690491984916036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0899650356792518	0	-0.0474767059168034
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0	0.171172262700404	0	-0.0362881524224758	-0.0187838625692222	0	0	0	0	0	0	0	0	0.00601828766360897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00604248609579692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0901003051954684	0	0	0
"rpsC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000393441317945898	0	-0.00999717998853328	-0.173070935588532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00189344820135433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0854504092676899	0	-0.0446817645552052
"sapF"	0	0	0	0	0	0	0	0	0	0	0	0	-1.38123379171467e-05	0	-0.00594504933167847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228638584171232	0	0	0
"speG"	0	0	0.0214802649096159	0	0	0	0.00816868692092561	0	0	0	0	0	0.164230451903967	0	-0.0407373071817669	-0.0583829417504339	0	0	0	0	0	0	0	0	0.0555034209283145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00953101493127505	0	0	0	0	0	0	0	0.00604248609579692	0	0	1	0	0	0	0	0.0143681885246003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212451946388021	0	0.010404838965111	0	-0.109832243987	0	0.00664960279772643	0
"spoT"	0	0	0	0	0	0	0	0	0	0	0	0	0.0335829684636468	0	-0.200237584739474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0732465065972852	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00178605595226412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217898621962952	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209164773394191	0	0	0
"trkH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00609615988223933	-0.168953182744514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0787663076879279	0	-0.0391410777872349
"wzy"	0	0	0	0	0	0	0	0	0	0	0	0	0.168792932851329	0	-0.0366350668977398	-0.0252283208406022	0	0	0	0	0	0	0	0	0.0143475450246748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143681885246003	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.09306401255629	0	0	0
"ybaE"	0	0	0	0	0	0	0	0	0	0	0	0	-0.000878781676949666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215245836912758	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0.0749307177065952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.201865357129984	-0.097752447919188	0	0
"ybbN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0598099500005719	0.160389169499002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00327374365909508	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0173809758785709	0.0121875627602977	0	0.0410429075772852
"ybeB"	0	0	0	0	0	0.00629144537468343	0	0	0	0	0	0	0	0	0.24678846254998	0.107455449959387	0	0	0	0	0	0	0	0	0	0	0	0	0.0945815497896334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00911998042132516	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0510282008958621	-0.0645619300651289	0	0.032432041371004
"ybhP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00458459354766629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227867215583839	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126504094569752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.121866232644618	0	0
"yceK"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0159570032378334	0	-0.0331829617449082	-0.0169250113292742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236230399358838	0	0	0
