"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"ylcG"
"iclR"	0	0	-0.0472053881119233	-0.0550283192985602	0	0.177987743087896	-0.0714592063104273	0	0	0	1	0	-0.0558205490712947	0	0	0	-0.0403145196437028	-0.133984313559752	-0.0464648113303909	0	-0.0339489799893139	0	-0.0491624255980437	0	0.132300166911978	0.0160747028150498	0.132033447856005	-0.0443324984504225	0.122970379666302	-0.153320179209281	0.109182576655604	0	0	0.00190708809329446	0	0	0	0	0	-0.0421750283305817	0	-0.0219017768516707	-0.099077481455252
"infB"	0	0	0	0	0	0	0	0.151268199932771	0	0	0	1	0	0	0.021654010646641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.166374350789908
"infC"	0.0432252338305994	0	0	0.0151291730521955	0	0	0	-0.183485113641695	0	0	-0.0558205490712947	0	1	0	-0.087103357479339	0	0	0	0.00590496619230271	0	0	0	0	0.0252053457843454	0	-0.0341419886166877	0	0	0	0	0	0	-0.0601617276524535	-0.0232250972627024	0	0	0	-0.011469072725028	0	0.00127421425685377	0	0	0.195740449462673
"malT"	0	0.0808819584531451	0	0	0	0	0	0.0796620972642322	0.197226924221808	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299564542959129
"mokC"	-0.0838725953838482	0.0626100879300353	0	0	0	0	0	0.252992895598284	0.0934932296624585	0	0	0.021654010646641	-0.087103357479339	0	1	0	0	0	0	0.0019762843098217	0	0	0	-0.0685722119885002	0	0.0475885208693313	0	0	0	0	0	0	0.145197862312761	0.0424169442778332	0.0258940031031445	0	0.00469365473075265	0.0374794190008472	0	0	-0.0415286267251868	0	-0.0214096234525454
"mreB"	0	-0.0839178308145449	0.0286796411095837	0	0	0	0.144163614883804	-0.135038870142351	-0.220881992436919	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0335545576613419	0	0	0	0	0.021649097995362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0435896162233794
"mreC"	0	0	0	0.0475858220599271	0	-0.00964688251347484	0	-0.00825058060293697	0	0	-0.0403145196437028	0	0	0	0	0	1	0	0.0405937286645424	0	0.0303904090556212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036974618992819	0	0	0.256051356692202
"nadR"	0	0	0	0	0	0	0.0916537959127326	0	0	0	-0.133984313559752	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106989490063292
"oppD"	0	0	0	0.0517102464023262	0	-0.0172383597295207	0	-0.00907370419105565	0	0	-0.0464648113303909	0	0.00590496619230271	0	0	0	0.0405937286645424	0	1	0	0.0356132110123505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0417788412776153	0	0	0.250496621131723
"phoH"	0	0.0958011334113981	0	0	0	0	0	0.108709799053304	0.19576895754808	0	0	0	0	0	0.0019762843098217	0	0	0	0	1	0	0	0	0	-0.00377879431468776	0	-0.00351718161141311	0	0	0	0	0	0	0	0.0233372496357208	0	0	0	0	0	0	0	0.0375049625924182
"prlA"	0	0	0	0.0430612971687928	0	-0.00183688099156406	0	-0.00609373504194509	0	0	-0.0339489799893139	0	0	0	0	0	0.0303904090556212	0	0.0356132110123505	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317562586463844	0	0	0.260440189174564
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0.192504336158934	0	0	0	0.232172023234623	0	-0.00857891424848191	0	-0.0491624255980437	0	0	0	0	0.0335545576613419	0	0	0	0	0	0	1	0	-0.00843295157781739	0	-0.00808026137878311	0.190250992666917	0	0.0491639183828149	0	0.132852905345601	0	0	0	0	0	0	0	0	0	0	-0.011055100355177
"rbsB"	0.0931901203028416	0	0	0	0	0	0	-0.195081590890823	0	0	0	0	0.0252053457843454	0	-0.0685722119885002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0343700322098828	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	-0.0547934894000693	-0.00513060643909897	0	0	0.0815923617431875	-0.0620158407628371	0	-0.0956123864265361	0	0.132300166911978	0	0	0	0	0	0	0	0	-0.00377879431468776	0	0	-0.00843295157781739	0	1	0	0.132441277980793	-0.000306005341196171	0.127311522600235	0	0.118775735421754	0	0	0	-0.0205645428571982	0	-0.00549393883679122	0	0	0	0.0528620866739055	-0.0203210762908342	-0.023550326856568
"rbsR"	0	0	0	-0.00388659792674766	0	0	0	0.143133598618546	0	0	0.0160747028150498	0	-0.0341419886166877	0	0.0475885208693313	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0201347796563741	0	0	0	0	0	0	0	0	0	-0.182197649622817
"rplF"	0	-0.054893571036054	-0.00476378532420114	0	0	0.08113692123562	-0.0619827079649051	0	-0.095986903730117	0	0.132033447856005	0	0	0	0	0	0	0	0	-0.00351718161141311	0	0	-0.00808026137878311	0	0.132441277980793	0	1	0	0.127062419310973	0	0.11841896783527	0	0	0	-0.0204021305027497	0	-0.00524449381182415	0	0	0	0.0523268822051953	-0.0199077356266222	-0.0235417345094376
"rpsA"	0	0	0.188322169355746	0	0	0	0.236945880097648	0	-0.00962919992516924	0	-0.0443324984504225	0	0	0	0	0.021649097995362	0	0	0	0	0	0	0.190250992666917	0	-0.000306005341196171	0	0	1	0	0.0368037100402806	0	0.122527529286586	0	0	0	0	0	0	0	0	0	0	-0.00396110419766244
"rpsC"	0	-0.0568068838072488	0	0	0	0.067202249776101	-0.0543688632416191	0	-0.106146565599207	0	0.122970379666302	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127311522600235	0	0.127062419310973	0	1	0	0.10792794340604	0	0	0	-0.0144011080951993	0	0	0	0	0	0.0358835580067896	-0.00624743524462201	-0.0232865302090585
"spoT"	0	0	0.0440935877317113	0	0	0	0.164744383886863	-0.182773183253608	0	0	-0.153320179209281	0	0	0	0	0	0	0	0	0	0	0	0.0491639183828149	0	0	0	0	0.0368037100402806	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.058140496843095
"trkH"	0	-0.0512562168040457	0	0	0	0.0420267771789532	-0.0426547421304471	0	-0.112139125735484	0	0.109182576655604	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118775735421754	0	0.11841896783527	0	0.10792794340604	0	1	0	0	0	0	0	0	0	0	0	0.00349426047432211	0	-0.0163711824492327
"ybaL"	0	0	0.128694483694035	0	0	0	0.214080488425506	0.0203573707253077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132852905345601	0	0	0	0	0.122527529286586	0	0	0	1	0	0	0	0	0	0	0	0	-0.102647841541675	0	-0.1597862626918
"ybeB"	-0.053081671167811	0.0458786199294241	0	0	0	0	0	0.277742362748172	0.0818977988404915	0	0	0	-0.0601617276524535	0	0.145197862312761	0	0	0	0	0	0	0	0	-0.0343700322098828	0	0.0201347796563741	0	0	0	0	0	0	1	0.012153934072636	0.00238235194333153	0	0	0.00434068061056035	0	0	0	0	-0.0328044565159302
"ycdM"	0	0	0	0	0	0	0	0.146860366738684	0	0	0.00190708809329446	0	-0.0232250972627024	0	0.0424169442778332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012153934072636	1	0	0	0	0	0	0	0	0	-0.182821945894416
"ycfC"	0	0.0999155560774078	0	0	0.0159148922593008	0	0	0.116602216412667	0.183102740467691	0	0	0	0	0	0.0258940031031445	0	0	0	0	0.0233372496357208	0	0	0	0	-0.0205645428571982	0	-0.0204021305027497	0	-0.0144011080951993	0	0	0	0.00238235194333153	0	1	0	0.0255875931205089	0	0	0	0	0	0.037299308886936
"yeeR"	0	0.0829572128420045	0	0	0	0	0	0.0831514963837481	0.197606765958409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.031205108062716
"yeeU"	0	0.0964985145939857	0	0	0	0	0	0.110015169792486	0.194909236235686	0	0	0	0	0	0.00469365473075265	0	0	0	0	0	0	0	0	0	-0.00549393883679122	0	-0.00524449381182415	0	0	0	0	0	0	0	0.0255875931205089	0	1	0	0	0	0	0	0.0376836711156371
"yfaQ"	0	0	0	0	0	0	0	0.150719511937338	0	0	0	0	-0.011469072725028	0	0.0374794190008472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434068061056035	0	0	0	0	1	0	0	0	0	-0.178506310460765
"yfcTU"	0	0.0819512877812175	0	0	0	0	0	0.0814507870805938	0.197401212117737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0305977290024042
"ygjD"	0	0	0	0.0486863311549513	0	-0.0117835155186434	0	-0.00878982084362165	0	0	-0.0421750283305817	0	0.00127421425685377	0	0	0	0.036974618992819	0	0.0417788412776153	0	0.0317562586463844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.254552353311269
"yhdG"	0	0	0	0	0	0	-0.151752385033936	-0.185093181676976	-0.0389266964933832	0	0	0	0	0	-0.0415286267251868	0	0	0	0	0	0	0	0	0	0.0528620866739055	0	0.0523268822051953	0	0.0358835580067896	0	0.00349426047432211	-0.102647841541675	0	0	0	0	0	0	0	0	1	0	0.0429232602558532
"yieO"	0	0.0717489133652489	0	0	0	0	0	0	0.182222510821998	0	-0.0219017768516707	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0203210762908342	0	-0.0199077356266222	0	-0.00624743524462201	0	0	0	0	0	0	0	0	0	0	0	0	1	0.233324459787882
"ylcG"	0	0.0288749211195474	-0.00818328530839794	0.241858477784469	0.0367717963530823	-0.212910650007997	-0.074032021756027	0	0.0455938127683464	0	-0.099077481455252	-0.166374350789908	0.195740449462673	0.0299564542959129	-0.0214096234525454	-0.0435896162233794	0.256051356692202	0.106989490063292	0.250496621131723	0.0375049625924182	0.260440189174564	0	-0.011055100355177	0	-0.023550326856568	-0.182197649622817	-0.0235417345094376	-0.00396110419766244	-0.0232865302090585	0.058140496843095	-0.0163711824492327	-0.1597862626918	-0.0328044565159302	-0.182821945894416	0.037299308886936	0.031205108062716	0.0376836711156371	-0.178506310460765	0.0305977290024042	0.254552353311269	0.0429232602558532	0.233324459787882	1
