"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"flgB"	0	0	0	0	0	0.196021712002314	0	0	0	0	1	0	-0.0470573632432832	-0.104650625941474	0	0	0	0	0	0	-0.222160916614357	0	0	0.207504998978228	0	0.0162007070332411	0	0	0	0	0	0	0	0.19559976193022	-0.00112030341584172	0	0	0	0	0	0.196944104866862	0	0	0.182391645516575	0.0337357720305878	0	0	0	0.194129592457705	0	0.146312643489108	0	0	-0.00121017297154809	0	-0.001643513378781	0	0	0	0	0	0	0	0	0	0	0.192269060653764	0	0.195392236889587	0	-0.152449529808621	0.0166176943267264	0.196716217043506	-0.0237044272613498
"galF"	0	0	0	0	-0.012396727005105	0	0	0	0	0	0	1	-0.000633104572376631	-0.146185324263366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0170145354171279	0	0	0	0	0	0	0	0	0	0	0	0	0.0057442660770633	-0.100523776171527	0	-0.0561642965132628
"hokB"	0.0417485929742228	-0.0447253396368483	0	-0.0242479703629848	0.0858250165771631	-0.0130909536351724	0	0.0351603889206391	0	0	-0.0470573632432832	-0.000633104572376631	1	0.0910882734135146	0.138273073892696	0	0.0848487436525309	0.14157724697502	0	0	0.0123726540475315	-0.137666497856367	0	-0.0331560084700688	0.230776783839259	-0.0806685079821365	0	0	-0.0167486565412022	0	0.0413454583397525	0	0	-0.0135880055271378	-0.0130389653326397	-0.00319584942969111	0.142487561163763	0	0.119792845673827	-0.00318185611514487	-0.0122783933717078	-0.00220005044539532	-0.015438954903054	-0.031244089411484	-0.165539452677218	-0.00059140568823132	0	0	-0.0150626081032223	0	0	0.0483067883465093	0.224550437667436	-0.0138212880790067	0.139937719347927	-0.0471827757086475	0.0559051980709686	0.0856550118234842	0.0516160252767642	0.0205791686534307	0.0433447613042088	0.13601186639996	0.0195829943485284	0	0	-0.113016165325816	-0.0169922943512884	0	-0.0138354901763746	-0.000120855210146292	-0.0310519672968702	0	-0.0124506143959835	0.0807743262188513
"hokD"	0.164380327707052	-0.0202763753304372	0	-0.003656289930218	0.150847762619596	-0.0478087964333517	0	0.166039413475792	0	-0.0843383766406072	-0.104650625941474	-0.146185324263366	0.0910882734135146	1	0.000682639962953159	0	0.162951355336033	0.00702286290643852	0	-0.116796429957207	0	0	0.132527288045911	0	0.128402052279918	-0.235489152569465	0	0	0	0	0.164450768192514	0	0	-0.0485239970531881	0	-0.145816598067453	0.00512494383659199	0	0	-0.145862254298711	-0.0464217494525679	-0.146758878571714	0	-0.0757362390013632	-0.0563176840236968	0	0	-0.143518686915877	-0.0511247525589966	0	0	0.163149312168808	0.121923115248557	0	0.00270087518133332	-0.0229316692301794	0.161960809569854	0.145288588067703	0.162771641211348	0.167052716323245	0.164000974985626	0	0.167121897523909	0	0	0	-0.0546680641211036	0.141050480634178	-0.0489651324191852	0	0	0	-0.0469650750032965	0.0787822940581645
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0.138273073892696	0.000682639962953159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.133570317494446	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0.0403578622590795	0	0	0	0	0	0	0	0.0848487436525309	0.162951355336033	0	0	1	0	0	0	0	0	0	0	0.0129660985243164	0	0	0	0	0	0	0	0	0	0	-0.00967381689281067	0	0	0	-0.00953631193045617	0	-0.00466374359741892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053207501450845	0.042756039082546	0.00122729683975455	0	0	0	0	0	0	0	0	0	0	0	-0.0365245665548723	0.00511966803353979	0	0.0672644892419815
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0.14157724697502	0.00702286290643852	0	0	0	1	0	0	0	0	0	0	0.0188891317857709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000400268738409378	-0.148025788524797	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243870620497382	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116796429957207	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0608046240973693	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	-0.222160916614357	0	0.0123726540475315	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0969405644316867	-0.0765626593419896	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	-0.137666497856367	0	0	0	0	0	0	0	0	1	0	0	-0.00579536866343219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14033483889688	0.16909648811718	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132527288045911	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155108813856426	0	0.00595693899101631
"metH"	0	0	0	0	0	0	0	0	0	0	0.207504998978228	0	-0.0331560084700688	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.012534671400032	0.144976333648552	0	0
"mokC"	0	0	0	0	0.0203913260350406	0	0	0	0	0	0	0	0.230776783839259	0.128402052279918	0	0	0.0129660985243164	0.0188891317857709	0	0	0	-0.00579536866343219	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00390901712197572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862339551509923	0	0	0	0	0.0223825179079615	0	0	0	0	0	0	0	0	0	0	0	0	-0.0696163168708634	-0.0841821541656688	0	0.0409694768280635
"mreB"	0	0	0	0	0	0	0	0	0	0	0.0162007070332411	0	-0.0806685079821365	-0.235489152569465	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0150952351144125
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243649371106691	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113447437420667	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0167486565412022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238639518704857	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246944579572923	0	0
"phoH"	0	0	0	0	0.00354527754430822	0	0	0	0	0	0	0	0.0413454583397525	0.164450768192514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757228023553746	0	0	0	0	0	0	0	0	0	0	0	0	-0.0251830970784967	0.0106263400196747	0	0.0448034664609468
"prlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24032413452379	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0.19559976193022	0	-0.0135880055271378	-0.0485239970531881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0135550535977598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0766101862021973	0.00477694234418263	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	-0.00112030341584172	0	-0.0130389653326397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237450662696049	0	0	0
"rbsD"	0	0	0	0	-0.0215414427511184	0	0	0	0	0	0	0	-0.00319584942969111	-0.145816598067453	0	0	-0.00967381689281067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5.37622315487234e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0256214694296251	0	0	0	0	0	0	0	0	0	0	0	0	0.00472548823986818	-0.109307535933969	0	-0.0612159195064756
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0	0.142487561163763	0.00512494383659199	0	0	0	0	0	0	0	0	0	0	0.00390901712197572	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.140555312957321	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242383311226467	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0	0.119792845673827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125283180790519	0	0
"rplF"	0	0	0	0	-0.0214299011432768	0	0	0	0	0	0	0	-0.00318185611514487	-0.145862254298711	0	0	-0.00953631193045617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.37622315487234e-05	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.025518931257919	0	0	0	0	0	0	0	0	0	0	0	0	0.0046893606443337	-0.109194579437849	0	-0.0611690811938959
"rpsA"	0	0	0	0	0	0	0	0	0	0	0.196944104866862	0	-0.0122783933717078	-0.0464217494525679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0103125489340547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0746715748691207	0.00517087831416664	0	0
"rpsC"	0	0	0	0	-0.0173490645381272	0	0	0	0	0	0	0	-0.00220005044539532	-0.146758878571714	0	0	-0.00466374359741892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0216899425968719	0	0	0	0	0	0	0	0	0	0	0	0	0.00506621465362713	-0.105178977413745	0	-0.0590822791967962
"sapF"	0	0	0	0	0	0	0	0	0	0	0	0	-0.015438954903054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238502795973609	0	0	0
"speG"	0	0	0	0	0	0.0121712395645089	0	0	0	0	0.182391645516575	0	-0.031244089411484	-0.0757362390013632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135550535977598	0	0	0	0	0	0	0.0103125489340547	0	0	1	0	0	0	0	0.017706091415096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234200222553508	0	0.0142089790429734	0	-0.101422810264261	0.00174699998059578	0.0108532142089288	0
"spoT"	0	0	0	0	0	0	0	0	0	0	0.0337357720305878	0	-0.165539452677218	-0.0563176840236968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105151966302679	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00059140568823132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23466402146951	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226609091866645	0	0	0
"trkH"	0	0	0	0	-0.00702569930490544	0	0	0	0	0	0	0	0	-0.143518686915877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0118812933924326	0	0	0	0	0	0	0	0	0	0	0	0	0.00603768151224835	-0.0962258795526315	0	-0.0525980614416936
"wzy"	0	0	0	0	0	0	0	0	0	0	0.194129592457705	0	-0.0150626081032223	-0.0511247525589966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017706091415096	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0793968141604073	0.00425448399420793	0	0
"ybaE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232191153600074	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0.146312643489108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164807590132798	-0.103657542623265	0	0
"ybbN"	0	0	0	0	0.00977056308069728	0	0	0	0	0	0	0	0.0483067883465093	0.163149312168808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0135191064234294	0	0	0	0	0	0	0	0	0	0	0	0	-0.0281896160572984	0.0105367487053885	0	0.0484349341316106
"ybeB"	0	0	0	0	0.00793932733389917	0	0	0	0	0	0	0	0.224550437667436	0.121923115248557	0	0	0	0	0	0	0	0	0	0	0.0862339551509923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0103938847576968	0	0	0	0	0	0	0	0	0	0	0	0	-0.0616612657916343	-0.0779076621014435	0	0.0320106546978881
"ybhP"	0	0	0	0	0	0	0	0	0	0	-0.00121017297154809	0	-0.0138212880790067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237498136513094	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0	0	0.139937719347927	0.00270087518133332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13611363568293	0	0
"yceK"	0	0	0	0	0	0	0	0	0	0	-0.001643513378781	0	-0.0471827757086475	-0.0229316692301794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23833230321861	0	0	-0.00737522297658103
"ycfC"	0	0	0	0	0.016082476578022	0	0	0	0	0	0	0	0.0559051980709686	0.161960809569854	0	0	0.0053207501450845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0195337503350495	0	0	0	0	0	0	0	0	0	0	0	0	-0.0311283765340219	0.00952973458689988	0	0.0520717265372013
"yebY"	0.00792180957333305	0	0	0	0.0477752475824884	0	0	0.00172985128512667	0	0	0	-0.0170145354171279	0.0856550118234842	0.145288588067703	0	0	0.042756039082546	0	0	0	0	0	0	0	0.0223825179079615	0	0	0	0	0	0.00757228023553746	0	0	0	0	-0.0256214694296251	0	0	0	-0.025518931257919	0	-0.0216899425968719	0	0	0	0	0	-0.0118812933924326	0	0	0	0.0135191064234294	0.0103938847576968	0	0	0	0.0195337503350495	1	0.0161830179183178	0	0.00943131603335959	0	0	0	0	0	0	0	0	0	-0.0278209699765389	0.00410755321939603	0	0.0670756429799281
"yecE"	0	0	0	0	0.0125516504040592	0	0	0	0	0	0	0	0.0516160252767642	0.162771641211348	0	0	0.00122729683975455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161830179183178	1	0	0	0	0	0	0	0	0	0	0	0	-0.0293980369285254	0.0101521815778186	0	0.0500671277555801
"yeeR"	0	0	0	0	0	0	0	0	0	0	0	0	0.0205791686534307	0.167052716323245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0150985445069597	0.00595192399903141	0	0.0319153201071
"yeeU"	0	0	0	0	0.00547333971603551	0	0	0	0	0	0	0	0.0433447613042088	0.164000974985626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00943131603335959	0	0	1	0	0	0	0	0	0	0	0	0	-0.0260156446325328	0.0107567128132321	0	0.0459199366623552
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	0	0.13601186639996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.132813078787027	0	0
"yfcTU"	0	0	0	0	0	0	0	0	0	0	0	0	0.0195829943485284	0.167121897523909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0145848558671532	0.00563516066758206	0	0.0312532263225643
"yggM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.244417600904055	0	0
"ygjD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.244584794933181	0	0
