"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"ylcG"
"iclR"	0	0	-0.00848264943323303	-0.0677579807999	0	0.159850754112285	0	0.0171000688240311	0	0	1	-0.0713025937220075	0	0	0	-0.0581364348137183	-0.0192710454547971	-0.0622859890117442	0	-0.0530816951378353	0	-0.00789852607997655	0	0.0960657767623485	0.0406783413842055	0.0958144362565563	-0.00975886268546233	0.0855306419162868	-0.108461408948697	0.0621505736539275	0	0.00350949441372693	0.0329721101764871	0	0	0.0254529823872694	0	-0.0593249626155339	0	-0.00118158599016322	-0.123651764972628
"infC"	0.0998924259311609	0	0	0.0291150596514862	0	-0.061192320766656	0	-0.115253057186228	0	0	-0.0713025937220075	1	0	0	0	0.00809785413185938	0	0.0172550737192096	0	0.0013014592117341	0	0	0.0848020750338983	0	-0.0966283567863525	0	0	0	0	0	-0.1017917376714	-0.10629937596741	-0.0872904352440841	0	0	-0.0780481075764883	0	0.0106924057744437	0	0	0.161723506913418
"malT"	0	0.111855292901999	0	0	0	0	0	0.0226214117004539	0.191512879452689	0	0	0	1	0.132291026754051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00628736789459786
"mokC"	-0.0111766941031607	0.084878759070118	-0.00764485713339565	0	0.135747599193455	0	-0.0270661725145239	0.0871489403328861	0.054886073105779	0	0	0	0.132291026754051	1	-0.12929918588888	0	0	0	0.138084122291004	0	0	-0.00936051217299621	-0.00283137169827117	-0.0301867974178917	0	-0.0301124384040133	-0.00457678195614359	-0.0262006887647183	0	-0.0172666183732326	0	0.0796694194472275	0	0.133673883379035	0.138727614013904	0	0.133078804246853	0	-0.0763069024260491	0.0923521009934074	0.0100309018573441
"mreB"	0	-0.101976218877193	0	0	0	0	0.0549515161834107	-0.118236972055419	-0.205418785108328	0	0	0	0	-0.12929918588888	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.050647404353715
"mreC"	0	0	0	0.0770681796778157	0	-0.0336216230481924	0	0	0	0	-0.0581364348137183	0.00809785413185938	0	0	0	1	0	0.0708781117957916	0	0.0616704774163724	0	0	0	-0.000212597093179435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676806830761571	0	0	0.220789366662559
"nadR"	0	0	0	0	0	0	0	-0.0156143254048065	0	0	-0.0192710454547971	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185547034789716
"oppD"	0	0	0	0.0806647518624365	0	-0.0398143965280534	0	0	0	0	-0.0622859890117442	0.0172550737192096	0	0	0	0.0708781117957916	0	1	0	0.066569606659504	0	0	0	-0.00267233197264328	0	-0.00239039537823743	0	0	0	0	0	0	0	0	0	0	0	0.0720933921749102	0	0	0.214877409071708
"phoH"	0	0.121879052457958	0	0	0.0216442857810991	0	0	0.0654696964031533	0.185648011928584	0	0	0	0	0.138084122291004	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336571585912185	0	0	0	0	0	0.0161038715731868
"prlA"	0	0	0	0.0732576319221327	0	-0.0267569068380628	0	0	0	0	-0.0530816951378353	0.0013014592117341	0	0	0	0.0616704774163724	0	0.066569606659504	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0630975378424241	0	0	0.225406967642475
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	-0.00408519809615774	0.202311154761109	0	0	0	0.23909925303484	-0.00601119189191225	-0.0307863958234977	0	-0.00789852607997655	0	0	-0.00936051217299621	0	0	0	0	0	0	0	1	0	-0.017645388586223	0	-0.017338730089742	0.199367144594876	-0.00890182978635916	0.0288186022591451	0	0.129003972017735	0	0	0	0	0	0	0	0	0	0
"rbsB"	0.158004641121727	0	0	0	0	0	0	-0.170217764504602	-0.00853426276889104	0	0	0.0848020750338983	0	-0.00283137169827117	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0169446420421292	-0.0960596549889442	0	0	0	0	0	0	0.0456266288874818	0	0
"rbsD"	0	-0.0243174556349734	-0.016207890234879	-0.00642192481106733	0	0.0631359888032107	-0.0392847977686923	0	-0.0404698981434945	0	0.0960657767623485	0	0	-0.0301867974178917	0	-0.000212597093179435	0	-0.00267233197264328	0	0	0	-0.017645388586223	0	1	0	0.162570189013158	-0.0138122511129733	0.159156506767416	0	0.151799724114807	0	0	0	0	0	0	0	-0.000982072170157966	0.115264751347413	-0.0322371785048313	-0.059938438838018
"rbsR"	-0.0245093395756075	0	0	0	0	0.0184593051151612	0	0.141902939877655	0	0	0.0406783413842055	-0.0966283567863525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0215645143355584	0.0904645844763107	0.0882496784772919	0	0	0.0821822858923606	0	0	0	0	-0.113147789798936
"rplF"	0	-0.0242138395513487	-0.0158844173781749	-0.00617896969157436	0	0.062769434033133	-0.0392224754596929	0	-0.0404669094783354	0	0.0958144362565563	0	0	-0.0301124384040133	0	0	0	-0.00239039537823743	0	0	0	-0.017338730089742	0	0.162570189013158	0	1	-0.0134792090068061	0.158937911309592	0	0.151457708907575	0	0	0	0	0	0	0	-0.0006775150115318	0.114730606750665	-0.0317324368936126	-0.0603580760125057
"rpsA"	0	0	0.197321516290438	0	0	0	0.239343779616498	-0.0128190131101396	-0.026530454762495	0	-0.00975886268546233	0	0	-0.00457678195614359	0	0	0	0	0	0	0	0.199367144594876	0	-0.0138122511129733	0	-0.0134792090068061	1	-0.00408233054644773	0.0171620032793885	0	0.115087185596919	0	0	0	0	0	0	0	0	0	0
"rpsC"	0	-0.0189344659855717	-0.00709659138443185	0	0	0.0489362039556277	-0.0389548498499377	0	-0.0390747390629711	0	0.0855306419162868	0	0	-0.0262006887647183	0	0	0	0	0	0	0	-0.00890182978635916	0	0.159156506767416	0	0.158937911309592	-0.00408233054644773	1	0	0.141398935249447	0	0	0	0	0	0	0	0	0.0981556206844051	-0.0123404364167538	-0.0641705415329169
"spoT"	0	0	0.0244911962024155	0	0	-0.000692820699205469	0.0952027264177656	-0.235185673752764	-0.000381206389263746	0	-0.108461408948697	0	0	0	0	0	0	0	0	0	0	0.0288186022591451	0	0	0	0	0.0171620032793885	0	1	0	0	-0.040278312336807	0	0	0	0	0	0	0	0	0.112286064366389
"trkH"	0	-0.0072620672859239	0	0	0	0.0180257529257187	-0.0292224823308606	0	-0.0355982638084043	0	0.0621505736539275	0	0	-0.0172666183732326	0	0	0	0	0	0	0	0	0	0.151799724114807	0	0.151457708907575	0	0.141398935249447	0	1	0	0	0	0	0	0	0	0	0.068469810618438	0	-0.056688572364075
"ybaL"	-0.0576063899633823	0	0.123667379109813	0	0	0	0.231836660861884	0	0	0	0	-0.1017917376714	0	0	0	0	0	0	0	0	0	0.129003972017735	-0.0169446420421292	0	0.0215645143355584	0	0.115087185596919	0	0	0	1	0	0.00707902795476116	0	0	0	0	0	-0.0868246354286162	0	-0.118627652463926
"ybeB"	-0.111171074885987	0.072777662732999	0	0	0	0	0	0.232796689686077	0.0971013990514767	0	0.00350949441372693	-0.10629937596741	0	0.0796694194472275	0	0	0	0	0	0	0	0	-0.0960596549889442	0	0.0904645844763107	0	0	0	-0.040278312336807	0	0	1	0.0830233361021427	0	7.26567896745625e-05	0.0762138102041423	0	0	-0.0552228111105919	0	0
"ycdM"	-0.0123153330968144	0	0	0	0	0.00647441390929415	0	0.143921149615233	0	0	0.0329721101764871	-0.0872904352440841	0	0	0	0	0	0	0	0	0	0	0	0	0.0882496784772919	0	0	0	0	0	0.00707902795476116	0.0830233361021427	1	0	0	0.0737125596941034	0	0	0	0	-0.115621820243244
"yeeR"	0	0.113729004938411	0	0	0	0	0	0.0275348691567563	0.191590396328515	0	0	0	0	0.133673883379035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00132231824733742	0	0	0	0	0	0.00782776500264755
"yeeU"	0	0.122844166958058	0	0	0.0249248068772556	0	0	0.0690857521182033	0.185449086294028	0	0	0	0	0.138727614013904	0	0	0	0	0.0336571585912185	0	0	0	0	0	0	0	0	0	0	0	0	7.26567896745625e-05	0	0.00132231824733742	1	0	0	0	0	0	0.0165976935708109
"yfaQ"	-0.0012849630864228	0	0	0	0	0	0	0.145651252667723	0	0	0.0254529823872694	-0.0780481075764883	0	0	0	0	0	0	0	0	0	0	0	0	0.0821822858923606	0	0	0	0	0	0	0.0762138102041423	0.0737125596941034	0	0	1	0	0	0	0	-0.116075000881415
"yfcTU"	0	0.112898528969089	0	0	0	0	0	0.0252977458253652	0.191626698355601	0	0	0	0	0.133078804246853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.00718631888128102
"ygjD"	0	0	0	0.0781162551766241	0	-0.0353964546679567	0	0	0	0	-0.0593249626155339	0.0106924057744437	0	0	0	0.0676806830761571	0	0.0720933921749102	0	0.0630975378424241	0	0	0	-0.000982072170157966	0	-0.0006775150115318	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.219077395721703
"yhdG"	0.0795762011370414	-0.0660079885870035	0	0	0	0	-0.0586993421910507	-0.104730208547042	-0.0947300481560237	0	0	0	0	-0.0763069024260491	0	0	0	0	0	0	0	0	0.0456266288874818	0.115264751347413	0	0.114730606750665	0	0.0981556206844051	0	0.068469810618438	-0.0868246354286162	-0.0552228111105919	0	0	0	0	0	0	1	0	0
"yieO"	0	0.07380297053403	0	0.00593721691660078	0	0	0	0	0.142967806354198	0	-0.00118158599016322	0	0	0.0923521009934074	0	0	0	0	0	0	0	0	0	-0.0322371785048313	0	-0.0317324368936126	0	-0.0123404364167538	0	0	0	0	0	0	0	0	0	0	0	1	0.252851356688828
"ylcG"	0	0.0105578036244049	0	0.205614126305746	0.0142706262935003	-0.199015399172948	-0.024028749464501	0	0.0114364775039862	0	-0.123651764972628	0.161723506913418	0.00628736789459786	0.0100309018573441	-0.050647404353715	0.220789366662559	0.185547034789716	0.214877409071708	0.0161038715731868	0.225406967642475	0	0	0	-0.059938438838018	-0.113147789798936	-0.0603580760125057	0	-0.0641705415329169	0.112286064366389	-0.056688572364075	-0.118627652463926	0	-0.115621820243244	0.00782776500264755	0.0165976935708109	-0.116075000881415	0.00718631888128102	0.219077395721703	0	0.252851356688828	1
