"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"
"infC"	0.174576386294982	0	0	0	-0.0723741705282949	0	-0.00777384858939165	0	0	0	1	0	0.00722374175256868	0	0.0396227620901387	0	0	0	0	0.169837119897957	0	-0.0747117179711109	0	0.084428060526306	0	-0.0319076259917765	-0.128234537433828	-0.0630331768374728	0	0.169038369390985	0
"mokC"	0	0.126103729575358	-0.0100927665185534	0.120004849891912	0	-0.032467274323743	0.135126399470587	0.126875879819185	0	-0.023112145711614	0	1	-0.103098081213516	0	0.000872157490974183	0.123101828617485	0	0	-0.0115608589769595	0	-0.0312865779435462	0	-0.00775928383555016	-0.0319527120246747	-0.0163569079681838	0	0.0691482306463799	0	0.110242312323695	0	0.059653039012761
"mreB"	0.054781834070676	-0.0883968740942083	0	0	0	0	-0.234013696691208	-0.139499127879981	0	0	0.00722374175256868	-0.103098081213516	1	0	0	0	0	0	0	0	0.0131924238430147	0	0	0	0	0	-0.146478148546452	0	0	0	0
"mreC"	0	0	0	0	-0.049577115329989	0	0	0	0	0	0	0	0	1	0.0259723050612304	0	0.361197954684693	0	0	0	0	-0.0125172131178374	0	0	0	-0.0471657323460516	0	0	0	0	0.198154691755146
"nadR"	0.0680606100443857	0	0	0	-0.23749821403618	-0.0264081302571687	0.100947387511544	0.020973916531501	0	0	0.0396227620901387	0.000872157490974183	0	0.0259723050612304	1	0	0.0176880217202773	0	0	0.0168894419022105	-0.00854051659423978	-0.10750027074927	0	0	0	-0.154811806015005	0	-0.0702536832339556	0	0.0108005200513057	0.152014855123153
"phoH"	0	0.118262960370435	0	0.0753788972361482	0	-0.0157980052672533	0.176584187580777	0.135649704780851	0	0	0	0.123101828617485	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0196089619214955	0	0.0573060880550508	0	0
"prlA"	0	0	0	0	-0.0466024341721434	0	0	0	0	0	0	0	0	0.361197954684693	0.0176880217202773	0	1	0	0	0	0	-0.0085696846314794	0	0	0	-0.0421771233415702	0	0	0	0	0.194918622469173
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	-0.00930177578573246	0.182648576200709	0	0	0.217137137167015	-0.0446775840065369	-0.0187996056115935	0	-0.0149992654777582	0	-0.0115608589769595	0	0	0	0	0	0	1	0	-0.0210535292352643	0	0.180082135516473	0.0668126039802554	-0.00774604933790157	0.108210128693221	0	0	0	0	-0.0142341981623516
"rbsB"	0.178801565993812	0	0	0	-0.0610734655886178	0	-0.000111533552792338	0	0	0	0.169837119897957	0	0	0	0.0168894419022105	0	0	0	0	1	0	-0.063377772291644	0	0.0638182833151194	0	-0.0172450688040119	-0.116319605259047	-0.0464645253380391	0	0.162674802318619	0
"rbsD"	0	-0.0271393382961598	-0.0193998639011329	0	0.187580557851947	-0.0593466417042795	-0.0658976878304871	-0.0404848011581406	0	0.268788211086854	0	-0.0312865779435462	0.0131924238430147	0	-0.00854051659423978	0	0	0	-0.0210535292352643	0	1	0	-0.0166588456940386	-0.0235821864921611	0.262683643181965	0	0	0	0	0	-0.0243779504458909
"rbsR"	-0.0942323423065913	0	0	0	0.111244761212712	0	0	0	0	0	-0.0747117179711109	0	0	-0.0125172131178374	-0.10750027074927	0	-0.0085696846314794	0	0	-0.063377772291644	0	1	0	0	0	0.178919220148966	0.153532178801216	0.203821746052677	0	-0.0596032699803515	0
"rpsA"	0	-0.00508659650266628	0.178263940394973	0	0	0.2185378654152	-0.0448821033474536	-0.0161393290360029	0	-0.00979941175407436	0	-0.00775928383555016	0	0	0	0	0	0	0.180082135516473	0	-0.0166588456940386	0	1	0.058073202880553	-0.0019053080131522	0.0979304458411993	0	0	0	0	-0.00588908268388841
"spoT"	0.117321604999052	-0.0258877343499061	0.063447040149773	0	-0.0831742152357309	0.134364021799799	-0.082830123914027	-0.0479907067557487	0	-0.00289071136664454	0.084428060526306	-0.0319527120246747	0	0	0	0	0	0	0.0668126039802554	0.0638182833151194	-0.0235821864921611	0	0.058073202880553	1	0	0	-0.132050597569296	0	0	0.0531645002368375	0
"trkH"	0	-0.0106209519125824	-0.00556164472382621	0	0.14876774402816	-0.0563300848330637	-0.0638021043228601	-0.0295995125672942	0	0.250055936028884	0	-0.0163569079681838	0	0	0	0	0	0	-0.00774604933790157	0	0.262683643181965	0	-0.0019053080131522	0	1	0	0	0	0	0	0
"ybaL"	-0.055188287917805	0	0.104347568769683	0	0	0.183560653108046	0	0	0	0	-0.0319076259917765	0	0	-0.0471657323460516	-0.154811806015005	0	-0.0421771233415702	0	0.108210128693221	-0.0172450688040119	0	0.178919220148966	0.0979304458411993	0	0	1	0.0128503457869588	0.160541626535027	0	-0.0139914276599865	-0.0705042962539337
"ybeB"	-0.144770965306579	0.0639442957626761	0	0.00892209528615875	0	0	0.0957260431031477	0.0824545363749048	0	0	-0.128234537433828	0.0691482306463799	-0.146478148546452	0	0	0.0196089619214955	0	0	0	-0.116319605259047	0	0.153532178801216	0	-0.132050597569296	0	0.0128503457869588	1	0.143336374136196	0	-0.108514947557031	0
"yfaQ"	-0.0902388336919609	0	0	0	0.103285287323867	0	0	0	0	0	-0.0630331768374728	0	0	0	-0.0702536832339556	0	0	0	0	-0.0464645253380391	0	0.203821746052677	0	0	0	0.160541626535027	0.143336374136196	1	0	-0.0407049574556667	0
"yfcTU"	0	0.104202426245899	0	0.0478036133456892	0	0	0.174088380992507	0.125650313204153	0	0	0	0.110242312323695	0	0	0	0.0573060880550508	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yhdG"	0.179769269355903	0	0	0	-0.0584236681760203	0	0	0	0	0	0.169038369390985	0	0	0	0.0108005200513057	0	0	0	0	0.162674802318619	0	-0.0596032699803515	0	0.0531645002368375	0	-0.0139914276599865	-0.108514947557031	-0.0407049574556667	0	1	0
"yieO"	0	0.0507316954488551	-0.0110130902673658	0	-0.0994948276120244	-0.0708270700043196	0.151039022807597	0.0810111356622422	0	-0.00343686656576894	0	0.059653039012761	0	0.198154691755146	0.152014855123153	0	0.194918622469173	0	-0.0142341981623516	0	-0.0243779504458909	0	-0.00588908268388841	0	0	-0.0705042962539337	0	0	0	0	1
