"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"wzy"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"hslU"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.021137366780956	-0.133497736469375	0	0.152586450080611	-0.0783563862225114	0.0108636115932051	0	0	1	0	0	0	0	0	0	-0.000526548210320925	-0.0155427701776897	-0.00640181908299543	0	0	0	-0.0231235591646773	0	0.0985118044499431	0	0.0981750734202515	-0.0172661484211512	0.0915580924094163	0	-0.0518628636067895	-0.0724010529519082	0.0811009991901044	-0.0249587237694142	0	0	0	0	0	0	0	0	0	0	-0.00154581300385301	-0.00221806450441441	0	0	-0.023886517590186	-0.186549374064434
"infB"	0.0657309872140927	0.0370032036624657	0	0	0	0	0	0	0	-0.0078653868542296	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0288783794719882	0	0	0	0	0	0.0310682591698525	0	0	0	0	0	0	0	0	0.0727294972397576	0	0	0	0	0	0	0	0	0	0	-0.107608698418691
"infC"	0	0	0	0	0	0	0	0	-0.225201239224631	0	0	0	0	1	0	0	-0.0919631880496662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0590642439911963	0	0	0	0	0	0	0	0	0	0	0	0	0.182270701450373
"malT"	0	0	0.0627774059203884	0	0	0	0	0	0	0.177116500810065	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195248105951864
"metH"	0	0	0	0	0	0	0	0	-0.00145167789556724	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251081637857589
"mokC"	-0.0696267958979264	-0.0595635456973236	0.0566102074634976	0	0	0	0	0	0.220462752199946	0.0821153858048672	0	0	0	-0.0919631880496662	0	0	1	0	0	0	0	0.00512882119768618	0	0	0	-0.0537124295864551	0	0.0435230880237239	0	0	0	-0.0556025364223425	0	0	0	0	0	0.0148336862288097	0.136998953690473	0.0374859199526088	-0.0703715220644736	0.0275313278619453	0	0.00807843666804017	0.0315160017670341	0	0	0	-0.007357448567147	0	0	-0.0338944350721874
"mreB"	0	0	-0.0855380084397218	0	0	0	0	0.16163790201117	-0.0648034855678429	-0.21794939757469	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0773478165655027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0246697547292156
"mreC"	0	0	0	0	0	0	0	0	-0.00715485111080258	0	0	-0.000526548210320925	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292097446885948
"nadR"	0	0	0	0	0	0	0	0.0903481692513465	0	0	0	-0.0155427701776897	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136155511825307
"oppD"	0	0	0	0	0	0	0	0	-0.00828415715700326	0	0	-0.00640181908299543	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293894692230733
"phoH"	0	0	0.0950085963536426	0	0	0	0	0	0.108654967096869	0.190300602170141	0	0	0	0	0	0	0.00512882119768618	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152373046007591	0	0	0	0	0	0	0	0	0	0.0329998599084143
"prlA"	0	0	0	0	0	0	0	0	-0.00622993201990192	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288264745217587
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0.0716840004167723	0	0	0	0.212552612226198	0	0	0	-0.0231235591646773	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0684021717277431	0	0	0.137543151968551	0	0	0.0796958613552406	0.0189702828235203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0746600359782066	0
"rbsB"	0.056398475089997	0.0371377633232268	-0.00997632990700758	0	0	0	0	0	-0.152906635615006	-0.0342483817751867	0	0	0.0288783794719882	0	0	0	-0.0537124295864551	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0317339588441446	0	0	0	0	0	0	-0.0247592723639277	0	0.0597572093960633	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0	-0.0420703789959913	0	-0.0862173486076467	0	0.0893946552703471	-0.0634957785712103	0	-0.0824485188238651	0	0.0985118044499431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.133139431162801	0	0.130573694571104	0	-0.031885631443795	0	0.125687063519966	0	0	0	0	0	0	-0.00328116223047851	0	0	0	0	0	0	0.0496611190876944	0	0	-0.0167282264253243
"rbsR"	0	0	0	0	0	0	0	0	0.156550451045314	0	0	0	0	0	0	0	0.0435230880237239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0159619286336603	0	0	0	0	0	0	0	0	0	0	0	0	-0.166049952248689
"rplF"	0	0	-0.0420560006026039	0	-0.0849490396901406	0	0.0887514815914909	-0.0633114284050287	0	-0.0828072048942923	0	0.0981750734202515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133139431162801	0	1	0	0.130319844160934	0	-0.0313428053647533	0	0.125219773100938	0	0	0	0	0	0	-0.00298161519428026	0	0	0	0	0	0	0.0488854081830698	0	0	-0.0167299387287204
"rpsA"	0	0	0	0.0661995774404932	0	0	0	0.217183697427878	0	0	0	-0.0172661484211512	0	0	0	0	0	0	0	0	0	0	0	0	0.0684021717277431	0	0	0	0	1	0	0	0.137690770333834	0	0	0.0750611421867708	0.00769368265713163	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0695006518800443	0
"rpsC"	0	0	-0.0391452181002772	0	-0.0571024009659768	0	0.0749256855353377	-0.0614839632360125	0	-0.0874595321571353	0	0.0915580924094163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130573694571104	0	0.130319844160934	0	1	0	-0.0214756882106895	0	0.115823734748824	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0332643290766314	0	0	-0.0151904991254045
"sapF"	0.0576615998102371	0.0391503122336353	-0.0109468477738795	0	0	0	0	0	-0.152856920898506	-0.0340904929676193	0	0	0.0310682591698525	0	0	0	-0.0556025364223425	0	0	0	0	0	0	0	0	0.0317339588441446	0	0	0	0	0	1	0	0	0	0	0	0	-0.0273290040288723	0	0.0608927697514034	0	0	0	0	0	0	0	0	0	0	0
"speG"	0	0	0	0.137567968399657	0.0514101966407538	0	-0.000852058665998012	0.135715690175966	0	-0.0193945555627434	0	-0.0518628636067895	0	0	0	0	0	0.0773478165655027	0	0	0	0	0	0	0.137543151968551	0	-0.031885631443795	0	-0.0313428053647533	0.137690770333834	-0.0214756882106895	0	1	0.0515090021827221	-0.00487416940410975	0.138758300294825	0.136834947839935	0	0	0	0	0	0	0	0	0	0	0	-0.0194846978417658	0	0.13761772592166	-0.02865377031785
"spoT"	0	0	0	0	0	0	0	0.181930269131129	-0.176869011381689	0	0	-0.0724010529519082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515090021827221	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0835033104302768
"trkH"	0	0	-0.0278471062577409	0	0	0	0.0473990864669474	-0.0626790892536339	0	-0.0908818960416655	0	0.0811009991901044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125687063519966	0	0.125219773100938	0	0.115823734748824	0	-0.00487416940410975	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0134549541739593
"wzy"	0	0	0	0.0779440559346033	0	0	0	0.209183937508942	0	-0.000635186187510287	0	-0.0249587237694142	0	0	0	0	0	0	0	0	0	0	0	0	0.0796958613552406	0	0	0	0	0.0750611421867708	0	0	0.138758300294825	0	0	1	0.0276947383701795	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0805801970414061	0
"ybaL"	0	0	0	0.0147221124184104	0	0	0	0.246964002637159	0.0542076887217006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189702828235203	0	0	0	0	0.00769368265713163	0	0	0.136834947839935	0	0	0.0276947383701795	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020708894843076	-0.133676399360925
"ybbN"	0	0	0.0984863950067207	0	0	0	0	0	0.112622848927962	0.189161225934009	0	0	0	0	0	0	0.0148336862288097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0241314139047402	0	0.00244232787328284	0	0	0	0	0	0	0	0.0346762445445656
"ybeB"	-0.0486220779710738	-0.0329594560551178	0.0467351527989175	0	0	0	0	0	0.249240857987686	0.0812338427352089	0	0	0	-0.0590642439911963	0	0	0.136998953690473	0	0	0	0	0	0	0	0	-0.0247592723639277	0	0.0159619286336603	0	0	0	-0.0273290040288723	0	0	0	0	0	0	1	0.00795804889607736	-0.0502288205316771	0.00573893927980169	0	0	2.63175535720816e-05	0	0	0	0	0	0	-0.0399914084743049
"ycdM"	0	0	0	0	0	0	0	0	0.157428581640509	0	0	0	0	0	0	0	0.0374859199526088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00795804889607736	1	0	0	0	0	0	0	0	0	0	0	0	-0.159832112256007
"yceK"	0.0733648207392386	0.0635657870054564	-0.0228368499059004	0	0	0	0	0	-0.142036964810485	-0.0342167753010213	0	0	0.0727294972397576	0	0	0	-0.0703715220644736	0	0	0	0	0	0	0	0	0.0597572093960633	0	0	0	0	0	0.0608927697514034	0	0	0	0	0	0	-0.0502288205316771	0	1	0	0	0	0	0	0	0	0	0	0	0
"ycfC"	0	0	0.101122196265068	0	0	0.00590200934140778	0	0	0.114605698695421	0.18269968224515	0	0	0	0	0	0	0.0275313278619453	0	0	0	0	0.0152373046007591	0	0	0	0	-0.00328116223047851	0	-0.00298161519428026	0	0	0	0	0	0	0	0	0.0241314139047402	0.00573893927980169	0	0	1	0	0.0178933418439223	0	0	0	0	0	0	0	0.036422920145172
"yeeR"	0	0	0.0781679773654272	0	0	0	0	0	0.0815720572496426	0.188111758613158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0268780536959269
"yeeU"	0	0	0.0958732946219075	0	0	0	0	0	0.109654430756348	0.189552757970228	0	0	0	0	0	0	0.00807843666804017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244232787328284	0	0	0	0.0178933418439223	0	1	0	0	0	0	0	0	0	0.0334693088466335
"yfaQ"	0	0	0	0	0	0	0	0	0.158454209540695	0	0	0	0	0	0	0	0.0315160017670341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63175535720816e-05	0	0	0	0	0	1	0	0	0	0	0	0	-0.154083526066562
"yfcTU"	0	0	0.0771887524931783	0	0	0	0	0	0.0799857611722628	0.187867668224098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0265019408208012
"yggM"	0	0	0	0	0	0	0	0	-0.00741720801256189	0	0	-0.00154581300385301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.29272713550932
"ygjD"	0	0	0	0	0	0	0	0	-0.0075257681044252	0	0	-0.00221806450441441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.292581047900871
"yhdG"	0	0	0	0	0	0	0	-0.143034883140591	-0.175103142833314	-0.0477317385432723	0	0	0	0	0	0	-0.007357448567147	0	0	0	0	0	0	0	0	0	0.0496611190876944	0	0.0488854081830698	0	0.0332643290766314	0	-0.0194846978417658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.056616188340484
"yieO"	0	0	0.0821330193186599	0	0	0	0	0	0	0.189242482648567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.215964743629585
"yihP"	0	0	0	0.0727141255052576	0	0	0	0.211819948934213	0	0	0	-0.023886517590186	0	0	0	0	0	0	0	0	0	0	0	0	0.0746600359782066	0	0	0	0	0.0695006518800443	0	0	0.13761772592166	0	0	0.0805801970414061	0.020708894843076	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ylcG"	0	0	0.0211176624455708	0	0.076874486068402	0.0314537302971466	-0.194228156337689	-0.0934687266861989	0	0	0	-0.186549374064434	-0.107608698418691	0.182270701450373	0.195248105951864	0.251081637857589	-0.0338944350721874	-0.0246697547292156	0.292097446885948	0.136155511825307	0.293894692230733	0.0329998599084143	0.288264745217587	0	0	0	-0.0167282264253243	-0.166049952248689	-0.0167299387287204	0	-0.0151904991254045	0	-0.02865377031785	0.0835033104302768	-0.0134549541739593	0	-0.133676399360925	0.0346762445445656	-0.0399914084743049	-0.159832112256007	0	0.036422920145172	0.0268780536959269	0.0334693088466335	-0.154083526066562	0.0265019408208012	0.29272713550932	0.292581047900871	0.056616188340484	0.215964743629585	0	1
